dataset,example_id,condition,kind,question,answer,answer_tokens,prompt_tokens,generated_answer,generation_seconds,active_memory_kv_tokens,evidence_parent_chunks,evidence_guaranteed,chunks_budget_rejected,native_limit_violations,route_once_query_encoding_seconds,route_once_routing_seconds,route_once_routing_layer,memory_attention_mass,evidence_attention_mass,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,teacher_forced_seconds,direct_context_attention_mass,em,f1,answer_contained,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none
hotpotqa,5adc3aff5542996e685252eb,no_memory,none,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,4,36,"The star in Up at the Villa,",3.44702750002034,0,0,False,0,0,0.0,0.0,,,,-45.44143295288086,-11.360358238220215,0.005921708885580301,32,0.3516591999796219,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5adc3aff5542996e685252eb,learned_router,router,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,4,36,"The star in Up at the Villa,",1.167608099989593,174,4,False,0,0,0.23454090004088357,1.7847619999665767,23,0.06377398408949375,0.03167555294930935,-44.368125915527344,-11.092031478881836,0.004290607292205095,40,0.6193360999459401,,0.0,0.0,0.0,1.0733070373535156,0.2683267593383789
hotpotqa,5adc3aff5542996e685252eb,oracle_last_1,oracle,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,4,36,"The star in Up at the Villa,",1.2011156000080518,119,4,True,0,0,0.0,0.0,,0.040878474712371826,0.020673580467700958,-45.17936706542969,-11.294841766357422,0.006091093644499779,29,0.36348189995624125,,0.0,0.0,0.0,0.2620658874511719,0.06551647186279297
hotpotqa,5adc3aff5542996e685252eb,direct_text_oracle,direct,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,4,97,Sean Penn,0.604415700014215,0,0,True,0,0,0.0,0.0,,,,-24.346054077148438,-6.086513519287109,0.0017265346832573414,7,0.3263687999569811,0.24005335569381714,0.0,0.0,0.0,21.095378875732422,5.2738447189331055
hotpotqa,5ab56db7554299494045efc6,no_memory,none,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,38,Penobscot.,0.7115139000234194,0,0,False,0,0,0.0,0.0,,,,-6.81117057800293,-3.405585289001465,0.0011571524664759636,25,0.22721540002385154,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5ab56db7554299494045efc6,learned_router,router,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,38,Maine.,0.5211310000158846,192,3,False,0,0,0.3663463999982923,0.004273900005500764,23,0.04578709602355957,0.002955980598926544,-6.344318389892578,-3.172159194946289,0.0019122213125228882,20,0.23285579995717853,,0.0,0.0,0.0,0.46685218811035156,0.23342609405517578
hotpotqa,5ab56db7554299494045efc6,oracle_last_1,oracle,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,38,Penobscot.,0.8446339999791235,96,3,True,0,0,0.0,0.0,,0.0307026207447052,0.028353966772556305,-6.483808994293213,-3.2419044971466064,0.0016154578188434243,25,0.2627113999915309,,0.0,0.0,0.0,0.3273615837097168,0.1636807918548584
hotpotqa,5ab56db7554299494045efc6,direct_text_oracle,direct,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,126,York County.,0.7329148999997415,0,0,True,0,0,0.0,0.0,,,,-1.0609595847199671e-05,-5.3047979235998355e-06,0.9999932050704956,1,0.3407438999856822,0.11906842142343521,1.0,1.0,1.0,6.8111599684070825,3.4055799842035412
hotpotqa,5ab2b863554299295394685a,no_memory,none,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,38,North Creek,0.4631599000422284,0,0,False,0,0,0.0,0.0,,,,-21.83979034423828,-10.91989517211914,3.3618780435062945e-06,625,0.2253692999947816,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,learned_router,router,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,38,North Creek,0.4759547999710776,150,4,False,0,0,0.22863689996302128,0.004749800020363182,23,0.02835783362388611,0.0,-20.708629608154297,-10.354314804077148,7.145034942368511e-06,519,0.2336100999964401,,0.0,0.0,0.0,1.1311607360839844,0.5655803680419922
hotpotqa,5ab2b863554299295394685a,oracle_last_1,oracle,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,38,North Creek,0.4708251999691129,128,4,True,0,0,0.0,0.0,,0.01594645529985428,0.007653571665287018,-21.83660888671875,-10.918304443359375,3.2488094348082086e-06,627,0.23127480002585799,,0.0,0.0,0.0,0.00318145751953125,0.001590728759765625
hotpotqa,5ab2b863554299295394685a,direct_text_oracle,direct,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,96,Cushman,0.6507864999584854,0,0,True,0,0,0.0,0.0,,,,-6.408308982849121,-3.2041544914245605,0.999991774559021,1,0.32501790003152564,0.05857672542333603,1.0,1.0,1.0,15.43148136138916,7.71574068069458
hotpotqa,5a710a915542994082a3e504,no_memory,none,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,41,Edmund Mortimer,0.5994400999625213,0,0,False,0,0,0.0,0.0,,,,-4.126322269439697,-1.0315805673599243,0.016145383939146996,2,0.23278119997121394,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5a710a915542994082a3e504,learned_router,router,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,41,Edmund Mortimer,0.616791500011459,192,4,False,0,0,0.23059190000640228,0.004150399996433407,23,0.06051865220069885,0.008935904130339622,-5.706780433654785,-1.4266951084136963,0.0033240332268178463,2,0.2595318000530824,,0.0,0.0,0.0,-1.580458164215088,-0.395114541053772
hotpotqa,5a710a915542994082a3e504,oracle_last_1,oracle,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,41,Edmund Mortimer,0.6322847999981605,128,4,True,0,0,0.0,0.0,,0.08001105487346649,0.03850965574383736,-4.867445945739746,-1.2168614864349365,0.00769459456205368,2,0.23161639994941652,,0.0,0.0,0.0,-0.7411236763000488,-0.1852809190750122
hotpotqa,5a710a915542994082a3e504,direct_text_oracle,direct,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,115,Scott Treleaven.,0.9311518999747932,0,0,True,0,0,0.0,0.0,,,,-1.1563235602807254e-05,-2.8908089007018134e-06,0.9999885559082031,1,0.33331159997032955,0.13843806087970734,1.0,1.0,1.0,4.1263107062040945,1.0315776765510236
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,no_memory,none,did they collect their own data?,no,1,25,Yes.,0.4387699000071734,0,0,False,0,0,0.0,0.0,,,,-24.87354278564453,-24.87354278564453,1.5760061658487423e-11,1715,0.21476370003074408,,0.0,0.0,0.0,0.0,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,learned_router,router,did they collect their own data?,no,1,25,Yes.,0.4621886000386439,192,3,False,0,0,0.2139094999874942,0.01022150000790134,23,0.06283620744943619,0.0,-24.97543716430664,-24.97543716430664,1.4233295965448978e-11,1766,0.22147719998611137,,0.0,0.0,0.0,-0.10189437866210938,-0.10189437866210938
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle_last_1,oracle,did they collect their own data?,no,1,25,Yes.,0.4559008000069298,96,3,True,0,0,0.0,0.0,,0.04013998806476593,0.018672212958335876,-24.94365119934082,-24.94365119934082,1.4692991615050666e-11,1710,0.21638070000335574,,0.0,0.0,0.0,-0.07010841369628906,-0.07010841369628906
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,direct_text_oracle,direct,did they collect their own data?,no,1,96,Yes.,0.5196545000071637,0,0,True,0,0,0.0,0.0,,,,-19.38808250427246,-19.38808250427246,3.8006913172239365e-09,33,0.3250973999965936,0.1285945624113083,0.0,0.0,0.0,5.48546028137207,5.48546028137207
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,no_memory,none,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,35,Yes.,0.45215500000631437,0,0,False,0,0,0.0,0.0,,,,-16.21877670288086,-16.21877670288086,9.042214799137582e-08,22,0.2262279000133276,,1.0,1.0,1.0,0.0,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,learned_router,router,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,35,Yes.,0.4837074999813922,192,7,False,0,0,0.2244285000488162,0.008423999999649823,23,0.13817330449819565,0.0,-15.70315170288086,-15.70315170288086,1.5142860831929283e-07,20,0.23225490003824234,,1.0,1.0,1.0,0.515625,0.515625
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle_last_1,oracle,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,35,Yes.,0.46365950000472367,224,7,True,0,0,0.0,0.0,,0.06544815003871918,0.05359084904193878,-16.18752670288086,-16.18752670288086,9.329244221589761e-08,22,0.22935280000092462,,1.0,1.0,1.0,0.03125,0.03125
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,direct_text_oracle,direct,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,233,Yes.,0.755276000010781,0,0,True,0,0,0.0,0.0,,,,-16.26565170288086,-16.26565170288086,8.628147440958855e-08,9,0.6367382000316866,0.07296884059906006,1.0,1.0,1.0,-0.046875,-0.046875
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,no_memory,none,Is the template-based model realistic?  ,yes,1,26,No.,0.43757580005330965,0,0,False,0,0,0.0,0.0,,,,-26.724689483642578,-26.724689483642578,2.475227705092675e-12,1702,0.21551310003269464,,0.0,0.0,0.0,0.0,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,learned_router,router,Is the template-based model realistic?  ,yes,1,26,No.,0.45809600001666695,192,13,False,0,0,0.21420980000402778,0.008001499983947724,23,0.02427911013364792,0.00025190412998199463,-26.816753387451172,-26.816753387451172,2.2575227277832344e-12,1660,0.22635939996689558,,0.0,0.0,0.0,-0.09206390380859375,-0.09206390380859375
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle_last_1,oracle,Is the template-based model realistic?  ,yes,1,26,No.,0.4562683000112884,384,13,False,1,0,0.0,0.0,,0.16585858166217804,0.15929415822029114,-26.761625289916992,-26.761625289916992,2.3854679082752073e-12,1714,0.21709699998609722,,0.0,0.0,0.0,-0.03693580627441406,-0.03693580627441406
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,direct_text_oracle,direct,Is the template-based model realistic?  ,yes,1,418,"Yes, the text suggests the template-",1.8749695000005886,0,0,True,0,0,0.0,0.0,,,,-16.953170776367188,-16.953170776367188,4.338421533134351e-08,13,1.3610048000118695,0.1750451773405075,0.0,0.2857142857142857,1.0,9.77151870727539,9.77151870727539
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,no_memory,none,Does the dataset feature only English language data?,yes,1,27,No.,0.44795719999819994,0,0,False,0,0,0.0,0.0,,,,-26.772415161132812,-26.772415161132812,2.3598677265784795e-12,1116,0.21840409998549148,,0.0,0.0,0.0,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,learned_router,router,Does the dataset feature only English language data?,yes,1,27,No.,0.4668424000265077,192,7,False,0,0,0.21992830000817776,0.008423399995081127,23,0.05614946037530899,0.0,-26.68646240234375,-26.68646240234375,2.571678980878289e-12,1003,0.2251710999989882,,0.0,0.0,0.0,0.0859527587890625,0.0859527587890625
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,oracle_last_1,oracle,Does the dataset feature only English language data?,yes,1,27,No.,0.4501583999954164,192,7,False,1,0,0.0,0.0,,0.0857645571231842,0.06313742697238922,-26.87232208251953,-26.87232208251953,2.135496640631729e-12,1123,0.22010569996200502,,0.0,0.0,0.0,-0.09990692138671875,-0.09990692138671875
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,direct_text_oracle,direct,Does the dataset feature only English language data?,yes,1,237,No.,0.8026072000502609,0,0,True,0,0,0.0,0.0,,,,-29.289091110229492,-29.289091110229492,1.9050624792960047e-13,1212,0.6458073999965563,0.18512366712093353,0.0,0.0,0.0,-2.5166759490966797,-2.5166759490966797
