task_id,seed,baseline,success,answer,expected_answer,cursor_operations,wrong_cursor_operations,model_calls,cursor_calls,bytes_transferred,materialized_bytes,nodes_transferred,edges_transferred
atlas-dependency,11,full,0,service-10,vault,[],0,1,0,828,913,12,6
atlas-dependency,11,recall,0,service-10,vault,[],0,1,0,1656,1826,24,12
atlas-dependency,11,cursor,0,,vault,"[""search""]",0,2,1,66,66,0,1
atlas-dependency,11,compact,0,service-0,vault,[],0,1,0,216,0,0,0
atlas-dependency,23,full,0,service-10,vault,[],0,1,0,828,913,12,6
atlas-dependency,23,recall,0,service-10,vault,[],0,1,0,1656,1826,24,12
atlas-dependency,23,cursor,0,,vault,"[""search""]",0,2,1,66,66,0,1
atlas-dependency,23,compact,0,service-0,vault,[],0,1,0,216,0,0,0
atlas-dependency,37,full,0,service-10,vault,[],0,1,0,828,913,12,6
atlas-dependency,37,recall,0,service-10,vault,[],0,1,0,1656,1826,24,12
atlas-dependency,37,cursor,0,,vault,"[""search""]",0,2,1,66,66,0,1
atlas-dependency,37,compact,0,service-0,vault,[],0,1,0,216,0,0,0
atlas-dependency,53,full,0,service-10,vault,[],0,1,0,828,913,12,6
atlas-dependency,53,recall,0,service-10,vault,[],0,1,0,1656,1826,24,12
atlas-dependency,53,cursor,0,,vault,"[""search""]",0,2,1,66,66,0,1
atlas-dependency,53,compact,0,service-0,vault,[],0,1,0,216,0,0,0
atlas-dependency,71,full,0,service-10,vault,[],0,1,0,828,913,12,6
atlas-dependency,71,recall,0,service-10,vault,[],0,1,0,1656,1826,24,12
atlas-dependency,71,cursor,0,,vault,"[""search""]",0,2,1,66,66,0,1
atlas-dependency,71,compact,0,service-0,vault,[],0,1,0,216,0,0,0
