case_id,family,record_type,condition,policy,seed,k,required_action,selected_action,hypothesis_recall,address_recall,trigger_materialized,tr_address,tr_materialize,tr_action,expansion_count,false_positive_expansions,expansion_precision,materialized_bytes,materialized_tokens,bytes_per_success,compact_bytes,full_bytes,compression_savings,model_calls,retrieval_tool_calls,proactive_expansions,probe_count,hypotheses,model_latency_seconds,wall_seconds
entity-custodian,entity,generic_text,explicit,compact_only,11,4,contact_data_custodian,continue_standard,1,0,0,0,0,0,0,0,0.0,0,0,0,214,802,0.7331670822942644,1,0,0,0,[],1.7193354999180883,1.7394809999968857
entity-custodian,entity,generic_text,explicit,compact_only,23,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,1,0,0,0,[],1.5802468000911176,1.5972617999650538
entity-custodian,entity,generic_text,explicit,compact_only,37,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,1,0,0,0,[],1.6354660000652075,1.6526140999048948
entity-custodian,entity,generic_text,explicit,compact_only,53,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,1,0,0,0,[],1.6608246001414955,1.6750382001046091
entity-custodian,entity,generic_text,explicit,compact_only,71,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,1,0,0,0,[],1.6546730000991374,1.6709186998195946
entity-custodian,entity,generic_text,explicit,ccr_explicit,11,4,contact_data_custodian,continue_standard,1,0,0,0,0,0,0,0,0.0,0,0,0,214,802,0.7331670822942644,2,0,0,0,[],5.43275889987126,3.7305148001760244
entity-custodian,entity,generic_text,explicit,ccr_explicit,23,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,2,0,0,0,[],5.370773900067434,3.8083732000086457
entity-custodian,entity,generic_text,explicit,ccr_explicit,37,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,2,0,0,0,[],5.209060800028965,3.5987289999611676
entity-custodian,entity,generic_text,explicit,ccr_explicit,53,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,2,0,0,0,[],5.3848271002061665,3.7398529001511633
entity-custodian,entity,generic_text,explicit,ccr_explicit,71,4,contact_data_custodian,contact_data_custodian,1,0,0,0,0,1,0,0,0.0,0,0,0,214,802,0.7331670822942644,2,0,0,0,[],5.250312100164592,3.611526600085199
