query_graph_model,retrieval_model,dataset,example_id,condition,candidate_documents,positive_documents,requested_document_budget,facet_count,facet_switches,normalized_switch_rate,minimum_contiguous_cover_ratio,non_contiguous_facets,has_non_contiguous_facet,evidence_recall,precision,mrr,selected_document_ids
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,global_semantic,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,1.0,0.5,1.0,"[6, 0, 8, 2]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,syntax_semantic,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,1.0,0.5,1.0,"[6, 0, 8, 2]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,embedding_kmeans_semantic,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,1.0,0.5,1.0,"[6, 0, 8, 7]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,graph_cc_semantic,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,1.0,0.5,1.0,"[6, 2, 9, 8]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,lexical_semantic_hybrid,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,1.0,0.5,1.0,"[6, 0, 8, 7]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,graph_cc_hybrid,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,0.5,0.25,1.0,"[6, 0, 7, 2]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,llm_semantic,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,0.5,0.25,0.3333333333333333,"[9, 2, 8, 7]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,042a249a0bde11eba7f7acde48001122,llm_hybrid,10,2,4,2,2.0,0.2857142857142857,1.75,1.0,1.0,1.0,0.5,0.5,"[7, 8, 6, 9]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,global_semantic,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,1.0,"[6, 9, 7, 2]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,syntax_semantic,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,1.0,"[9, 6, 7, 8]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,embedding_kmeans_semantic,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,1.0,"[9, 6, 7, 2]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,graph_cc_semantic,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,1.0,"[9, 6, 7, 2]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,lexical_semantic_hybrid,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,1.0,"[9, 2, 6, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,graph_cc_hybrid,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,1.0,"[9, 6, 2, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,llm_semantic,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,0.3333333333333333,"[3, 5, 9, 6]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,llm_hybrid,10,2,4,2,1.0,0.25,1.0,0.0,0.0,1.0,0.5,0.5,"[2, 9, 6, 3]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,global_semantic,10,2,4,2,1.0,0.2,1.0,0.0,0.0,1.0,0.5,1.0,"[8, 0, 4, 1]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,syntax_semantic,10,2,4,2,1.0,0.2,1.0,0.0,0.0,1.0,0.5,1.0,"[8, 1, 4, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,embedding_kmeans_semantic,10,2,4,2,1.0,0.2,1.0,0.0,0.0,0.5,0.25,1.0,"[8, 0, 4, 6]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,graph_cc_semantic,10,2,4,2,1.0,0.2,1.0,0.0,0.0,1.0,0.5,1.0,"[8, 1, 0, 4]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,lexical_semantic_hybrid,10,2,4,2,1.0,0.2,1.0,0.0,0.0,0.5,0.25,1.0,"[8, 4, 3, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,graph_cc_hybrid,10,2,4,2,1.0,0.2,1.0,0.0,0.0,0.5,0.25,1.0,"[8, 4, 3, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,llm_semantic,10,2,4,2,1.0,0.2,1.0,0.0,0.0,0.5,0.25,1.0,"[8, 6, 4, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,llm_hybrid,10,2,4,2,1.0,0.2,1.0,0.0,0.0,0.5,0.25,1.0,"[8, 4, 3, 0]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,global_semantic,10,2,4,2,1.0,0.16666666666666666,1.0,0.0,0.0,0.5,0.25,1.0,"[0, 5, 1, 9]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,syntax_semantic,10,2,4,2,1.0,0.16666666666666666,1.0,0.0,0.0,0.5,0.25,1.0,"[0, 5, 9, 1]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,embedding_kmeans_semantic,10,2,4,2,1.0,0.16666666666666666,1.0,0.0,0.0,0.5,0.25,1.0,"[0, 5, 1, 9]"
Qwen/Qwen3-0.6B,sentence-transformers/all-MiniLM-L6-v2,2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,graph_cc_semantic,10,2,4,2,1.0,0.16666666666666666,1.0,0.0,0.0,0.5,0.25,1.0,"[0, 5, 9, 3]"
