catalog_size,seed,calibrated,query_id,split,stratum,policy,target_uris,selected_uri,top1_correct,outcome_correct,expected_decision,decision,false_act,confidence,margin,executed_path,retrieval_stages,fallback_count,hint_complied,policy_us,candidate_count,index_fingerprint,oracle_policy,oracle_correct,quality_regret,cost_regret,estimated_discovery_ms
8,11,0,validation-00000-explicit,validation,explicit_uri,fixed_explicit,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,1.0,explicit,1,0,1,391.3,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,0.0,0.02656666666666667
8,11,0,validation-00000-explicit,validation,explicit_uri,fixed_token,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,0.704727495407226,token,1,0,1,306.4,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,1.0,1.3653833333333334
8,11,0,validation-00000-explicit,validation,explicit_uri,fixed_index,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,0.5622070182354723,index,1,0,1,333.3,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,0.5,0.18714999999999998
8,11,0,validation-00000-explicit,validation,explicit_uri,fixed_semantic,!!ref:tool:synthetic:tool_saf_00001:v1!!,,0,0,select,abstain,0,0.0,0.0,semantic,1,0,1,285.9,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,1,,0.39390000000000003
8,11,0,validation-00000-explicit,validation,explicit_uri,fixed_hybrid,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,0.7795687765803461,hybrid,1,0,1,146.2,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,5.0,1.7987333333333333
8,11,0,validation-00000-explicit,validation,explicit_uri,auto,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,1.0,explicit,1,0,1,171.1,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,0.5,0.02656666666666667
8,11,0,validation-00000-explicit,validation,explicit_uri,user_hint,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,1.0,explicit,1,0,1,106.2,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,0.5,0.02656666666666667
8,11,0,validation-00000-explicit,validation,explicit_uri,adaptive,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,1.0,explicit,1,0,1,138.4,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_explicit,1,0,1.0,0.02656666666666667
8,11,0,validation-00000-name,validation,exact_name,fixed_explicit,!!ref:tool:synthetic:tool_saf_00001:v1!!,,0,0,select,abstain,0,0.0,0.0,explicit,1,0,1,152.2,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_index,1,1,,0.02656666666666667
8,11,0,validation-00000-name,validation,exact_name,fixed_token,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,0.7803571428571429,0.13293067226890765,token,1,0,1,100.1,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_index,1,0,0.5,1.3653833333333334
8,11,0,validation-00000-name,validation,exact_name,fixed_index,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,1,select,select,0,1.0,0.5724742334901447,index,1,0,1,81.4,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_index,1,0,0.0,0.18714999999999998
8,11,0,validation-00000-name,validation,exact_name,fixed_semantic,!!ref:tool:synthetic:tool_saf_00001:v1!!,,0,0,select,abstain,0,0.0,0.0,semantic,1,0,1,79.4,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_index,1,1,,0.39390000000000003
8,11,0,validation-00000-name,validation,exact_name,fixed_hybrid,!!ref:tool:synthetic:tool_saf_00001:v1!!,!!ref:tool:synthetic:tool_saf_00001:v1!!,1,0,select,ask,0,0.5511607142857142,0.1743136492190373,hybrid,1,0,1,77.1,8,0eefc1b92448bf3b7f1bc16d6413360bf0a063be8f9e4eb076ef05f7553d125b,fixed_index,1,0,4.5,1.7987333333333333
