all_candidate_full_tokens,amortized_wall_seconds,batch_size,batch_wall_seconds,candidate_count,candidate_names,candidate_ranks,candidate_sources,candidate_view,catalog_size,channel_agreement,choice_correct,choice_margin,chosen_tool,conditional_choice_denominator,generated_text,generated_tokens,max_candidates,policy,prompt_tokens,query_id,raw_label_response,scoring_device,seed,selected_mean_log_probability,selection_view_tokens,target_in_palette,target_name,ttft_method,ttft_seconds_upper_bound,unsafe_candidates,unsafe_choice,unsafe_exposure,useful_candidates
3279,8.181466799927875,1,8.181466799927875,10,fetch_account_02182|inform_account_00367|convert_user_00617|get_account_01932|add_account_01573|fetch_account_02256|inform_account_02537|get_user_06179|get_account_03383|add_account_01708,auto_tag_concept:2,auto_tag_concept,compact,8192,1,0,,fetch_account_02256,0,"{""capability"":""fetch_account_02256""}",2,10,A2_raw_union,1682,get_user-h2-en-1, 5,cpu:q4_ollama,11,,1508,0,get_user,ollama_total_call_upper_bound,8.181466799927875,,0,0,
3279,26.979628900066018,1,26.979628900066018,10,get_user_06179|get_account_01932|get_account_03383|fetch_account_02182|fetch_account_02256|inform_account_00367|inform_account_02537|convert_user_00617|add_account_01573|add_account_01708,embedding:2,embedding,compact,8192,1,0,,get_user_06179,0,"{""capability"":""get_user_06179""}",2,10,A4_agreement_union,1682,get_user-h2-en-1, 0,cpu:q4_ollama,11,,1508,0,get_user,ollama_total_call_upper_bound,26.979628900066018,,0,0,
3215,7.956550099886954,1,7.956550099886954,10,add_account_01573|add_article_01423|verify_account_02915|add_user_00447|add_account_01708|add_article_02756|validate_user|add_user_00746|add_account_01819|add_article_03331,auto_keyword:1|auto_tag_concept:1,auto_keyword|auto_tag_concept,compact,8192,2,0,,add_account_01573,0,"{""capability"":""add_account_01573""}",2,10,A2_raw_union,1638,update_user-h4-en-1, 0,cpu:q4_ollama,11,,1458,0,update_user,ollama_total_call_upper_bound,7.956550099886954,,0,0,validate_user
3215,26.250943900085986,1,26.250943900085986,10,validate_user|verify_account_02915|add_user_00746|add_user_00447|add_account_01819|add_account_01708|add_account_01573|add_article_01423|add_article_02756|add_article_03331,embedding:2,embedding,compact,8192,1,0,,validate_user,0,"{""capability"":""validate_user""}",2,10,A4_agreement_union,1638,update_user-h4-en-1, 0,cpu:q4_ollama,11,,1458,0,update_user,ollama_total_call_upper_bound,26.250943900085986,,0,0,validate_user
3145,7.822194500127807,1,7.822194500127807,10,find_account_01137|get_user|lookup_article_01563|search_account_02100|add_account_01573|find_account_02065|read_document|lookup_issue_05950|search_account_03858|add_account_01708,auto_tag_concept:1,auto_tag_concept,compact,8192,1,0,,find_account_01137,0,"{""capability"":""find_account_01137""}",2,10,A2_raw_union,1577,search_document-h1-en-1, 0,cpu:q4_ollama,11,,1414,0,search_document,ollama_total_call_upper_bound,7.822194500127807,,0,0,
3145,25.020055199973285,1,25.020055199973285,10,search_account_03858|search_account_02100|find_account_02065|find_account_01137|lookup_article_01563|lookup_issue_05950|read_document|get_user|add_account_01708|add_account_01573,keyword_synonym:2,keyword_synonym,compact,8192,1,0,,search_account_03858,0,"{""capability"":""search_account_03858""}",2,10,A4_agreement_union,1577,search_document-h1-en-1, 0,cpu:q4_ollama,11,,1414,0,search_document,ollama_total_call_upper_bound,25.020055199973285,,0,0,
3176,7.860561500070617,1,7.860561500070617,10,add_package_00588|archive_report|check_package_00742|export_package_02467|add_package_00738|export_document|package_report_06842|export_package_06298|add_package_01052|add_package_03425,bm25:9|auto_keyword:1|keyword_synonym:4|auto_tag_concept:1,bm25|auto_keyword|keyword_synonym|auto_tag_concept,compact,8192,4,0,,add_package_00588,1,"{""capability"":""add_package_00588""}",2,10,A2_raw_union,1603,export_document-h2-en-1, 0,cpu:q4_ollama,11,,1437,1,export_document,ollama_total_call_upper_bound,7.860561500070617,,0,0,export_document
3176,25.50310830003582,1,25.50310830003582,10,export_document|add_package_03425|add_package_00588|add_package_00738|check_package_00742|export_package_02467|export_package_06298|package_report_06842|add_package_01052|archive_report,bm25:2|keyword_synonym:3|embedding:4,bm25|keyword_synonym|embedding,compact,8192,3,1,,export_document,1,"{""capability"":""export_document""}",2,10,A4_agreement_union,1603,export_document-h2-en-1, 0,cpu:q4_ollama,11,,1437,1,export_document,ollama_total_call_upper_bound,25.50310830003582,,0,0,export_document
3270,8.370923400158063,1,8.370923400158063,10,add_article_01423|update_issue|archive_repo_00277|create_work_item_01518|add_work_item_00578|add_article_02756|archive_repo_03332|create_work_item_04060|add_work_item_04808|add_article_03331,auto_tag_concept:1,auto_tag_concept,compact,8192,1,0,,add_article_01423,0,"{""capability"":""add_article_01423""}",2,10,A2_raw_union,1667,create_issue-h1-en-1, 0,cpu:q4_ollama,11,,1491,0,create_issue,ollama_total_call_upper_bound,8.370923400158063,,0,0,
3270,26.771241599926725,1,26.771241599926725,10,add_work_item_00578|create_work_item_01518|add_work_item_04808|create_work_item_04060|update_issue|add_article_03331|add_article_01423|add_article_02756|archive_repo_00277|archive_repo_03332,bm25:2|auto_keyword:1|keyword_synonym:3,bm25|auto_keyword|keyword_synonym,compact,8192,3,0,,add_work_item_00578,0,"{""capability"":""add_work_item_00578""}",2,10,A4_agreement_union,1667,create_issue-h1-en-1, 0,cpu:q4_ollama,11,,1491,0,create_issue,ollama_total_call_upper_bound,26.771241599926725,,0,0,
