seed,variant,dataset,example_id,condition,answer,prompt_tokens,full_context_complete,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,gold_first_token_margin,em,f1,answer_contained,generated_answer,teacher_forced_seconds,generation_seconds
,context_baseline,hotpotqa,5a84c4bb5542991dd0999dec,none,John Charles Cutler,40,True,-22.855581283569336,-5.713895320892334,0.0016853422857820988,15,-6.234375,0.0,0.0,0.0,The question is unclear. Please provide more,0.2987012999947183,0.7190377000370063
,context_baseline,hotpotqa,5a84c4bb5542991dd0999dec,direct_text,John Charles Cutler,215,True,-0.5796049237251282,-0.14490123093128204,0.5602019429206848,1,0.25,1.0,1.0,1.0,John Charles Cutler.,0.3946186000248417,0.7975626999977976
,context_baseline,hotpotqa,5a84c4bb5542991dd0999dec,full_context,John Charles Cutler,1519,True,-0.36283448338508606,-0.09070862084627151,0.9206113815307617,1,2.5,1.0,1.0,1.0,John Charles Cutler.,4.141113599995151,4.7429169999668375
,context_baseline,hotpotqa,5abbd4035542993f40c73bcb,none,Kentucky Music Hall of Fame,64,True,-22.903066635131836,-3.8171777725219727,7.170913249865407e-06,284,-11.625,0.0,0.0,0.0,"The song ""Show 'Em (What",0.21346619998803362,0.7413981999852695
,context_baseline,hotpotqa,5abbd4035542993f40c73bcb,direct_text,Kentucky Music Hall of Fame,228,True,-10.613059997558594,-1.768843412399292,2.4626067897770554e-05,84,-10.1171875,0.0,0.0,0.0,"The song ""Show 'Em (What",0.4044611999997869,0.9982622999814339
,context_baseline,hotpotqa,5abbd4035542993f40c73bcb,full_context,Kentucky Music Hall of Fame,1639,True,-11.264342308044434,-1.8773903846740723,1.2826483725802973e-05,110,-10.734375,0.0,0.0,0.0,The American singer/songwriter in question,4.58642480004346,5.4450605000020005
,context_baseline,hotpotqa,5ae6143f5542996de7b71b2d,none,The Chamber,35,True,-29.863405227661133,-14.931702613830566,0.24514466524124146,2,-1.109375,0.0,0.0,0.0,Lela Rochon based on a John,0.15566190000390634,0.7277454999857582
,context_baseline,hotpotqa,5ae6143f5542996de7b71b2d,direct_text,The Chamber,127,True,-3.8255982398986816,-1.9127991199493408,0.32850492000579834,2,-0.703125,0.0,0.28571428571428575,0.0,"Lela Rochon starred in ""The",0.32262599997920915,0.786132000037469
,context_baseline,hotpotqa,5ae6143f5542996de7b71b2d,full_context,The Chamber,1790,True,-17.567394256591797,-8.783697128295898,0.43832579255104065,2,-0.234375,0.0,0.0,0.0,Lela Rochon based on a John,4.619948900013696,6.052513399976306
,context_baseline,hotpotqa,5a7e513a5542994959419996,none,Ghana Technology University College,34,True,-25.62628173828125,-5.125256538391113,0.23829025030136108,2,-1.109375,0.0,0.0,0.0,The other school located in the same suburb,0.15623010002309456,0.7409368999651633
,context_baseline,hotpotqa,5a7e513a5542994959419996,direct_text,Ghana Technology University College,83,True,-6.07023811340332,-1.2140476703643799,0.05345306918025017,2,-2.859375,0.0,0.0,0.0,The other school located in the same suburb,0.2177458999794908,0.7964259999571368
,context_baseline,hotpotqa,5a7e513a5542994959419996,full_context,Ghana Technology University College,955,True,-5.06795597076416,-1.0135911703109741,0.008087966591119766,4,-4.75,0.0,0.0,0.0,The other school located in the same suburb,1.9469603999750689,2.7243562000221573
,context_baseline,hotpotqa,5a80d6be55429938b6142206,none,University of Hawaii at Manoa,40,True,-22.78432273864746,-3.79738712310791,0.006089285481721163,2,-5.09375,0.0,0.20000000000000004,0.0,The winner of the 201,0.16606200003298,0.7502458000089973
,context_baseline,hotpotqa,5a80d6be55429938b6142206,direct_text,University of Hawaii at Manoa,100,True,-5.742649078369141,-0.957108199596405,0.0032082253601402044,3,-5.71875,0.0,0.20000000000000004,0.0,The winner of the 201,0.22933360002934933,0.8889727999921888
,context_baseline,hotpotqa,5a80d6be55429938b6142206,full_context,University of Hawaii at Manoa,1515,True,-11.566648483276367,-1.9277747869491577,0.0003246711567044258,4,-8.03125,0.0,0.20000000000000004,0.0,The winner of the 201,4.255578399985097,5.103394799982198
,context_baseline,hotpotqa,5ab88c075542991b5579efbe,none,Mr. Tumnus,63,True,-15.982892990112305,-3.1965787410736084,0.00016949298151303083,37,-8.640625,0.0,0.0,0.0,The character is **Lucy Pev,0.21628400002373382,0.7338134000310674
,context_baseline,hotpotqa,5ab88c075542991b5579efbe,direct_text,Mr. Tumnus,147,True,-1.3409013748168945,-0.2681802809238434,0.26238441467285156,2,-0.953125,0.0,0.5714285714285715,1.0,The answer is Mr. Tumnus,0.3403147999779321,0.9309019999927841
,context_baseline,hotpotqa,5ab88c075542991b5579efbe,full_context,Mr. Tumnus,1693,True,-0.29994234442710876,-0.05998846888542175,0.7410253882408142,1,1.515625,1.0,1.0,1.0,Mr. Tumnus.,5.046808000013698,5.81294740003068
