seed,variant,dataset,example_id,condition,answer,generated_answer,trainable_parameter_count,trainable_memory_bytes,gold_mean_logprob_delta_vs_none,gold_first_token_rank_delta_vs_none,gold_first_token_margin_delta_vs_none,no_pra_gold_logprob_delta_vs_frozen,no_pra_first_token_rank_delta_vs_frozen,no_pra_first_token_margin_delta_vs_frozen,pra_off_gold_metrics_exact,teacher_forced_seconds,generation_seconds,active_memory_tokens,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,gold_first_token_margin,em,f1,answer_contained,trainable_parameter_percent,trainable_memory_bytes_fp32
11,fixed,hotpotqa,5adc3aff5542996e685252eb,none,Sir Derek George Jacobi,The star in the film *Up at,0,0,0.0,0,0.0,0.0,0,0.0,True,0.1553643000079319,0.7516408999799751,0,-37.75213623046875,-7.550427436828613,0.001377216773107648,4,-6.5625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,oracle,Sir Derek George Jacobi,The star in the film *Up at,0,0,1.2682533264160156,-1,1.25,0.0,0,0.0,True,0.16231010004412383,0.7713341999915428,388,-31.410869598388672,-6.282174110412598,0.004644747357815504,3,-5.3125,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,routed,Sir Derek George Jacobi,The star in the film *Up at,0,0,-0.04796648025512695,10,-0.828125,0.0,0,0.0,True,0.16318299999693409,0.7894554000231437,384,-37.99197006225586,-7.59839391708374,0.0005979319685138762,14,-7.390625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,direct_text,Sir Derek George Jacobi,The star in the film Up at the,0,0,6.5168256759643555,3,2.3125,0.0,0,0.0,True,0.22825560002820566,0.7793708000099286,0,-5.168008804321289,-1.0336017608642578,0.0060163759626448154,7,-4.25,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,none,York County,Alfred is in the county of Maine,0,0,0.0,0,0.0,0.0,0,0.0,True,0.15446159994462505,0.7272711000405252,0,-24.007061004638672,-12.003530502319336,3.8167059790428226e-11,3508,-23.96875,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,oracle,York County,Alfred is in the county of Maine,0,0,2.179215431213379,-2582,4.3984375,0.0,0,0.0,True,0.16117579996353015,0.7872375000151806,512,-19.648630142211914,-9.824315071105957,2.9785724997566376e-09,926,-19.5703125,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,routed,York County,Alfred is in the county of Maine,0,0,1.228017807006836,-1780,2.4453125,0.0,0,0.0,True,0.15983720001531765,0.7805751000414602,384,-21.551025390625,-10.7755126953125,4.4509820829041757e-10,1728,-21.5234375,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,direct_text,York County,"Alfred is in York County, Maine",0,0,1.3002290725708008,-2245,2.5625,0.0,0,0.0,True,0.36512209998909384,0.7906610999489203,0,-21.40660285949707,-10.703301429748535,5.050186380195498e-10,1263,-21.40625,0.0,0.5,1.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,none,Cushman,New Hampshire Route 118 runs,0,0,0.0,0,0.0,0.0,0,0.0,True,0.1544203999801539,0.7236977000138722,0,-20.987762451171875,-10.493881225585938,8.551282371627167e-05,33,-9.265625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,oracle,Cushman,New Hampshire Route 118 runs,0,0,1.3604049682617188,-18,1.703125,0.0,0,0.0,True,0.16363769996678457,0.777434199990239,384,-18.266952514648438,-9.133476257324219,0.0004576146020554006,15,-7.5625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,routed,Cushman,New Hampshire Route 118 runs,0,0,0.0062923431396484375,-17,0.875,0.0,0,0.0,True,0.15946550003718585,0.8494911000016145,384,-20.975177764892578,-10.487588882446289,0.00020928481535520405,16,-8.390625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,direct_text,Cushman,New Hampshire Route 118 runs,0,0,9.690613865852356,-31,8.203125,0.0,0,0.0,True,0.22480179998092353,0.8148367999820039,0,-1.606534719467163,-0.8032673597335815,0.20061127841472626,2,-1.0625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,none,Scott Treleaven,Edmund Mortimer.,0,0,0.0,0,0.0,0.0,0,0.0,True,0.15779890003614128,0.5575318000046536,0,-7.853713512420654,-1.9634283781051636,0.0005700837937183678,2,-7.46875,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,oracle,Scott Treleaven,Edmund Mortimer.,0,0,-0.7938565015792847,1,-1.78125,0.0,0,0.0,True,0.16285660001449287,0.6066782999550924,512,-11.029139518737793,-2.7572848796844482,9.605975355952978e-05,3,-9.25,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,routed,Scott Treleaven,Edmund Mortimer.,0,0,-0.7450777292251587,2,-2.078125,0.0,0,0.0,True,0.16414150001946837,0.6379761999705806,384,-10.834024429321289,-2.7085061073303223,7.139297667890787e-05,4,-9.546875,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,direct_text,Scott Treleaven,Edmund Mortimer.,0,0,1.031016767024994,0,3.875,0.0,0,0.0,True,0.229756599990651,0.6255109999910928,0,-3.7296464443206787,-0.9324116110801697,0.026742903515696526,2,-3.59375,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,none,no,"Yes, they collected their own data.",0,0,0.0,0,0.0,0.0,0,0.0,True,0.14468679996207356,0.7270221000071615,0,-7.124675750732422,-7.124675750732422,0.0008049940806813538,8,-7.03125,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle,no,"Yes, they did collect their own data",0,0,-0.21262168884277344,0,-0.15625,0.0,0,0.0,True,0.14957639999920502,0.7773778000264429,384,-7.337297439575195,-7.337297439575195,0.000650807109195739,8,-7.1875,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,routed,no,"Yes, they did collect their own data",0,0,0.06777667999267578,0,0.125,0.0,0,0.0,True,0.14964550000149757,0.7793066999875009,384,-7.056899070739746,-7.056899070739746,0.0008614453836344182,8,-6.90625,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,direct_text,no,"Yes, they collected their own data.",0,0,-0.9806270599365234,3,-1.0,0.0,0,0.0,True,0.22199170000385493,0.7850848000380211,0,-8.105302810668945,-8.105302810668945,0.0003019336727447808,11,-8.03125,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,none,yes,"Yes, the paper clearly establishes that the",0,0,0.0,0,0.0,0.0,0,0.0,True,0.15214570000534877,0.7322711999877356,0,-5.925743579864502,-5.925743579864502,0.0026698217261582613,10,-5.4375,0.0,0.25,1.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle,yes,"Yes, the paper clearly establishes that the",0,0,-0.392392635345459,-2,-0.15625,0.0,0,0.0,True,0.16125950001878664,0.8001105999574065,896,-6.318136215209961,-6.318136215209961,0.0018033013911917806,8,-5.59375,0.0,0.25,1.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,routed,yes,"Yes, the paper clearly establishes that the",0,0,-0.29778051376342773,0,-0.109375,0.0,0,0.0,True,0.15758460003416985,0.7946244000340812,384,-6.22352409362793,-6.22352409362793,0.001982247456908226,10,-5.546875,0.0,0.25,1.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,direct_text,yes,The paper does not explicitly address whether the,0,0,-1.7237658500671387,7,-1.3125,0.0,0,0.0,True,0.42992940003750846,1.0156427000183612,0,-7.649509429931641,-7.649509429931641,0.0004762775788549334,17,-6.75,0.0,0.0,0.0,0.0,0
11,fixed,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,none,yes,"Yes, the template-based model is realistic",0,0,0.0,0,0.0,0.0,0,0.0,True,0.14520110003650188,0.7374271000153385,0,-6.946739196777344,-6.946739196777344,0.0009617661708034575,10,-6.609375,0.0,0.25,1.0,0.0,0
11,fixed,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle,yes,"Yes, the template-based model is generally",0,0,-0.1058664321899414,3,0.109375,0.0,0,0.0,True,0.15368439996382222,0.847473900008481,1664,-7.052605628967285,-7.052605628967285,0.0008651515236124396,13,-6.5,0.0,0.25,1.0,0.0,0
