phase,dataset,example_id,question_type,annotated_hops,condition,selection_policy,oracle_labels_used,geometry_source,materialization_policy,radius_left,radius_right,kv_budget,budget_allocation,materialization_band,position_mode,query_position_offset,reference_position_policy,attention_composition,logical_source_tokens,encoding_granularity_tokens,cpu_reference_cache_bytes,gpu_reference_cache_bytes,conceptual_selected_parents,requested_materialization_tokens,deduplicated_materialization_tokens,active_kv_fraction,h2d_kv_bytes,whole_parent_tokens,kv_reduction_vs_whole,evidence_kv_tokens,evidence_source_tokens,evidence_coverage,non_evidence_kv_tokens,evidence_density,reference_answer,materialized_unique_tokens,native_kv_token_states,native_kv_bytes,interval_resolution_seconds,logical_gather_seconds,logical_h2d_seconds,cross_shard_interval_count,gold_sequence_logprob,gold_mean_token_logprob,teacher_forced_seconds,answer_tokens,memory_attention_mass,evidence_attention_mass,non_evidence_attention_mass,attention_entropy,generated_answer,raw_answer,generated_tokens,ttft_seconds,tpot_seconds,total_generation_seconds,tokens_per_second,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,exact_match,token_f1,answer_contained,normalized_answer_accuracy,gold_mean_logprob_delta_vs_none,gold_mean_logprob_delta_vs_whole
heldout,musique,2hop__10114_599630,2hop,2,M_none,none,False,frozen_paper2_5_discovery_manifest,none,,,,,none,corrected,2686,source_relative,shared_softmax_local_plus_native_memory,2686,256,308051968,0,0,0,0,0.0,0.0,224,1.0,0,191,0.0,0,0.0,Yongjia County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.300994873046875,-4.660199165344238,0.3277841000817716,5,,,,,Z,Z,1,2.6001894001383334,0.0,2.614033600082621,0.3825505532784251,1210931712,1241513984,0.0,0.0,0.0,0.0,0.0,-2.5822153091430664
heldout,musique,2hop__10114_599630,2hop,2,M0_native_gist,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,native_gist_only,,,,,all_28,corrected,2686,source_relative,shared_softmax_local_plus_native_memory,2686,256,308051968,0,7,7,7,0.0026061057334326137,802816.0,224,0.96875,0,191,0.0,7,0.0,Yongjia County,7,196,802816.0,0.0,0.0,0.07059699879027903,0.0,-74.83674621582031,-14.9673490524292,0.702629700070247,5,0.00485603656904589,0.0,0.00485603656904589,1.6135541200637817,ُ,ُ,1,0.6380983002018183,0.0,0.6395717000123113,1.563546354506853,1211447296,1241513984,0.0,0.0,0.0,0.0,-10.307149887084961,-12.889365196228027
heldout,musique,2hop__10114_599630,2hop,2,M1_whole_parent,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,selected_chunks,,,,,all_28,corrected,2686,source_relative,shared_softmax_local_plus_native_memory,2686,256,308051968,0,7,224,224,0.08339538346984364,25690112.0,224,0.0,191,191,1.0,33,0.8526785714285714,Yongjia County,224,6272,25690112.0,0.0,0.05992479994893074,0.03133799880743027,0.0,-10.38991928100586,-2.077983856201172,0.4330553999170661,5,0.6739387125042933,0.6538943097527538,0.020044403119495006,1.8702532393591744,Z,Z,1,0.4968554999213666,0.0,0.4978353998158127,2.0086960476695235,1217189888,1241513984,0.0,0.0,0.0,0.0,2.5822153091430664,0.0
heldout,musique,2hop__10114_599630,2hop,2,M2_evidence_only,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,logical_intervals,0,0,,,all_28,corrected,2686,source_relative,shared_softmax_local_plus_native_memory,2686,256,308051968,0,7,191,191,0.07110945644080417,21905408.0,224,0.1473214285714286,191,191,1.0,0,1.0,Yongjia County,191,5348,21905408.0,0.01394500001333654,0.014489100081846118,0.06954600010067225,56.0,-6.7680583000183105,-1.353611707687378,0.5455903999973089,5,0.6691904995324356,0.6691904995324356,0.0,1.8191354700497218,W,W,1,0.5561258001253009,0.0,0.5572095001116395,1.7946571259098156,1215223808,1241513984,0.0,0.0,0.0,0.0,3.3065874576568604,0.724372148513794
heldout,musique,2hop__10114_599630,2hop,2,M3_radius_2,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,logical_intervals,2,2,,,all_28,corrected,2686,source_relative,shared_softmax_local_plus_native_memory,2686,256,308051968,0,7,199,199,0.07408786299329859,22822912.0,224,0.1116071428571429,191,191,1.0,8,0.9597989949748744,Yongjia County,199,5572,22822912.0,0.016225299797952175,0.0217018008697778,0.06850110040977597,56.0,-9.63111400604248,-1.926222801208496,0.5922627002000809,5,0.6701657129451632,0.6606958680120962,0.009469848479056964,1.8432589641639165,Z,Z,1,0.5525432000868022,0.0,0.553849299903959,1.8055452993682692,1215394816,1241513984,0.0,0.0,0.0,0.0,2.733976364135742,0.15176105499267578
heldout,musique,2hop__103889_86452,2hop,2,M_none,none,False,frozen_paper2_5_discovery_manifest,none,,,,,none,corrected,2297,source_relative,shared_softmax_local_plus_native_memory,2297,256,263438336,0,0,0,0,0.0,0.0,224,1.0,0,136,0.0,0,0.0,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.695051193237305,-2.923762798309326,0.2130704999435693,4,,,,,2,2,1,0.17443750007078052,0.0,0.17508950014598668,5.711364754403987,1212414464,1249902592,0.0,0.0,0.0,0.0,0.0,-2.1021443605422974
heldout,musique,2hop__103889_86452,2hop,2,M0_native_gist,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,native_gist_only,,,,,all_28,corrected,2297,source_relative,shared_softmax_local_plus_native_memory,2297,256,263438336,0,7,7,7,0.0030474531998258597,802816.0,224,0.96875,0,136,0.0,7,0.0,1989,7,196,802816.0,0.0,0.0,0.04861030075699091,0.0,-44.635169982910156,-11.158792495727539,0.41538360016420484,4,0.0021930149024618523,0.0,0.0021930149024618523,1.6398501523903437,,,1,0.635234700050205,0.0,0.6363288001157343,1.5715146003420273,1213090304,1249902592,0.0,0.0,0.0,0.0,-8.235029697418213,-10.33717405796051
heldout,musique,2hop__103889_86452,2hop,2,M1_whole_parent,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,selected_chunks,,,,,all_28,corrected,2297,source_relative,shared_softmax_local_plus_native_memory,2297,256,263438336,0,7,224,224,0.09751850239442751,25690112.0,224,0.0,136,136,1.0,88,0.6071428571428571,1989,224,6272,25690112.0,0.0,0.06549360021017492,0.034587800269946456,0.0,-3.2864737510681152,-0.8216184377670288,0.42410299996845424,4,0.6308099223034722,0.5813991901065622,0.0494107295359884,1.7142353994505746,2,2,1,0.3677038000896573,0.0,0.368668100098148,2.7124668495423845,1219151360,1249902592,0.0,0.0,0.0,0.0,2.1021443605422974,0.0
heldout,musique,2hop__103889_86452,2hop,2,M2_evidence_only,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,logical_intervals,0,0,,,all_28,corrected,2297,source_relative,shared_softmax_local_plus_native_memory,2297,256,263438336,0,7,136,136,0.05920766216804527,15597568.0,224,0.3928571428571429,136,136,1.0,0,1.0,1989,136,3808,15597568.0,0.011434799525886774,0.014425300527364016,0.05909339990466833,56.0,-2.593191623687744,-0.648297905921936,0.52889069984667,4,0.6126943028398922,0.6126943028398922,0.0,1.5656197922570365,2,2,1,0.5200099998619407,0.0,0.5210734000429511,1.9191154258067518,1215965184,1249902592,0.0,0.0,0.0,0.0,2.27546489238739,0.17332053184509277
heldout,musique,2hop__103889_86452,2hop,2,M3_radius_2,annotated_evidence_oracle,True,frozen_paper2_5_discovery_manifest,logical_intervals,2,2,,,all_28,corrected,2297,source_relative,shared_softmax_local_plus_native_memory,2297,256,263438336,0,7,144,144,0.06269046582498912,16515072.0,224,0.3571428571428571,136,136,1.0,8,0.9444444444444444,1989,144,4032,16515072.0,0.01246279920451343,0.013876300305128098,0.07755929976701736,56.0,-3.5329930782318115,-0.8832482695579529,0.5549564999528229,4,0.6163075545004436,0.6075390154229743,0.008768539376822966,1.586384647658893,2,2,1,0.5443170000799,0.0,0.545824799919501,1.832089711107816,1216150528,1249902592,0.0,0.0,0.0,0.0,2.0405145287513733,-0.06162983179092407
