case_id,partition,case_class,omission_stratum,compact_trigger_literal,compact_semantic_cue,backing_trigger_literal,pra_compact_recall_at_4,pra_fallback_recall_at_4,pra_native_recall_at_4,fallback_evidence_visible_at_4,native_evidence_visible_at_4,fallback_selected_chunks,native_selected_chunks,native_selection_policy,native_requested_kv_tokens,native_materialized_kv_tokens,native_consumption_verified,indexing_seconds,agent_compression_seconds,routing_seconds,routing_index_bytes,resident_detail_kv_bytes,full_backing_bytes,compact_bytes
c0-billing,validation,C0_CONTINUE,compact_explicit,1,0,1,1,1,0,0,0,"[{""chunk_id"": ""lexical-2"", ""chunk_score"": 2.0, ""logical_end"": 96, ""logical_start"": 64, ""text"": "" \""merchant token expired\"", \""row\"": 0, \""status\"": \""target\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 01""}, {""chunk_id"": ""lexical-0"", ""chunk_score"": 0.0, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""columns\"": [\""row\"", \""domain\"", \""status\"", \""observation\"", \""lookup_key\"", \""answer_code\""], \""rows\"": [{\""answer_code\"": \""BILL""}, {""chunk_id"": ""lexical-1"", ""chunk_score"": 0.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": ""ING-00-OK\"", \""domain\"": \""billing\"", \""lookup_key\"": \""ZX-BIL-00-91Q\"", \""observation\"":""}, {""chunk_id"": ""lexical-10"", ""chunk_score"": 0.0, ""logical_end"": 352, ""logical_start"": 320, ""text"": ""\"", \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 10\"", \""row\"":""}]","[{""chunk_id"": ""pra-record://a2f71c8f86f3876f2085fb7e/db_result/sha256:c8de537175a14ca174205a443bd6099fd1510c82d7cc7b8fa69b905f37b1d3a6/views/backing#chunk=48:80"", ""chunk_score"": 0.27033549547195435, ""logical_end"": 80, ""logical_start"": 48, ""text"": ""\"": \""ZX-BIL-00-91Q\"", \""observation\"": \""merchant token expired\"", \""row\"": 0, \""status\"": \""target""}, {""chunk_id"": ""pra-record://a2f71c8f86f3876f2085fb7e/db_result/sha256:c8de537175a14ca174205a443bd6099fd1510c82d7cc7b8fa69b905f37b1d3a6/views/backing#chunk=72:104"", ""chunk_score"": 0.05182977765798569, ""logical_end"": 104, ""logical_start"": 72, ""text"": "" 0, \""status\"": \""target\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 01\"", \""row\"": 1, \""""}, {""chunk_id"": ""pra-record://a2f71c8f86f3876f2085fb7e/db_result/sha256:c8de537175a14ca174205a443bd6099fd1510c82d7cc7b8fa69b905f37b1d3a6/views/backing#chunk=0:32"", ""chunk_score"": 0.05172090232372284, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""columns\"": [\""row\"", \""domain\"", \""status\"", \""observation\"", \""lookup_key\"", \""answer_code\""], \""rows\"": [{\""answer_code\"": \""BILL""}, {""chunk_id"": ""pra-record://a2f71c8f86f3876f2085fb7e/db_result/sha256:c8de537175a14ca174205a443bd6099fd1510c82d7cc7b8fa69b905f37b1d3a6/views/backing#chunk=96:128"", ""chunk_score"": 0.04827359318733215, ""logical_end"": 128, ""logical_start"": 96, ""text"": ""\"", \""row\"": 1, \""status\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 02\"", \""row\"":""}]",PRA_NATIVE_HYBRID,240,240,1,13.365092899883166,0.0016566000413149595,0.17192660016007721,102400,6422528,1952,595
c1-billing,validation,C1_FULL,semantic_omission,0,1,1,0,1,1,1,1,"[{""chunk_id"": ""lexical-0"", ""chunk_score"": 2.0, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""answer_code\"": \""BILLING-00-OK\"", \""diagnosis\"": \""merchant token expired\"", \""issue_summary\"": \""payment authentication failures\"", \""""}, {""chunk_id"": ""lexical-1"", ""chunk_score"": 0.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": ""lookup_key\"": \""ZX-BIL-00-91Q\"", \""owner\"": \""paper7\"", \""request\"": \""billing\"", \""status\"": \""""}, {""chunk_id"": ""lexical-2"", ""chunk_score"": 0.0, ""logical_end"": 68, ""logical_start"": 64, ""text"": ""stored_result_complete\""}""}]","[{""chunk_id"": ""pra-record://8d4760879ee5baa111873955/api_result/sha256:6f6fde710f7193aa8bee09d0e3d19a6eebcf472d8b7b079f8353fab48809bee3/views/backing#chunk=0:32"", ""chunk_score"": 0.30671781301498413, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""answer_code\"": \""BILLING-00-OK\"", \""diagnosis\"": \""merchant token expired\"", \""issue_summary\"": \""payment authentication failures\"", \""""}, {""chunk_id"": ""pra-record://8d4760879ee5baa111873955/api_result/sha256:6f6fde710f7193aa8bee09d0e3d19a6eebcf472d8b7b079f8353fab48809bee3/views/backing#chunk=48:68"", ""chunk_score"": 0.09703510254621506, ""logical_end"": 68, ""logical_start"": 48, ""text"": ""owner\"": \""paper7\"", \""request\"": \""billing\"", \""status\"": \""stored_result_complete\""}""}, {""chunk_id"": ""pra-record://8d4760879ee5baa111873955/api_result/sha256:6f6fde710f7193aa8bee09d0e3d19a6eebcf472d8b7b079f8353fab48809bee3/views/backing#chunk=24:56"", ""chunk_score"": 0.0021087229251861572, ""logical_end"": 56, ""logical_start"": 24, ""text"": ""_summary\"": \""payment authentication failures\"", \""lookup_key\"": \""ZX-BIL-00-91Q\"", \""owner\"": \""paper7\"", \""request""}]",PRA_NATIVE_HYBRID,84,84,1,2.0222442999947816,0.0004018999170511961,0.035874899942427874,12288,688128,231,158
c2-billing,validation,C2_MORE,semantic_omission,0,1,1,0,0,1,0,1,"[{""chunk_id"": ""lexical-8"", ""chunk_score"": 2.0, ""logical_end"": 288, ""logical_start"": 256, ""text"": ""observation\"": \""merchant token expired\"", \""row\"": 7, \""status\"": \""target\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item ""}, {""chunk_id"": ""lexical-0"", ""chunk_score"": 0.0, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""columns\"": [\""row\"", \""domain\"", \""status\"", \""observation\"", \""lookup_key\"", \""answer_code\""], \""rows\"": [{\""domain\"": \""billing\"",""}, {""chunk_id"": ""lexical-1"", ""chunk_score"": 0.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": "" \""observation\"": \""payment authentication failures\"", \""row\"": 0, \""status\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item""}, {""chunk_id"": ""lexical-10"", ""chunk_score"": 0.0, ""logical_end"": 352, ""logical_start"": 320, ""text"": ""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 10\"", \""row\"": 1""}]","[{""chunk_id"": ""pra-record://0dd207011283dd636f613517/db_result/sha256:6529bb9c2b9fda0add6fc87439a5cb2963d5c251a482d017800a80c5221a0112/views/backing#chunk=256:288"", ""chunk_score"": 0.3135608434677124, ""logical_end"": 288, ""logical_start"": 256, ""text"": ""observation\"": \""merchant token expired\"", \""row\"": 7, \""status\"": \""target\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item ""}, {""chunk_id"": ""pra-record://0dd207011283dd636f613517/db_result/sha256:6529bb9c2b9fda0add6fc87439a5cb2963d5c251a482d017800a80c5221a0112/views/backing#chunk=200:232"", ""chunk_score"": 0.08103379607200623, ""logical_end"": 232, ""logical_start"": 200, ""text"": ""\"": \""routine item 06\"", \""row\"": 6, \""status\"": \""ordinary\""}, {\""answer_code\"": \""BILLING-00-OK""}, {""chunk_id"": ""pra-record://0dd207011283dd636f613517/db_result/sha256:6529bb9c2b9fda0add6fc87439a5cb2963d5c251a482d017800a80c5221a0112/views/backing#chunk=0:32"", ""chunk_score"": 0.07834310829639435, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""columns\"": [\""row\"", \""domain\"", \""status\"", \""observation\"", \""lookup_key\"", \""answer_code\""], \""rows\"": [{\""domain\"": \""billing\"",""}, {""chunk_id"": ""pra-record://0dd207011283dd636f613517/db_result/sha256:6529bb9c2b9fda0add6fc87439a5cb2963d5c251a482d017800a80c5221a0112/views/backing#chunk=48:80"", ""chunk_score"": 0.05412156879901886, ""logical_end"": 80, ""logical_start"": 48, ""text"": ""\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 01\"", \""row\"": 1, \""status\"": \""ordinary\""},""}]",PRA_NATIVE_HYBRID,256,256,1,15.500461699906737,0.0014400999061763287,0.1664101998321712,102400,6406144,1968,543
c3-billing,validation,C3_CURSOR,semantic_omission,0,1,1,0,0,1,0,1,"[{""chunk_id"": ""lexical-6"", ""chunk_score"": 2.0, ""logical_end"": 224, ""logical_start"": 192, ""text"": ""00-91Q\"", \""observation\"": \""merchant token expired\"", \""row\"": 5, \""status\"": \""target\""}, {\""domain\"": \""billing""}, {""chunk_id"": ""lexical-0"", ""chunk_score"": 0.0, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""columns\"": [\""row\"", \""domain\"", \""status\"", \""observation\"", \""lookup_key\"", \""answer_code\""], \""rows\"": [{\""domain\"": \""billing\"",""}, {""chunk_id"": ""lexical-1"", ""chunk_score"": 0.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": "" \""observation\"": \""payment authentication failures\"", \""row\"": 0, \""status\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item""}, {""chunk_id"": ""lexical-10"", ""chunk_score"": 0.0, ""logical_end"": 352, ""logical_start"": 320, ""text"": ""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item 10\"", \""row\"": 1""}]","[{""chunk_id"": ""pra-record://82730a0847a787783e2540dd/db_result/sha256:e2199540228f4f2a5c1ef373b2a54efb501f933a0687ceda6ed1b8998edeba25/views/backing#chunk=200:232"", ""chunk_score"": 0.2936406135559082, ""logical_end"": 232, ""logical_start"": 200, ""text"": ""observation\"": \""merchant token expired\"", \""row\"": 5, \""status\"": \""target\""}, {\""domain\"": \""billing\"", \""observation\"": \""routine item ""}, {""chunk_id"": ""pra-record://82730a0847a787783e2540dd/db_result/sha256:e2199540228f4f2a5c1ef373b2a54efb501f933a0687ceda6ed1b8998edeba25/views/backing#chunk=176:208"", ""chunk_score"": 0.2572793662548065, ""logical_end"": 208, ""logical_start"": 176, ""text"": ""\"", \""domain\"": \""billing\"", \""lookup_key\"": \""ZX-BIL-00-91Q\"", \""observation\"": \""merchant token expired\"", \""""}, {""chunk_id"": ""pra-record://82730a0847a787783e2540dd/db_result/sha256:e2199540228f4f2a5c1ef373b2a54efb501f933a0687ceda6ed1b8998edeba25/views/backing#chunk=0:32"", ""chunk_score"": 0.07779909670352936, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""columns\"": [\""row\"", \""domain\"", \""status\"", \""observation\"", \""lookup_key\"", \""answer_code\""], \""rows\"": [{\""domain\"": \""billing\"",""}, {""chunk_id"": ""pra-record://82730a0847a787783e2540dd/db_result/sha256:e2199540228f4f2a5c1ef373b2a54efb501f933a0687ceda6ed1b8998edeba25/views/backing#chunk=152:184"", ""chunk_score"": 0.07199973613023758, ""logical_end"": 184, ""logical_start"": 152, ""text"": "" \""row\"": 4, \""status\"": \""ordinary\""}, {\""answer_code\"": \""BILLING-00-OK\"", \""domain\"": \""billing\"", \""""}]",PRA_NATIVE_HYBRID,256,256,1,16.713703400222585,0.0020194000098854303,0.17962479987181723,102400,6406144,1968,543
c4-billing,validation,C4_SEARCH,semantic_omission,0,1,0,0,0,0,0,1,"[{""chunk_id"": ""lexical-2"", ""chunk_score"": 5.0, ""logical_end"": 96, ""logical_start"": 64, ""text"": "" status=ordinary\nline_06 domain=billing status=ordinary\nline_07 diagnosis=merchant token expired ANSWER_CODE=BILLING-0""}, {""chunk_id"": ""lexical-0"", ""chunk_score"": 0.0, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""line_00 domain=billing warning=payment authentication failures\nline_01 domain=billing status=ordinary\nline_02 domain=billing status""}, {""chunk_id"": ""lexical-1"", ""chunk_score"": 0.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": ""=ordinary\nline_03 domain=billing status=ordinary\nline_04 domain=billing status=ordinary\nline_05 domain=billing""}, {""chunk_id"": ""lexical-3"", ""chunk_score"": 0.0, ""logical_end"": 128, ""logical_start"": 96, ""text"": ""0-OK\nline_08 domain=billing status=ordinary\nline_09 domain=billing status=ordinary\nline_10 domain=b""}]","[{""chunk_id"": ""pra-record://569c96850261e6f2084d679f/log_block/sha256:e0e0fdac837805706ff44fa69253aee72e85a16b9065befc8ddc629841bb1cbb/views/backing#chunk=72:104"", ""chunk_score"": 0.3057749271392822, ""logical_end"": 104, ""logical_start"": 72, ""text"": "" domain=billing status=ordinary\nline_07 diagnosis=merchant token expired ANSWER_CODE=BILLING-00-OK\nline_08""}, {""chunk_id"": ""pra-record://569c96850261e6f2084d679f/log_block/sha256:e0e0fdac837805706ff44fa69253aee72e85a16b9065befc8ddc629841bb1cbb/views/backing#chunk=96:128"", ""chunk_score"": 0.04304971173405647, ""logical_end"": 128, ""logical_start"": 96, ""text"": ""0-OK\nline_08 domain=billing status=ordinary\nline_09 domain=billing status=ordinary\nline_10 domain=b""}, {""chunk_id"": ""pra-record://569c96850261e6f2084d679f/log_block/sha256:e0e0fdac837805706ff44fa69253aee72e85a16b9065befc8ddc629841bb1cbb/views/backing#chunk=0:32"", ""chunk_score"": 0.01559423841536045, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""line_00 domain=billing warning=payment authentication failures\nline_01 domain=billing status=ordinary\nline_02 domain=billing status""}, {""chunk_id"": ""pra-record://569c96850261e6f2084d679f/log_block/sha256:e0e0fdac837805706ff44fa69253aee72e85a16b9065befc8ddc629841bb1cbb/views/backing#chunk=48:80"", ""chunk_score"": 0.014119679108262062, ""logical_end"": 80, ""logical_start"": 48, ""text"": ""04 domain=billing status=ordinary\nline_05 domain=billing status=ordinary\nline_06 domain=billing status=ordinary\nline""}]",PRA_NATIVE_HYBRID,256,256,0,7.676560400053859,0.000564799876883626,0.2788670000154525,45056,2777088,987,264
c5-billing,validation,C5_TOOL,absent_from_backing,0,1,0,0,0,0,0,0,"[{""chunk_id"": ""lexical-0"", ""chunk_score"": 0.0, ""logical_end"": 23, ""logical_start"": 0, ""text"": ""{\""issue_summary\"": \""payment authentication failures\"", \""request\"": \""billing\"", \""status\"": \""requires_external_lookup\""}""}]","[{""chunk_id"": ""pra-record://6e5f734c19217ecf5c5d27f8/api_result/sha256:cd433a5189182b1356fc1276afa50426aee3b8af2d2ba19d8f5f230eeed3f8ae/views/backing#chunk=0:23"", ""chunk_score"": 0.1038297489285469, ""logical_end"": 23, ""logical_start"": 0, ""text"": ""{\""issue_summary\"": \""payment authentication failures\"", \""request\"": \""billing\"", \""status\"": \""requires_external_lookup\""}""}]",PRA_NATIVE_HYBRID,23,23,0,1.1695724001619965,0.00014619994908571243,0.015424600103870034,4096,188416,112,161
c0-deployment,validation,C0_CONTINUE,compact_explicit,1,1,1,0,0,1,0,1,"[{""chunk_id"": ""lexical-1"", ""chunk_score"": 7.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": ""PLOY-01-OK\"", \""domain\"": \""deployment\"", \""lookup_key\"": \""ZX-DEP-01-91Q\"", \""observation""}, {""chunk_id"": ""lexical-10"", ""chunk_score"": 3.0, ""logical_end"": 352, ""logical_start"": 320, ""text"": ""9\"", \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 10\"", \""row""}, {""chunk_id"": ""lexical-11"", ""chunk_score"": 2.0, ""logical_end"": 384, ""logical_start"": 352, ""text"": ""\"": 10, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 11\"", \""row\"": 1""}, {""chunk_id"": ""lexical-19"", ""chunk_score"": 2.0, ""logical_end"": 625, ""logical_start"": 608, ""text"": ""19\"", \""row\"": 19, \""status\"": \""ordinary\""}]}""}]","[{""chunk_id"": ""pra-record://66b06b516eeffa1a2a2b191a/db_result/sha256:8e48eb121a8c34268316cdb44eed566702e20d7a9d8e2784716e0a465b68a30e/views/backing#chunk=48:80"", ""chunk_score"": 0.7033149600028992, ""logical_end"": 80, ""logical_start"": 48, ""text"": ""\"": \""ZX-DEP-01-91Q\"", \""observation\"": \""opaque keyed result\"", \""row\"": 0, \""status\"": \""""}, {""chunk_id"": ""pra-record://66b06b516eeffa1a2a2b191a/db_result/sha256:8e48eb121a8c34268316cdb44eed566702e20d7a9d8e2784716e0a465b68a30e/views/backing#chunk=608:625"", ""chunk_score"": 0.43543073534965515, ""logical_end"": 625, ""logical_start"": 608, ""text"": ""19\"", \""row\"": 19, \""status\"": \""ordinary\""}]}""}, {""chunk_id"": ""pra-record://66b06b516eeffa1a2a2b191a/db_result/sha256:8e48eb121a8c34268316cdb44eed566702e20d7a9d8e2784716e0a465b68a30e/views/backing#chunk=24:56"", ""chunk_score"": 0.4166053235530853, ""logical_end"": 56, ""logical_start"": 24, ""text"": ""rows\"": [{\""answer_code\"": \""DEPLOY-01-OK\"", \""domain\"": \""deployment\"", \""lookup_key\"": \""ZX-DEP-0""}, {""chunk_id"": ""pra-record://66b06b516eeffa1a2a2b191a/db_result/sha256:8e48eb121a8c34268316cdb44eed566702e20d7a9d8e2784716e0a465b68a30e/views/backing#chunk=304:336"", ""chunk_score"": 0.2895589768886566, ""logical_end"": 336, ""logical_start"": 304, ""text"": ""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 09\"", \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain""}]",PRA_NATIVE_HYBRID,241,241,0,21.35767380008474,0.0011690999381244183,0.19513219990767539,102400,6430720,2008,600
c1-deployment,validation,C1_FULL,opaque_hidden,0,0,1,0,1,1,1,1,"[{""chunk_id"": ""lexical-1"", ""chunk_score"": 7.0, ""logical_end"": 64, ""logical_start"": 32, ""text"": ""lookup_key\"": \""ZX-DEP-01-91Q\"", \""owner\"": \""paper7\"", \""request\"": \""deployment\"", \""status\"":""}, {""chunk_id"": ""lexical-0"", ""chunk_score"": 4.0, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""answer_code\"": \""DEPLOY-01-OK\"", \""diagnosis\"": \""opaque keyed result\"", \""issue_summary\"": \""routine processing summary\"", \""""}, {""chunk_id"": ""lexical-2"", ""chunk_score"": 0.0, ""logical_end"": 69, ""logical_start"": 64, ""text"": "" \""stored_result_complete\""}""}]","[{""chunk_id"": ""pra-record://75934a048c01800048c16cad/api_result/sha256:983e81850ddf8ec8b74e585696b805387320db98f549a3854a991ed073bed076/views/backing#chunk=24:56"", ""chunk_score"": 0.7037437558174133, ""logical_end"": 56, ""logical_start"": 24, ""text"": ""_summary\"": \""routine processing summary\"", \""lookup_key\"": \""ZX-DEP-01-91Q\"", \""owner\"": \""paper7\"", \""""}, {""chunk_id"": ""pra-record://75934a048c01800048c16cad/api_result/sha256:983e81850ddf8ec8b74e585696b805387320db98f549a3854a991ed073bed076/views/backing#chunk=0:32"", ""chunk_score"": 0.37763649225234985, ""logical_end"": 32, ""logical_start"": 0, ""text"": ""{\""answer_code\"": \""DEPLOY-01-OK\"", \""diagnosis\"": \""opaque keyed result\"", \""issue_summary\"": \""routine processing summary\"", \""""}, {""chunk_id"": ""pra-record://75934a048c01800048c16cad/api_result/sha256:983e81850ddf8ec8b74e585696b805387320db98f549a3854a991ed073bed076/views/backing#chunk=48:69"", ""chunk_score"": 0.0019420117605477571, ""logical_end"": 69, ""logical_start"": 48, ""text"": "" \""owner\"": \""paper7\"", \""request\"": \""deployment\"", \""status\"": \""stored_result_complete\""}""}]",PRA_NATIVE_HYBRID,85,85,0,1.8978170999325812,0.00017649983055889606,0.1328942000400275,12288,696320,225,156
c2-deployment,validation,C2_MORE,opaque_hidden,0,0,1,0,1,1,1,1,"[{""chunk_id"": ""lexical-7"", ""chunk_score"": 7.0, ""logical_end"": 256, ""logical_start"": 224, ""text"": "" \""DEPLOY-01-OK\"", \""domain\"": \""deployment\"", \""lookup_key\"": \""ZX-DEP-01-91Q\"",""}, {""chunk_id"": ""lexical-10"", ""chunk_score"": 3.0, ""logical_end"": 352, ""logical_start"": 320, ""text"": "" \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 10\"", \""row\"": ""}, {""chunk_id"": ""lexical-11"", ""chunk_score"": 2.0, ""logical_end"": 384, ""logical_start"": 352, ""text"": ""10, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 11\"", \""row\"": 11,""}, {""chunk_id"": ""lexical-18"", ""chunk_score"": 2.0, ""logical_end"": 608, ""logical_start"": 576, ""text"": "" 18\"", \""row\"": 18, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 19""}]","[{""chunk_id"": ""pra-record://cfa1f78ad7c94f5c46f07ab1/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=224:256"", ""chunk_score"": 0.6539053916931152, ""logical_end"": 256, ""logical_start"": 224, ""text"": "" \""DEPLOY-01-OK\"", \""domain\"": \""deployment\"", \""lookup_key\"": \""ZX-DEP-01-91Q\"",""}, {""chunk_id"": ""pra-record://cfa1f78ad7c94f5c46f07ab1/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=608:623"", ""chunk_score"": 0.4382084608078003, ""logical_end"": 623, ""logical_start"": 608, ""text"": ""\"", \""row\"": 19, \""status\"": \""ordinary\""}]}""}, {""chunk_id"": ""pra-record://cfa1f78ad7c94f5c46f07ab1/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=200:232"", ""chunk_score"": 0.3536931872367859, ""logical_end"": 232, ""logical_start"": 200, ""text"": ""\"": \""routine item 06\"", \""row\"": 6, \""status\"": \""ordinary\""}, {\""answer_code\"": \""DEPLOY-01-OK""}, {""chunk_id"": ""pra-record://cfa1f78ad7c94f5c46f07ab1/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=304:336"", ""chunk_score"": 0.30440086126327515, ""logical_end"": 336, ""logical_start"": 304, ""text"": "" {\""domain\"": \""deployment\"", \""observation\"": \""routine item 09\"", \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""""}]",PRA_NATIVE_HYBRID,239,239,0,13.508302900008857,0.00230199983343482,0.17825790005736053,102400,6414336,2019,547
c3-deployment,validation,C3_CURSOR,opaque_hidden,0,0,1,0,1,1,1,1,"[{""chunk_id"": ""lexical-7"", ""chunk_score"": 7.0, ""logical_end"": 256, ""logical_start"": 224, ""text"": "" \""DEPLOY-01-OK\"", \""domain\"": \""deployment\"", \""lookup_key\"": \""ZX-DEP-01-91Q\"",""}, {""chunk_id"": ""lexical-10"", ""chunk_score"": 3.0, ""logical_end"": 352, ""logical_start"": 320, ""text"": "" \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 10\"", \""row\"": ""}, {""chunk_id"": ""lexical-11"", ""chunk_score"": 2.0, ""logical_end"": 384, ""logical_start"": 352, ""text"": ""10, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 11\"", \""row\"": 11,""}, {""chunk_id"": ""lexical-18"", ""chunk_score"": 2.0, ""logical_end"": 608, ""logical_start"": 576, ""text"": "" 18\"", \""row\"": 18, \""status\"": \""ordinary\""}, {\""domain\"": \""deployment\"", \""observation\"": \""routine item 19""}]","[{""chunk_id"": ""pra-record://eb49e1bfc1628911653fc876/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=224:256"", ""chunk_score"": 0.6539053916931152, ""logical_end"": 256, ""logical_start"": 224, ""text"": "" \""DEPLOY-01-OK\"", \""domain\"": \""deployment\"", \""lookup_key\"": \""ZX-DEP-01-91Q\"",""}, {""chunk_id"": ""pra-record://eb49e1bfc1628911653fc876/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=608:623"", ""chunk_score"": 0.4382084608078003, ""logical_end"": 623, ""logical_start"": 608, ""text"": ""\"", \""row\"": 19, \""status\"": \""ordinary\""}]}""}, {""chunk_id"": ""pra-record://eb49e1bfc1628911653fc876/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=200:232"", ""chunk_score"": 0.3536931872367859, ""logical_end"": 232, ""logical_start"": 200, ""text"": ""\"": \""routine item 06\"", \""row\"": 6, \""status\"": \""ordinary\""}, {\""answer_code\"": \""DEPLOY-01-OK""}, {""chunk_id"": ""pra-record://eb49e1bfc1628911653fc876/db_result/sha256:58e71bb8b1d6a63d4bce86d05bb49d947282943bddebd5b5228559ecdda1ecda/views/backing#chunk=304:336"", ""chunk_score"": 0.30440086126327515, ""logical_end"": 336, ""logical_start"": 304, ""text"": "" {\""domain\"": \""deployment\"", \""observation\"": \""routine item 09\"", \""row\"": 9, \""status\"": \""ordinary\""}, {\""domain\"": \""""}]",PRA_NATIVE_HYBRID,239,239,0,13.392881399951875,0.001286699902266264,0.19187540002167225,102400,6414336,2019,547
