constrained_polarity,example_id,gold_first_token_margin,gold_first_token_probability,gold_first_token_rank,gold_mean_token_logprob,gold_polarity_margin,gold_sequence_logprob,no_logprob,reference_answer,routing_selected_entropy,routing_selected_fraction,routing_selected_score_mean,routing_top1_score,routing_top1_top2_margin,split,yes_logprob,yes_minus_no_logprob
no,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,-3.78125,0.005994453094899654,10,-5.1169209480285645,0.08223843574523926,-5.1169209480285645,-1.3130673170089722,no,1.0959311723709106,0.017964071856287425,0.45165205001831055,0.5531677603721619,0.14352291822433472,train,-1.3953057527542114,-0.08223843574523926
yes,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,-5.84375,0.0012675600592046976,17,-6.670661449432373,2.658991575241089,-6.670661449432373,-3.5919835567474365,yes,1.0982911586761475,0.016483516483516484,0.36909447113672894,0.39668604731559753,0.021421819925308228,train,-0.9329919815063477,2.658991575241089
yes,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,-9.703125,4.741758675663732e-05,40,-9.956517219543457,-3.686124086380005,-9.956517219543457,-3.9384355545043945,no,1.0985240936279297,0.016666666666666666,0.3784593939781189,0.39024752378463745,0.004959702491760254,train,-0.25231143832206726,3.686124086380005
yes,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,-6.421875,0.0012880864087492228,14,-6.654597759246826,4.0124640464782715,-6.654597759246826,-4.243319988250732,yes,1.097981572151184,0.02459016393442623,0.3007320761680603,0.3482150137424469,0.05766257643699646,train,-0.23085607588291168,4.0124640464782715
yes,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,-8.421875,0.00016464666987303644,56,-8.711709022521973,-2.6721787452697754,-8.711709022521973,-2.958405017852783,no,1.0948792695999146,0.021897810218978103,0.5136730074882507,0.6283344030380249,0.13849329948425293,train,-0.28622639179229736,2.6721787452697754
no,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,-4.046875,0.008640066720545292,9,-4.751344680786133,1.0601763725280762,-4.751344680786133,-0.6869545578956604,no,1.0950953960418701,0.022727272727272728,0.3984183768431346,0.511603593826294,0.14360174536705017,train,-1.7471308708190918,-1.0601763725280762
no,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,-5.421875,0.001820868463255465,16,-6.308441638946533,-0.03243827819824219,-6.308441638946533,-0.8807696104049683,yes,1.0914610624313354,0.028846153846153848,0.45482946435610455,0.6148607730865479,0.20014464855194092,train,-0.9132078886032104,-0.03243827819824219
yes,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,-5.109375,0.003048832295462489,12,-5.792996406555176,1.5435442924499512,-5.792996406555176,-2.220911979675293,yes,1.0959843397140503,0.015706806282722512,0.28341108560562134,0.384265661239624,0.1472724825143814,train,-0.6773676872253418,1.5435442924499512
yes,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,-5.5078125,0.0015127826482057571,25,-6.493804454803467,-0.4680178761482239,-6.493804454803467,-1.4481221437454224,no,1.097176194190979,0.017045454545454544,0.49906055132548016,0.573490560054779,0.10393249988555908,train,-0.9801042675971985,0.4680178761482239
yes,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,-5.265625,0.0021335864439606667,11,-6.149950981140137,1.4683334827423096,-6.149950981140137,-2.5028321743011475,yes,1.098402500152588,0.026785714285714284,0.268136461575826,0.2942642867565155,0.028422653675079346,train,-1.034498691558838,1.4683334827423096
yes,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,-6.953125,0.0004643811553250998,20,-7.674805164337158,0.7963125705718994,-7.674805164337158,-2.094369888305664,yes,1.0984153747558594,0.018633540372670808,0.21906915803750357,0.24350886046886444,0.02470649778842926,train,-1.2980573177337646,0.7963125705718994
yes,1808.10245:da9c0637623885afaf023a319beee87898948fe9,-8.21875,0.0001140109816333279,16,-9.079216003417969,0.09383904933929443,-9.079216003417969,-1.4694652557373047,yes,1.095397710800171,0.031914893617021274,0.3106803347667058,0.3874281644821167,0.040534645318984985,train,-1.3756262063980103,0.09383904933929443
no,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,-7.90625,0.0001690485078142956,71,-8.685324668884277,0.18763607740402222,-8.685324668884277,-0.7786440253257751,no,1.0913472175598145,0.027522935779816515,0.346769243478775,0.5131035447120667,0.24540561437606812,validation,-0.9662801027297974,-0.18763607740402222
yes,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,-5.0078125,0.002540007932111621,11,-5.975587844848633,-0.4612565040588379,-5.975587844848633,-1.672736644744873,no,1.0982298851013184,0.023622047244094488,0.47335179646809894,0.5111109614372253,0.048444390296936035,validation,-1.2114801406860352,0.4612565040588379
no,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,-8.4453125,0.00015969097148627043,30,-8.742269515991211,-1.812831163406372,-8.742269515991211,-0.295213907957077,yes,1.094987392425537,0.03409090909090909,0.4527417520682017,0.5283975601196289,0.02960658073425293,validation,-2.1080451011657715,-1.812831163406372
yes,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,-7.015625,0.000754552660509944,13,-7.189385414123535,-1.7527060508728027,-7.189385414123535,-4.3624796867370605,no,1.0977461338043213,0.010344827586206896,0.4123307168483734,0.45856934785842896,0.037435293197631836,validation,-2.609773635864258,1.7527060508728027
