dataset,policy,N,examples,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
qasper,iterative,170.0,20,5.0,27.75,4.35,0.8699999999999999,0.22009803921568624,0.45,0.16323529411764706,5.55,0.8367647058823529,7.483333333333334
qasper,iterative,176.0,20,3.0,29.0,2.75,0.9166666666666666,0.13776205450733753,0.75,0.16477272727272727,9.666666666666668,0.8352272727272727,8.082040531097133
qasper,iterative,189.0,20,8.0,31.0,2.1,0.2625,0.08956140350877193,0.0,0.164021164021164,3.875,0.8359788359788359,2.115888157894737
qasper,iterative,206.0,20,5.0,34.0,2.55,0.51,0.09709188660801564,0.1,0.16504854368932037,6.8,0.8349514563106796,4.000185728250245
qasper,iterative,290.0,20,75.0,47.25,5.8,0.07733333333333334,0.10844827586206898,0.0,0.16293103448275864,0.63,0.8370689655172414,0.41933333333333334
qasper,iterative,68.0,20,6.0,11.5,3.7,0.6166666666666667,0.375,0.15,0.16911764705882354,1.9166666666666667,0.8308823529411764,4.25
qasper,iterative,72.0,20,4.0,12.25,3.2,0.8,0.34295454545454546,0.45,0.1701388888888889,3.0625,0.829861111111111,6.173181818181819
qasper,iterative,88.0,20,8.0,14.75,3.1,0.3875,0.27111111111111114,0.0,0.16761363636363638,1.84375,0.8323863636363636,2.982222222222222
qasper,iterative,94.0,20,7.0,15.75,1.5,0.21428571428571427,0.0886388384754991,0.0,0.1675531914893617,2.25,0.8324468085106382,1.1902929738138448
qasper,one_shot,109.0,20,1.0,18.0,1.0,1.0,0.08333333333333334,1.0,0.1651376146788991,18.0,0.8348623853211009,9.083333333333332
qasper,one_shot,111.0,20,1.0,18.75,1.0,1.0,0.08072250639386189,1.0,0.16891891891891891,18.75,0.831081081081081,8.960198209718671
qasper,one_shot,112.0,20,7.0,18.75,2.95,0.42142857142857143,0.17911338448422848,0.0,0.16741071428571427,2.6785714285714284,0.8325892857142858,2.8658141517476556
qasper,one_shot,127.0,20,15.0,21.25,3.5,0.23333333333333334,0.1794871794871795,0.0,0.16732283464566927,1.4166666666666667,0.8326771653543308,1.5196581196581196
qasper,one_shot,148.0,20,14.0,24.5,3.05,0.21785714285714283,0.11986111111111111,0.0,0.16554054054054054,1.75,0.8344594594594594,1.2671031746031745
qasper,one_shot,161.0,40,9.0,27.0,3.25,0.5053846153846153,0.13651218062982767,0.275,0.16770186335403728,3.7384615384615385,0.8322981366459627,3.6429529294235174
qasper,one_shot,170.0,20,5.0,27.75,4.35,0.8699999999999999,0.21748366013071893,0.5,0.16323529411764706,5.55,0.8367647058823529,7.394444444444444
qasper,one_shot,176.0,20,3.0,29.0,2.8,0.9333333333333333,0.14331761006289306,0.8,0.16477272727272727,9.666666666666668,0.8352272727272727,8.407966457023061
qasper,one_shot,189.0,20,8.0,31.0,2.35,0.29375,0.0974561403508772,0.0,0.164021164021164,3.875,0.8359788359788359,2.302401315789474
qasper,one_shot,206.0,20,5.0,34.0,2.3,0.45999999999999996,0.08400712191034772,0.05,0.16504854368932037,6.8,0.8349514563106796,3.461093422706326
qasper,one_shot,290.0,20,75.0,47.25,5.75,0.07666666666666667,0.12224137931034482,0.0,0.16293103448275864,0.63,0.8370689655172414,0.4726666666666667
qasper,one_shot,68.0,20,6.0,11.5,2.9,0.4833333333333333,0.32142857142857145,0.0,0.16911764705882354,1.9166666666666667,0.8308823529411764,3.6428571428571432
qasper,one_shot,72.0,20,4.0,12.25,3.05,0.7625,0.3054545454545455,0.45,0.1701388888888889,3.0625,0.829861111111111,5.498181818181818
qasper,one_shot,88.0,20,8.0,14.75,2.8,0.35,0.24277777777777776,0.0,0.16761363636363638,1.84375,0.8323863636363636,2.6705555555555556
qasper,one_shot,94.0,20,7.0,15.75,1.6,0.22857142857142856,0.08890199637023594,0.0,0.1675531914893617,2.25,0.8324468085106382,1.1938268084003112
qasper,oracle,109.0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.009174311926605505,1.0,0.9908256880733946,109.0
qasper,oracle,111.0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.009009009009009009,1.0,0.990990990990991,111.0
qasper,oracle,112.0,20,7.0,6.75,6.75,0.9642857142857142,1.0,0.75,0.06026785714285714,0.9642857142857142,0.9397321428571429,16.0
qasper,oracle,127.0,20,15.0,12.5,12.5,0.8333333333333334,1.0,0.5,0.0984251968503937,0.8333333333333334,0.9015748031496063,8.466666666666667
qasper,oracle,148.0,20,14.0,12.5,12.5,0.8928571428571429,1.0,0.75,0.08445945945945946,0.8928571428571429,0.9155405405405406,10.571428571428571
qasper,oracle,161.0,40,9.0,8.5,8.5,0.9615384615384615,1.0,0.875,0.052795031055900624,0.9615384615384615,0.9472049689440993,22.292307692307695
qasper,oracle,170.0,20,5.0,5.0,5.0,1.0,1.0,1.0,0.029411764705882353,1.0,0.9705882352941175,34.0
qasper,oracle,176.0,20,3.0,3.0,3.0,1.0,1.0,1.0,0.017045454545454544,1.0,0.9829545454545453,58.66666666666667
qasper,oracle,189.0,20,8.0,8.0,8.0,1.0,1.0,1.0,0.042328042328042326,1.0,0.9576719576719576,23.625
qasper,oracle,206.0,20,5.0,5.0,5.0,1.0,1.0,1.0,0.024271844660194174,1.0,0.9757281553398058,41.2
qasper,oracle,290.0,20,75.0,44.25,44.25,0.5900000000000001,1.0,0.25,0.15258620689655172,0.5900000000000001,0.8474137931034482,3.8666666666666663
qasper,oracle,68.0,20,6.0,5.5,5.5,0.9166666666666666,1.0,0.75,0.08088235294117647,0.9166666666666666,0.9191176470588236,11.333333333333332
qasper,oracle,72.0,20,4.0,4.0,4.0,1.0,1.0,1.0,0.05555555555555556,1.0,0.9444444444444444,18.0
qasper,oracle,88.0,20,8.0,7.25,7.25,0.90625,1.0,0.75,0.08238636363636363,0.90625,0.9176136363636364,11.0
qasper,oracle,94.0,20,7.0,6.5,6.5,0.9285714285714286,1.0,0.75,0.06914893617021275,0.9285714285714286,0.9308510638297871,13.428571428571427
synthetic_2hop,one_shot,10.0,320,2.0,2.0,1.0,0.5,0.5,0.0,0.2,1.0,0.8,2.5
synthetic_2hop,oracle,10.0,320,2.0,2.0,2.0,1.0,1.0,1.0,0.2,1.0,0.8,5.0
synthetic_3hop,one_shot,11.0,320,3.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.2727272727272727,1.0,0.7272727272727273,1.2222222222222223
synthetic_3hop,oracle,11.0,320,3.0,3.0,3.0,1.0,1.0,1.0,0.2727272727272727,1.0,0.7272727272727273,3.666666666666667
