dataset,policy,E,examples,N,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
hotpotqa,iterative,3.0,20,48.0,8.25,0.7,0.2333333333333333,0.058333333333333334,0.0,0.171875,2.75,0.828125,0.9333333333333332
hotpotqa,iterative,4.0,160,50.875,8.625,1.4375,0.359375,0.23757870647262097,0.06875,0.17006592591793382,2.15625,0.8299340740820662,2.3612081443547313
hotpotqa,iterative,5.0,80,47.0,7.875,1.025,0.20500000000000002,0.15352328431372547,0.0,0.16747906698564594,1.575,0.832520933014354,1.3988602941176471
hotpotqa,iterative,6.0,20,62.0,10.75,0.7,0.11666666666666665,0.060591382301908615,0.0,0.17338709677419356,1.7916666666666665,0.8266129032258064,0.6261109504530558
hotpotqa,iterative,7.0,40,48.5,8.25,1.575,0.225,0.20833333333333334,0.0,0.1702659574468085,1.1785714285714286,0.8297340425531916,1.4709523809523808
hotpotqa,one_shot,3.0,20,48.0,8.25,0.85,0.2833333333333333,0.09833333333333334,0.0,0.171875,2.75,0.828125,1.5733333333333333
hotpotqa,one_shot,4.0,160,50.875,8.625,1.4375,0.359375,0.23059513722753855,0.0875,0.17006592591793382,2.15625,0.8299340740820662,2.2759246556851407
hotpotqa,one_shot,5.0,80,47.0,7.875,1.1625,0.2325,0.179049688057041,0.0,0.16747906698564594,1.575,0.832520933014354,1.6537132352941177
hotpotqa,one_shot,6.0,20,62.0,10.75,0.7,0.11666666666666665,0.06924522845575477,0.0,0.17338709677419356,1.7916666666666665,0.8266129032258064,0.7155340273761326
hotpotqa,one_shot,7.0,40,48.5,8.25,1.575,0.225,0.185,0.0,0.1702659574468085,1.1785714285714286,0.8297340425531916,1.3053571428571427
hotpotqa,oracle,3.0,20,48.0,3.0,3.0,1.0,1.0,1.0,0.0625,1.0,0.9375,16.0
hotpotqa,oracle,4.0,160,50.875,3.59375,3.59375,0.8984375,1.0,0.75,0.08266763059749174,0.8984375,0.9173323694025083,12.71875
hotpotqa,oracle,5.0,80,47.0,4.25,4.25,0.85,1.0,0.625,0.09222488038277513,0.85,0.9077751196172249,9.4
hotpotqa,oracle,6.0,20,62.0,5.5,5.5,0.9166666666666666,1.0,0.75,0.08870967741935484,0.9166666666666666,0.9112903225806452,10.333333333333334
hotpotqa,oracle,7.0,40,48.5,5.5,5.5,0.7857142857142857,1.0,0.5,0.11351063829787233,0.7857142857142857,0.8864893617021277,6.928571428571428
qasper,iterative,1.0,40,110.0,18.375,0.975,0.975,0.07786125319693095,0.975,0.167028266798909,18.375,0.832971733201091,8.567599104859335
qasper,iterative,13.0,20,161.0,27.0,1.4,0.10769230769230771,0.04070719196769617,0.0,0.16770186335403728,2.076923076923077,0.8322981366459627,0.5041429159076218
qasper,iterative,14.0,20,148.0,24.5,1.6,0.11428571428571428,0.048888888888888885,0.0,0.16554054054054054,1.75,0.8344594594594594,0.5168253968253967
qasper,iterative,15.0,20,127.0,21.25,3.1,0.20666666666666664,0.16016483516483518,0.0,0.16732283464566927,1.4166666666666667,0.8326771653543308,1.3560622710622712
qasper,iterative,3.0,20,176.0,29.0,2.75,0.9166666666666666,0.13776205450733753,0.75,0.16477272727272727,9.666666666666668,0.8352272727272727,8.082040531097133
qasper,iterative,4.0,20,72.0,12.25,3.2,0.8,0.34295454545454546,0.45,0.1701388888888889,3.0625,0.829861111111111,6.173181818181819
qasper,iterative,5.0,60,179.0,29.583333333333332,3.683333333333333,0.7366666666666667,0.17323515916630583,0.35,0.16532856705366825,5.916666666666667,0.8346714329463317,6.001506608508506
qasper,iterative,6.0,20,68.0,11.5,3.7,0.6166666666666667,0.375,0.15,0.16911764705882354,1.9166666666666667,0.8308823529411764,4.25
qasper,iterative,7.0,40,103.0,17.25,2.075,0.29642857142857143,0.12776464515420308,0.0,0.16748195288753798,2.4642857142857144,0.832518047112462,1.9302701015701789
qasper,iterative,75.0,20,290.0,47.25,5.8,0.07733333333333334,0.10844827586206898,0.0,0.16293103448275864,0.63,0.8370689655172414,0.41933333333333334
qasper,iterative,8.0,40,138.5,22.875,2.6,0.325,0.18033625730994152,0.0,0.16581740019240018,2.859375,0.8341825998075999,2.5490551900584797
qasper,one_shot,1.0,40,110.0,18.375,1.0,1.0,0.08202791986359761,1.0,0.167028266798909,18.375,0.832971733201091,9.021765771526002
qasper,one_shot,13.0,20,161.0,27.0,2.35,0.18076923076923077,0.0759752385802806,0.0,0.16770186335403728,2.076923076923077,0.8322981366459627,0.9409241085711674
qasper,one_shot,14.0,20,148.0,24.5,3.05,0.21785714285714283,0.11986111111111111,0.0,0.16554054054054054,1.75,0.8344594594594594,1.2671031746031745
qasper,one_shot,15.0,20,127.0,21.25,3.5,0.23333333333333334,0.1794871794871795,0.0,0.16732283464566927,1.4166666666666667,0.8326771653543308,1.5196581196581196
qasper,one_shot,3.0,20,176.0,29.0,2.8,0.9333333333333333,0.14331761006289306,0.8,0.16477272727272727,9.666666666666668,0.8352272727272727,8.407966457023061
qasper,one_shot,4.0,20,72.0,12.25,3.05,0.7625,0.3054545454545455,0.45,0.1701388888888889,3.0625,0.829861111111111,5.498181818181818
qasper,one_shot,5.0,60,179.0,29.583333333333332,3.6,0.7200000000000001,0.16617996824014716,0.36666666666666664,0.16532856705366825,5.916666666666667,0.8346714329463317,5.733506539142213
qasper,one_shot,6.0,20,68.0,11.5,2.9,0.4833333333333333,0.32142857142857145,0.0,0.16911764705882354,1.9166666666666667,0.8308823529411764,3.6428571428571432
qasper,one_shot,7.0,40,103.0,17.25,2.275,0.325,0.1340076904272322,0.0,0.16748195288753798,2.4642857142857144,0.832518047112462,2.029820480073983
qasper,one_shot,75.0,20,290.0,47.25,5.75,0.07666666666666667,0.12224137931034482,0.0,0.16293103448275864,0.63,0.8370689655172414,0.4726666666666667
qasper,one_shot,8.0,40,138.5,22.875,2.575,0.321875,0.1701169590643275,0.0,0.16581740019240018,2.859375,0.8341825998075999,2.4864784356725145
qasper,oracle,1.0,40,110.0,1.0,1.0,1.0,1.0,1.0,0.009091660467807256,1.0,0.9909083395321927,110.0
qasper,oracle,13.0,20,161.0,12.0,12.0,0.923076923076923,1.0,0.75,0.07453416149068323,0.923076923076923,0.9254658385093167,12.384615384615383
qasper,oracle,14.0,20,148.0,12.5,12.5,0.8928571428571429,1.0,0.75,0.08445945945945946,0.8928571428571429,0.9155405405405406,10.571428571428571
qasper,oracle,15.0,20,127.0,12.5,12.5,0.8333333333333334,1.0,0.5,0.0984251968503937,0.8333333333333334,0.9015748031496063,8.466666666666667
qasper,oracle,3.0,20,176.0,3.0,3.0,1.0,1.0,1.0,0.017045454545454544,1.0,0.9829545454545453,58.66666666666667
qasper,oracle,4.0,20,72.0,4.0,4.0,1.0,1.0,1.0,0.05555555555555556,1.0,0.9444444444444444,18.0
qasper,oracle,5.0,60,179.0,5.0,5.0,1.0,1.0,1.0,0.028246503329064847,1.0,0.9717534966709351,35.8
qasper,oracle,6.0,20,68.0,5.5,5.5,0.9166666666666666,1.0,0.75,0.08088235294117647,0.9166666666666666,0.9191176470588236,11.333333333333332
qasper,oracle,7.0,40,103.0,6.625,6.625,0.9464285714285714,1.0,0.75,0.06470839665653495,0.9464285714285714,0.9352916033434651,14.714285714285714
qasper,oracle,75.0,20,290.0,44.25,44.25,0.5900000000000001,1.0,0.25,0.15258620689655172,0.5900000000000001,0.8474137931034482,3.8666666666666663
qasper,oracle,8.0,40,138.5,7.625,7.625,0.953125,1.0,0.875,0.062357202982202986,0.953125,0.937642797017797,17.3125
synthetic_2hop,one_shot,2.0,320,10.0,2.0,1.0,0.5,0.5,0.0,0.2,1.0,0.8,2.5
synthetic_2hop,oracle,2.0,320,10.0,2.0,2.0,1.0,1.0,1.0,0.2,1.0,0.8,5.0
synthetic_3hop,one_shot,3.0,320,11.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.2727272727272727,1.0,0.7272727272727273,1.2222222222222223
synthetic_3hop,oracle,3.0,320,11.0,3.0,3.0,1.0,1.0,1.0,0.2727272727272727,1.0,0.7272727272727273,3.666666666666667
