aggregate_materialization_seconds,aggregate_materialized_kv_tokens,aggregate_memory_attention_seconds,aggregate_routing_seconds,aggregate_transfer_seconds,aggregate_transferred_kv_bytes,answer,answer_contained,answer_tokens,chunks_budget_rejected,condition,dataset,direct_context_attention_mass,direct_or_local_attention_mass,em,evidence_attention_mass,evidence_guaranteed,evidence_parent_chunks,example_id,f1,first_pra_layer,generated_answer,generation_seconds,gold_first_token_probability,gold_first_token_rank,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none,gold_mean_token_logprob,gold_sequence_logprob,kind,last_pra_layer,memory_attention_mass,native_limit_violations,peak_gpu_memory_bytes,pra_layer_count,pra_layer_fraction,process_rss_bytes,prompt_tokens,question,resident_reference_detail_kv_bytes,resident_routing_index_bytes,route_layer_routing_index_bytes,route_once_query_encoding_seconds,route_once_routing_seconds,routing_all_evidence_recall,routing_any_evidence_recall,routing_best_evidence_rank,routing_candidate_chunks,routing_selected_parent_chunks,routing_selected_parent_fraction,routing_target_coverage,schedule,teacher_forced_seconds,ttft_seconds
0,0,0,0,0,0,Sir Derek George Jacobi,0.0,5,0,no_memory,hotpotqa,,,0.0,,False,0,5adc3aff5542996e685252eb,0.0,,The star in the film *Up at,0.8032678999879863,0.001377216773107648,4,0.0,0.0,-7.550427436828613,-37.75213623046875,none,,,0,1226579968,0,0.0,2103840768,37,What star in the film Up at the Villa has earned the title of knighthood?,139575296,559104,19968,0.0,0.0,,,,,,,,none,0.15375399999902584,0.17601510000531562
0.00560929998755455,768.0,0.001573472008109093,0.0,0.00267580000218004,3145728.0,Sir Derek George Jacobi,0.0,5,0.0,learned_last_8,hotpotqa,,,0.0,0.007125276199076325,False,4,5adc3aff5542996e685252eb,0.0,20,The star is **Lionel St,0.9670580000092741,0.00030310885631479323,39,0.5620498657226562,0.11241006851196289,-7.43801736831665,-37.190086364746094,routed,27,0.4721815511584282,0,1227612160,8,0.2857142857142857,2105368576,37,What star in the film Up at the Villa has earned the title of knighthood?,139575296,559104,19968,0.15107359999092296,0.11271970000234433,0.0,1.0,3,39,3,0.07692307692307693,0.5,last_8,0.1854528000112623,0.17009780000080355
0.011657099996227771,1344.0,0.0027182079851627346,0.0,0.0054011999745853245,5505024.0,Sir Derek George Jacobi,0.0,5,0.0,learned_last_half,hotpotqa,,,0.0,0.011993411462754011,False,4,5adc3aff5542996e685252eb,0.0,14,The star in the film *Up at,1.0947572000150103,7.849113899283111e-05,93,0.6041183471679688,0.12082386016845703,-7.429603576660156,-37.14801788330078,routed,27,0.45063825377396177,0,1228386304,14,0.5,2105761792,37,What star in the film Up at the Villa has earned the title of knighthood?,139575296,559104,19968,0.15107359999092296,0.11271970000234433,0.0,1.0,3,39,3,0.07692307692307693,0.5,last_half,0.21005319998948835,0.1898421999940183
0,0,0,0,0,0,Sir Derek George Jacobi,0.0,5,0,direct_text_oracle,hotpotqa,0.016555221751332283,0.016555221751332283,0.0,,True,0,5adc3aff5542996e685252eb,0.0,,The star in the film Up at the,0.8137584000069182,0.0060163759626448154,7,32.58412742614746,6.5168256759643555,-1.0336017608642578,-5.168008804321289,direct,,,0,1258733568,0,0.0,2105888768,102,What star in the film Up at the Villa has earned the title of knighthood?,139575296,559104,19968,0.0,0.0,,,,,,,,direct,0.22088449998409487,0.1951178000017535
0,0,0,0,0,0,York County,0.0,2,0,no_memory,hotpotqa,,,0.0,,False,0,5ab56db7554299494045efc6,0.22222222222222224,,Alfred is in the county of Maine,0.7872723999898881,3.8167059790428226e-11,3508,0.0,0.0,-12.003530502319336,-24.007061004638672,none,,,0,1223397376,0,0.0,2263375872,39,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,145768448,573440,20480,0.0,0.0,,,,,,,,none,0.15178000001469627,0.13968279998516664
0.005686000018613413,768.0,0.001617247998714447,0.0,0.002809400000842288,3145728.0,York County,0.0,2,0.0,learned_last_8,hotpotqa,,,0.0,0.02165600610896945,False,4,5ab56db7554299494045efc6,0.22222222222222224,20,Alfred is in the county of Cumberland,0.9486499000049662,2.1771553448957093e-09,1876,4.037166595458984,2.018583297729492,-9.984947204589844,-19.969894409179688,routed,27,0.4499863348901272,0,1224404992,8,0.2857142857142857,2263060480,39,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,145768448,573440,20480,0.15374969999538735,0.006146100000478327,0.0,1.0,1,40,3,0.075,0.3333333333333333,last_8,0.18774299998767674,0.16682630000286736
0.00910889997612685,1344.0,0.002799424007534981,0.0,0.004405799962114543,5505024.0,York County,0.0,2,0.0,learned_last_half,hotpotqa,,,0.0,0.030864650383591652,False,4,5ab56db7554299494045efc6,0.22222222222222224,14,Alfred is in the county of Maine,1.0931775000062771,2.8379776750853125e-08,1724,6.589277267456055,3.2946386337280273,-8.708891868591309,-17.417783737182617,routed,27,0.4401164672204426,0,1225160704,14,0.5,2263158784,39,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,145768448,573440,20480,0.15374969999538735,0.006146100000478327,0.0,1.0,1,40,3,0.075,0.3333333333333333,last_half,0.20689370000036433,0.19101900001987815
0,0,0,0,0,0,York County,1.0,2,0,direct_text_oracle,hotpotqa,0.02761131525039673,0.02761131525039673,0.0,,True,0,5ab56db7554299494045efc6,0.5,,"Alfred is in York County, Maine",0.8550262000062503,5.050186380195498e-10,1263,2.6004581451416016,1.3002290725708008,-10.703301429748535,-21.40660285949707,direct,,,0,1269236736,0,0.0,2263257088,127,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,145768448,573440,20480,0.0,0.0,,,,,,,,direct,0.35891999999876134,0.2030203000176698
0,0,0,0,0,0,Cushman,0.0,2,0,no_memory,hotpotqa,,,0.0,,False,0,5ab2b863554299295394685a,0.0,,New Hampshire Route 118 runs,0.7745814999798313,8.551282371627167e-05,33,0.0,0.0,-10.493881225585938,-20.987762451171875,none,,,0,1223518208,0,0.0,2304335872,39,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,175357952,688128,24576,0.0,0.0,,,,,,,,none,0.15164610001374967,0.13915209998958744
0.005874399997992441,768.0,0.001644544005393982,0.0,0.0026404999662190676,3145728.0,Cushman,0.0,2,0.0,learned_last_8,hotpotqa,,,0.0,0.0,False,3,5ab2b863554299295394685a,0.0,20,New Hampshire Route 118 runs,0.9726490999746602,0.011100745759904385,3,-1.4499702453613281,-0.7249851226806641,-11.218866348266602,-22.437732696533203,routed,27,0.4780886694788933,0,1224525824,8,0.2857142857142857,2303926272,39,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,175357952,688128,24576,0.15257730000303127,0.004758800001582131,0.0,0.0,7,48,3,0.0625,0.0,last_8,0.183519799989881,0.16832279998925515
