seed,variant,dataset,example_id,condition,answer,generated_answer,trainable_parameter_count,residual_bottleneck,gold_mean_logprob_delta_vs_none,gold_first_token_rank_delta_vs_none,gold_first_token_margin_delta_vs_none,pra_off_gold_logprob_exact,teacher_forced_seconds,generation_seconds,active_memory_tokens,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,gold_first_token_margin,em,f1,answer_contained,trainable_parameter_percent,trainable_memory_bytes_fp32
11,fixed,hotpotqa,5adc3aff5542996e685252eb,none,Sir Derek George Jacobi,The star in the film *Up at,0,0,0.0,0,0.0,True,0.15791300003184006,0.8533406999777071,0,-37.75213623046875,-7.550427436828613,0.001377216773107648,4,-6.5625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,oracle,Sir Derek George Jacobi,The star in the film *Up at,0,0,1.2682533264160156,-1,1.25,True,0.16046470002038404,0.8528801999636926,388,-31.410869598388672,-6.282174110412598,0.004644747357815504,3,-5.3125,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5adc3aff5542996e685252eb,routed,Sir Derek George Jacobi,The star in the film *Up at,0,0,-0.04796648025512695,10,-0.828125,True,0.16139139997540042,0.7697134999907576,384,-37.99197006225586,-7.59839391708374,0.0005979319685138762,14,-7.390625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,none,York County,Alfred is in the county of Maine,0,0,0.0,0,0.0,True,0.1552959000109695,0.7165574999526143,0,-24.007061004638672,-12.003530502319336,3.8167059790428226e-11,3508,-23.96875,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,oracle,York County,Alfred is in the county of Maine,0,0,2.179215431213379,-2582,4.3984375,True,0.16026229999260977,0.7950495000113733,512,-19.648630142211914,-9.824315071105957,2.9785724997566376e-09,926,-19.5703125,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab56db7554299494045efc6,routed,York County,Alfred is in the county of Maine,0,0,1.228017807006836,-1780,2.4453125,True,0.1618035000283271,0.7743627000018023,384,-21.551025390625,-10.7755126953125,4.4509820829041757e-10,1728,-21.5234375,0.0,0.22222222222222224,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,none,Cushman,New Hampshire Route 118 runs,0,0,0.0,0,0.0,True,0.1544961000327021,0.718412000045646,0,-20.987762451171875,-10.493881225585938,8.551282371627167e-05,33,-9.265625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,oracle,Cushman,New Hampshire Route 118 runs,0,0,1.3604049682617188,-18,1.703125,True,0.16158130002440885,0.7704217999707907,384,-18.266952514648438,-9.133476257324219,0.0004576146020554006,15,-7.5625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5ab2b863554299295394685a,routed,Cushman,New Hampshire Route 118 runs,0,0,0.0062923431396484375,-17,0.875,True,0.16029279999202117,0.7928916999953799,384,-20.975177764892578,-10.487588882446289,0.00020928481535520405,16,-8.390625,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,none,Scott Treleaven,Edmund Mortimer.,0,0,0.0,0,0.0,True,0.15908939996734262,0.563028700009454,0,-7.853713512420654,-1.9634283781051636,0.0005700837937183678,2,-7.46875,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,oracle,Scott Treleaven,Edmund Mortimer.,0,0,-0.7938565015792847,1,-1.78125,True,0.16740829998161644,0.658574300003238,512,-11.029139518737793,-2.7572848796844482,9.605975355952978e-05,3,-9.25,0.0,0.0,0.0,0.0,0
11,fixed,hotpotqa,5a710a915542994082a3e504,routed,Scott Treleaven,Edmund Mortimer.,0,0,-0.7450777292251587,2,-2.078125,True,0.163821000023745,0.5992624000064097,384,-10.834024429321289,-2.7085061073303223,7.139297667890787e-05,4,-9.546875,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,none,no,"Yes, they collected their own data.",0,0,0.0,0,0.0,True,0.14458620001096278,0.7136082000215538,0,-7.124675750732422,-7.124675750732422,0.0008049940806813538,8,-7.03125,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle,no,"Yes, they did collect their own data",0,0,-0.21262168884277344,0,-0.15625,True,0.15093860001070425,0.7798653999925591,384,-7.337297439575195,-7.337297439575195,0.000650807109195739,8,-7.1875,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,routed,no,"Yes, they did collect their own data",0,0,0.06777667999267578,0,0.125,True,0.15032449999125674,0.7610780999530107,384,-7.056899070739746,-7.056899070739746,0.0008614453836344182,8,-6.90625,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,none,yes,"Yes, the paper clearly establishes that the",0,0,0.0,0,0.0,True,0.15500609995797276,0.7163783999858424,0,-5.925743579864502,-5.925743579864502,0.0026698217261582613,10,-5.4375,0.0,0.25,1.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle,yes,"Yes, the paper clearly establishes that the",0,0,-0.392392635345459,-2,-0.15625,True,0.15962769999168813,0.7734762000036426,896,-6.318136215209961,-6.318136215209961,0.0018033013911917806,8,-5.59375,0.0,0.25,1.0,0.0,0
11,fixed,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,routed,yes,"Yes, the paper clearly establishes that the",0,0,-0.29778051376342773,0,-0.109375,True,0.15769429999636486,0.8413719999953173,384,-6.22352409362793,-6.22352409362793,0.001982247456908226,10,-5.546875,0.0,0.25,1.0,0.0,0
11,fixed,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,none,yes,"Yes, the template-based model is realistic",0,0,0.0,0,0.0,True,0.14312819996848702,0.778913400019519,0,-6.946739196777344,-6.946739196777344,0.0009617661708034575,10,-6.609375,0.0,0.25,1.0,0.0,0
11,fixed,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle,yes,"Yes, the template-based model is generally",0,0,-0.1058664321899414,3,0.109375,True,0.15861130005214363,1.044849300000351,1664,-7.052605628967285,-7.052605628967285,0.0008651515236124396,13,-6.5,0.0,0.25,1.0,0.0,0
11,fixed,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,routed,yes,"Yes, the template-based model is realistic",0,0,-0.44658946990966797,7,-0.15625,True,0.1550318999798037,0.9324539000517689,384,-7.393328666687012,-7.393328666687012,0.000615344091784209,17,-6.765625,0.0,0.25,1.0,0.0,0
11,fixed,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,none,yes,"No, the dataset does not feature only",0,0,0.0,0,0.0,True,0.16878280002856627,0.7866652000229806,0,-8.724849700927734,-8.724849700927734,0.00016249713371507823,16,-8.015625,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,oracle,yes,"No, the dataset does not feature only",0,0,0.06806755065917969,-3,0.09375,True,0.1570021000225097,1.0067837999667972,896,-8.656782150268555,-8.656782150268555,0.00017394314636476338,13,-7.921875,0.0,0.0,0.0,0.0,0
11,fixed,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,routed,yes,"No, the dataset does not feature only",0,0,-1.148672103881836,8,-1.265625,True,0.1591735999681987,0.9553053000126965,384,-9.87352180480957,-9.87352180480957,5.152096491656266e-05,24,-9.28125,0.0,0.0,0.0,0.0,0
11,single,hotpotqa,5adc3aff5542996e685252eb,none,Sir Derek George Jacobi,The star in the film *Up at,1,0,0.0,0,0.0,True,0.1544805000303313,0.8522486000438221,0,-37.75213623046875,-7.550427436828613,0.001377216773107648,4,-6.5625,0.0,0.0,0.0,1.677711826553051e-07,4
11,single,hotpotqa,5adc3aff5542996e685252eb,oracle,Sir Derek George Jacobi,The star in the film *Up at,1,0,1.9821696281433105,-1,2.125,True,0.29514379997272044,1.1098240000428632,388,-27.841289520263672,-5.568257808685303,0.010030086152255535,3,-4.4375,0.0,0.0,0.0,1.677711826553051e-07,4
11,single,hotpotqa,5adc3aff5542996e685252eb,routed,Sir Derek George Jacobi,The star in the film *Up at,1,0,-0.07168197631835938,44,-1.7578125,True,0.1683630999759771,1.0601685000001453,384,-38.11054611206055,-7.622109413146973,0.0002270592376589775,48,-8.3203125,0.0,0.0,0.0,1.677711826553051e-07,4
