dataset,budget_chunks,left,right,identities,mean_delta,ci95_low,ci95_high,better,worse,unchanged
musique,4,rank16_zero_shot,native_mean,100,-0.0010095276113784666,-0.01728151333567944,0.01584544705343266,30,32,38
musique,4,rank16_retrained,native_mean,100,0.004272987360600094,-0.015717848242229052,0.02405753792131501,28,30,42
musique,4,rank16_mixed,native_mean,100,0.005125606994970301,-0.014544857600484193,0.024491958464801376,36,33,31
musique,4,rank8_centroid8_retrained,native_mean,100,0.0013600005108485391,-0.015323398533534482,0.019659222142180827,24,34,42
musique,4,rank16_retrained,best_lexical,100,-0.05086006273792315,-0.0726543000772877,-0.029615565147450337,18,58,24
musique,4,lexical_lowrank_retrained,best_lexical,100,-0.028136666996574116,-0.04728411548032291,-0.009943169532565814,20,45,35
musique,4,lexical_lowrank_mixed,best_lexical,100,-0.019842090209262777,-0.035851821663253215,-0.0036947918162213472,26,45,29
musique,8,rank16_zero_shot,native_mean,100,-0.0021718927293971043,-0.029156052960141666,0.02534074594771526,36,36,28
musique,8,rank16_retrained,native_mean,100,-0.0029204969650083396,-0.028909312071470506,0.0229069044411116,32,36,32
musique,8,rank16_mixed,native_mean,100,-0.006085778587784241,-0.03598224902032953,0.02297380837667888,36,41,23
musique,8,rank8_centroid8_retrained,native_mean,100,0.001693537283000873,-0.019624144547216296,0.024584373038606454,33,33,34
musique,8,rank16_retrained,best_lexical,100,-0.05235720186470624,-0.08324527529163075,-0.02038483167159637,25,60,15
musique,8,lexical_lowrank_retrained,best_lexical,100,-0.010015108156526922,-0.03641010627435113,0.017282619082208517,27,41,32
musique,8,lexical_lowrank_mixed,best_lexical,100,-0.024453186744979045,-0.04717957129542806,-0.0010749288980713156,28,40,32
