dataset,split,example_id,condition,lexical_channel,lexical_weight,selected_chunks,index_bytes_per_chunk,routing_dots,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks
hotpotqa,validation,5a8cefc155429941ae14df55,exact_w0.00,exact,0.0,51 18 52 19,2048,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,exact_w0.25,exact,0.25,50 51 52 18,2048,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,exact_w0.50,exact,0.5,50 3 49 52,2048,61440,0.4,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,exact_w0.75,exact,0.75,3 49 48 45,2048,61440,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,exact_w1.00,exact,1.0,3 4 43 45,2048,61440,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,bm25_w0.00,bm25,0.0,51 18 52 19,2048,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,bm25_w0.25,bm25,0.25,52 50 51 18,2048,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,bm25_w0.50,bm25,0.5,52 50 16 53,2048,61440,0.4,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,bm25_w0.75,bm25,0.75,16 52 50 27,2048,61440,0.4,0.5,1.0,0.0,0.0,0.5,4.0
hotpotqa,validation,5a8cefc155429941ae14df55,bm25_w1.00,bm25,1.0,16 52 27 50,2048,61440,0.4,0.5,1.0,0.0,0.0,0.5,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,exact_w0.00,exact,0.0,18 19 1 0,2048,66560,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,exact_w0.25,exact,0.25,18 0 19 16,2048,66560,0.6,0.75,1.0,1.0,0.0,1.0,4.0
