dataset,condition,stride,examples,mean_cached_ensemble_ms_per_call,median_cached_ensemble_ms_per_call,mean_amortized_ms_per_token,mean_index_construction_ms,mean_candidate_chunks,routing_index_bytes_per_chunk_per_seed,temporal_buffer_bytes_per_seed
hotpotqa,b1_current,1,16,1.2732493742078077,1.2313675018958747,1.2732493742078077,7.848418739740737,50.125,2048,64
hotpotqa,selected_temporal,1,16,1.418145000207005,1.3856175006367266,1.418145000207005,7.848418739740737,50.125,2048,128
hotpotqa,selected_temporal,2,16,1.418145000207005,1.3856175006367266,0.7090725001035025,7.848418739740737,50.125,2048,128
hotpotqa,selected_temporal,4,16,1.418145000207005,1.3856175006367266,0.35453625005175127,7.848418739740737,50.125,2048,128
hotpotqa,selected_temporal,8,16,1.418145000207005,1.3856175006367266,0.17726812502587563,7.848418739740737,50.125,2048,128
qasper,b1_current,1,16,2.0851303095696494,2.1304675028659403,2.0851303095696494,22.529643727466464,142.625,2048,64
qasper,selected_temporal,1,16,2.5059024992515333,2.5427050015423447,2.5059024992515333,22.529643727466464,142.625,2048,128
qasper,selected_temporal,2,16,2.5059024992515333,2.5427050015423447,1.2529512496257666,22.529643727466464,142.625,2048,128
qasper,selected_temporal,4,16,2.5059024992515333,2.5427050015423447,0.6264756248128833,22.529643727466464,142.625,2048,128
qasper,selected_temporal,8,16,2.5059024992515333,2.5427050015423447,0.31323781240644166,22.529643727466464,142.625,2048,128
2wikimultihopqa,b1_current,1,20,1.2888204993214458,1.23433000408113,1.2888204993214458,8.889224997255951,55.0,2048,64
2wikimultihopqa,selected_temporal,1,20,1.726132002659142,1.5753600047901273,1.726132002659142,8.889224997255951,55.0,2048,128
2wikimultihopqa,selected_temporal,2,20,1.726132002659142,1.5753600047901273,0.863066001329571,8.889224997255951,55.0,2048,128
2wikimultihopqa,selected_temporal,4,20,1.726132002659142,1.5753600047901273,0.4315330006647855,8.889224997255951,55.0,2048,128
2wikimultihopqa,selected_temporal,8,20,1.726132002659142,1.5753600047901273,0.21576650033239275,8.889224997255951,55.0,2048,128
musique,b1_current,1,20,1.5619352518115193,1.503722503548488,1.5619352518115193,12.882790027651936,79.45,2048,64
musique,selected_temporal,1,20,2.045265252236277,2.008167508756742,2.045265252236277,12.882790027651936,79.45,2048,128
musique,selected_temporal,2,20,2.045265252236277,2.008167508756742,1.0226326261181384,12.882790027651936,79.45,2048,128
musique,selected_temporal,4,20,2.045265252236277,2.008167508756742,0.5113163130590692,12.882790027651936,79.45,2048,128
musique,selected_temporal,8,20,2.045265252236277,2.008167508756742,0.2556581565295346,12.882790027651936,79.45,2048,128
