all_candidate_full_tokens,amortized_wall_seconds,batch_size,batch_wall_seconds,candidate_count,candidate_names,candidate_ranks,candidate_sources,candidate_view,catalog_size,channel_agreement,choice_correct,choice_margin,chosen_tool,conditional_choice_denominator,generated_text,generated_tokens,max_candidates,policy,prompt_tokens,query_id,raw_label_response,scoring_device,seed,selected_mean_log_probability,selection_view_tokens,target_in_palette,target_name,ttft_method,ttft_seconds_upper_bound,unsafe_candidates,unsafe_choice,unsafe_exposure,useful_candidates
646,4.6513459999114275,1,4.6513459999114275,2,get_user_06179|get_user_01171,embedding:2,embedding,compact,8192,1,0,,get_user_06179,0,"{""capability"":""get_user_06179""}",2,2,A1_fused,378,get_user-h2-en-1, 0,cpu:q4_ollama,11,,300,0,get_user,ollama_total_call_upper_bound,4.6513459999114275,,0,0,
1296,5.600223300047219,1,5.600223300047219,4,get_user_06179|get_user_01171|get_text_06178|get_file_02617,embedding:2,embedding,compact,8192,1,0,,get_user_06179,0,"{""capability"":""get_user_06179""}",2,4,A1_fused,702,get_user-h2-en-1, 0,cpu:q4_ollama,11,,600,0,get_user,ollama_total_call_upper_bound,5.600223300047219,,0,0,
1954,6.443093899870291,1,6.443093899870291,6,get_user_06179|get_user_01171|get_text_06178|get_file_02617|get_user_01812|get_file_02176,embedding:2,embedding,compact,8192,1,0,,get_user_06179,0,"{""capability"":""get_user_06179""}",2,6,A1_fused,1026,get_user-h2-en-1, 0,cpu:q4_ollama,11,,900,0,get_user,ollama_total_call_upper_bound,6.443093899870291,,0,0,
2610,7.301142999902368,1,7.301142999902368,8,get_user_06179|get_user_01171|get_text_06178|get_file_02617|get_user_01812|get_file_02176|get_account_06921|get_customer_04355,keyword_synonym:6,keyword_synonym,compact,8192,1,0,,get_account_06921,0,"{""capability"":""get_account_06921""}",2,8,A1_fused,1350,get_user-h2-en-1, 6,cpu:q4_ollama,11,,1200,0,get_user,ollama_total_call_upper_bound,7.301142999902368,,0,0,
3268,8.18371929996647,1,8.18371929996647,10,get_user_06179|get_user_01171|get_text_06178|get_file_02617|get_user_01812|get_file_02176|get_account_06921|get_customer_04355|retrieve_text_04917|get_user_05046,,,compact,8192,0,0,,get_user_05046,0,"{""capability"":""get_user_05046""}",2,10,A1_fused,1676,get_user-h2-en-1, 9,cpu:q4_ollama,11,,1502,0,get_user,ollama_total_call_upper_bound,8.18371929996647,,0,0,
660,4.673925900133327,1,4.673925900133327,2,fetch_account_02182|inform_account_00367,auto_tag_concept:1,auto_tag_concept,compact,8192,1,0,,fetch_account_02182,0,"{""capability"":""fetch_account_02182""}",2,2,A2_raw_union,382,get_user-h2-en-1, 0,cpu:q4_ollama,11,,304,0,get_user,ollama_total_call_upper_bound,4.673925900133327,,0,0,
1320,5.6227811998687685,1,5.6227811998687685,4,fetch_account_02182|inform_account_00367|convert_user_00617|get_account_01932,auto_tag_concept:1,auto_tag_concept,compact,8192,1,0,,fetch_account_02182,0,"{""capability"":""fetch_account_02182""}",2,4,A2_raw_union,706,get_user-h2-en-1, 0,cpu:q4_ollama,11,,604,0,get_user,ollama_total_call_upper_bound,5.6227811998687685,,0,0,
1973,6.455039200140163,1,6.455039200140163,6,fetch_account_02182|inform_account_00367|convert_user_00617|get_account_01932|add_account_01573|fetch_account_02256,auto_tag_concept:1,auto_tag_concept,compact,8192,1,0,,fetch_account_02182,0,"{""capability"":""fetch_account_02182""}",2,6,A2_raw_union,1032,get_user-h2-en-1, 0,cpu:q4_ollama,11,,906,0,get_user,ollama_total_call_upper_bound,6.455039200140163,,0,0,
2626,7.303503300063312,1,7.303503300063312,8,fetch_account_02182|inform_account_00367|convert_user_00617|get_account_01932|add_account_01573|fetch_account_02256|inform_account_02537|get_user_06179,auto_tag_concept:2,auto_tag_concept,compact,8192,1,0,,fetch_account_02256,0,"{""capability"":""fetch_account_02256""}",2,8,A2_raw_union,1358,get_user-h2-en-1, 5,cpu:q4_ollama,11,,1208,0,get_user,ollama_total_call_upper_bound,7.303503300063312,,0,0,
3279,8.181466799927875,1,8.181466799927875,10,fetch_account_02182|inform_account_00367|convert_user_00617|get_account_01932|add_account_01573|fetch_account_02256|inform_account_02537|get_user_06179|get_account_03383|add_account_01708,auto_tag_concept:2,auto_tag_concept,compact,8192,1,0,,fetch_account_02256,0,"{""capability"":""fetch_account_02256""}",2,10,A2_raw_union,1682,get_user-h2-en-1, 5,cpu:q4_ollama,11,,1508,0,get_user,ollama_total_call_upper_bound,8.181466799927875,,0,0,
656,4.625870699994266,1,4.625870699994266,2,inform_account_00367|add_account_01573,bm25:1,bm25,compact,8192,1,0,,inform_account_00367,0,"{""capability"":""inform_account_00367""}",2,2,A3_diversity_union,380,get_user-h2-en-1, 0,cpu:q4_ollama,11,,302,0,get_user,ollama_total_call_upper_bound,4.625870699994266,,0,0,
1318,5.673750399844721,1,5.673750399844721,4,inform_account_00367|add_account_01573|get_account_01932|fetch_account_02182,bm25:1,bm25,compact,8192,1,0,,inform_account_00367,0,"{""capability"":""inform_account_00367""}",2,4,A3_diversity_union,706,get_user-h2-en-1, 0,cpu:q4_ollama,11,,604,0,get_user,ollama_total_call_upper_bound,5.673750399844721,,0,0,
1975,6.496431199833751,1,6.496431199833751,6,inform_account_00367|add_account_01573|get_account_01932|fetch_account_02182|convert_user_00617|inform_account_02537,bm25:2,bm25,compact,8192,1,0,,inform_account_02537,0,"{""capability"":""inform_account_02537""}",2,6,A3_diversity_union,1032,get_user-h2-en-1, 5,cpu:q4_ollama,11,,906,0,get_user,ollama_total_call_upper_bound,6.496431199833751,,0,0,
2628,7.196605999954045,1,7.196605999954045,8,inform_account_00367|add_account_01573|get_account_01932|fetch_account_02182|convert_user_00617|inform_account_02537|add_account_01708|get_account_03383,bm25:2,bm25,compact,8192,1,0,,inform_account_02537,0,"{""capability"":""inform_account_02537""}",2,8,A3_diversity_union,1356,get_user-h2-en-1, 5,cpu:q4_ollama,11,,1206,0,get_user,ollama_total_call_upper_bound,7.196605999954045,,0,0,
3279,8.275456100003794,1,8.275456100003794,10,inform_account_00367|add_account_01573|get_account_01932|fetch_account_02182|convert_user_00617|inform_account_02537|add_account_01708|get_account_03383|fetch_account_02256|get_user_06179,bm25:2,bm25,compact,8192,1,0,,inform_account_02537,0,"{""capability"":""inform_account_02537""}",2,10,A3_diversity_union,1682,get_user-h2-en-1, 5,cpu:q4_ollama,11,,1508,0,get_user,ollama_total_call_upper_bound,8.275456100003794,,0,0,
595,3.926388199906796,1,3.926388199906796,2,validate_user|verify_user_04941,embedding:2,embedding,compact,8192,1,0,,validate_user,0,"{""capability"":""validate_user""}",2,2,A1_fused,342,update_user-h4-en-1, 0,cpu:q4_ollama,11,,258,0,update_user,ollama_total_call_upper_bound,3.926388199906796,,0,0,validate_user
1252,5.569999899948016,1,5.569999899948016,4,validate_user|verify_user_04941|verify_account_02915|verify_user_02735,embedding:2,embedding,compact,8192,1,0,,validate_user,0,"{""capability"":""validate_user""}",2,4,A1_fused,670,update_user-h4-en-1, 0,cpu:q4_ollama,11,,562,0,update_user,ollama_total_call_upper_bound,5.569999899948016,,0,0,validate_user
