seed,fanout,condition,read_requests,reused_results,executed_results,false_invalidations,stale_reads
11,2,coarse_domain,4,0,4,2,0
11,2,selective_resource,4,2,2,0,0
11,2,unsafe_no_invalidation,4,4,0,0,2
11,4,coarse_domain,8,0,8,4,0
11,4,selective_resource,8,4,4,0,0
11,4,unsafe_no_invalidation,8,8,0,0,4
11,8,coarse_domain,16,0,16,8,0
11,8,selective_resource,16,8,8,0,0
11,8,unsafe_no_invalidation,16,16,0,0,8
11,16,coarse_domain,32,0,32,16,0
11,16,selective_resource,32,16,16,0,0
11,16,unsafe_no_invalidation,32,32,0,0,16
23,2,coarse_domain,4,0,4,2,0
23,2,selective_resource,4,2,2,0,0
23,2,unsafe_no_invalidation,4,4,0,0,2
23,4,coarse_domain,8,0,8,4,0
23,4,selective_resource,8,4,4,0,0
23,4,unsafe_no_invalidation,8,8,0,0,4
23,8,coarse_domain,16,0,16,8,0
23,8,selective_resource,16,8,8,0,0
23,8,unsafe_no_invalidation,16,16,0,0,8
23,16,coarse_domain,32,0,32,16,0
23,16,selective_resource,32,16,16,0,0
23,16,unsafe_no_invalidation,32,32,0,0,16
37,2,coarse_domain,4,0,4,2,0
37,2,selective_resource,4,2,2,0,0
37,2,unsafe_no_invalidation,4,4,0,0,2
37,4,coarse_domain,8,0,8,4,0
37,4,selective_resource,8,4,4,0,0
37,4,unsafe_no_invalidation,8,8,0,0,4
37,8,coarse_domain,16,0,16,8,0
37,8,selective_resource,16,8,8,0,0
37,8,unsafe_no_invalidation,16,16,0,0,8
37,16,coarse_domain,32,0,32,16,0
37,16,selective_resource,32,16,16,0,0
37,16,unsafe_no_invalidation,32,32,0,0,16
71,2,coarse_domain,4,0,4,2,0
71,2,selective_resource,4,2,2,0,0
71,2,unsafe_no_invalidation,4,4,0,0,2
71,4,coarse_domain,8,0,8,4,0
71,4,selective_resource,8,4,4,0,0
71,4,unsafe_no_invalidation,8,8,0,0,4
71,8,coarse_domain,16,0,16,8,0
71,8,selective_resource,16,8,8,0,0
71,8,unsafe_no_invalidation,16,16,0,0,8
71,16,coarse_domain,32,0,32,16,0
71,16,selective_resource,32,16,16,0,0
71,16,unsafe_no_invalidation,32,32,0,0,16
101,2,coarse_domain,4,0,4,2,0
101,2,selective_resource,4,2,2,0,0
101,2,unsafe_no_invalidation,4,4,0,0,2
101,4,coarse_domain,8,0,8,4,0
101,4,selective_resource,8,4,4,0,0
101,4,unsafe_no_invalidation,8,8,0,0,4
101,8,coarse_domain,16,0,16,8,0
101,8,selective_resource,16,8,8,0,0
101,8,unsafe_no_invalidation,16,16,0,0,8
101,16,coarse_domain,32,0,32,16,0
101,16,selective_resource,32,16,16,0,0
101,16,unsafe_no_invalidation,32,32,0,0,16
