protocol,seed,stage,dataset,example_id,target
standard,1,initial_all,2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,global.f1.approx
standard,1,initial_all,2wikimultihopqa,002e925e0bde11eba7f7acde48001122,global.f1.bm25
standard,1,initial_all,2wikimultihopqa,003f41f80bde11eba7f7acde48001122,global.f1.bm25
standard,1,initial_all,2wikimultihopqa,004430780bde11eba7f7acde48001122,global.f1.semantic
standard,1,initial_all,2wikimultihopqa,0051fad20bde11eba7f7acde48001122,global.f1.exact
standard,1,initial_all,2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,global.f1.semantic
standard,1,initial_all,2wikimultihopqa,0069c0220bde11eba7f7acde48001122,global.f1.semantic
standard,1,initial_all,2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,global.f1.exact
standard,1,initial_all,2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,global.f1.approx
standard,1,initial_all,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,global.f1.bm25
standard,1,initial_all,2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,global.f1.approx
standard,1,initial_all,2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,global.f1.hybrid
standard,1,initial_all,2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,global.f1.approx
standard,1,initial_all,2wikimultihopqa,00de046a0bb011ebab90acde48001122,global.f1.bm25
standard,1,initial_all,2wikimultihopqa,00efceca0bb011ebab90acde48001122,structural.f2.hybrid
standard,1,initial_all,2wikimultihopqa,0105fd120bb011ebab90acde48001122,global.f1.semantic
standard,1,initial_all,2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,global.f1.hybrid
standard,1,initial_all,2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,global.f1.approx
standard,1,initial_all,2wikimultihopqa,0120a36108d611ebbd98ac1f6bf848b6,global.f1.bm25
standard,1,initial_all,2wikimultihopqa,016c84f508ab11ebbd81ac1f6bf848b6,global.f1.approx
standard,1,initial_all,2wikimultihopqa,01a204d20bb011ebab90acde48001122,global.f1.approx
standard,1,initial_all,2wikimultihopqa,024207d40bb011ebab90acde48001122,global.f1.approx
standard,1,initial_all,2wikimultihopqa,0290cd840baf11ebab90acde48001122,global.f1.semantic
