split,dataset,example_id,initial_action,root_top1_score,root_score_gap,candidate_entropy,channel_agreement,channel_disagreement,address_count,address_rarity,facet_agreement,root_dispersion,evidence_proxy,searched_fraction,remaining_search_fraction,remaining_kv_fraction,root_ids,root_scores,new_addresses,root_embedding_width,root_embedding_norm
validation,hotpotqa,5a8cefc155429941ae14df55,global.f1.semantic,0.9420286417007446,0.011012166738510132,0.999959950056535,0.5,2.0,15,0.9419394223504547,1.0,0.10220664739608765,2.0135230001119647e-05,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,0.94202864|0.93101647,accurate|cha|de|don|drunk|i|ix|la|originally|ote|perhaps|qu|scholarly|time|written,1024,0.9741131491437057
validation,hotpotqa,5a8cefc155429941ae14df55,global.f1.exact,0.75,0.25,0.9952848002857109,0.5,2.0,9,0.8931428483396617,1.0,0.09954917430877686,0.0026507745928552456,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,0.75|0.5,countries|immer|rei|released|room|second|speaking|their|z,1024,0.9747949735682963
validation,hotpotqa,5a8cefc155429941ae14df55,global.f1.bm25,1.0,0.12790714387288005,0.9912418083744395,0.5,2.0,19,0.9782327179681019,1.0,0.15740156173706055,0.004658773318367907,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=16|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|0.87209286,ases|bourgeois|could|disconnected|empath|established|gate|insider|ize|nickname|norms|only|scandal|simon|te|title|uster|well|world,1024,0.9598431910226531
validation,hotpotqa,5a8cefc155429941ae14df55,global.f1.approx,0.5048913043478261,0.13322463768115944,0.9983431026792002,0.5,2.0,13,0.9542161723841691,1.0,0.13272625207901,0.0008835521071882798,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45,0.5048913|0.37166667,b|countries|det|foreign|het|independent|our|oven|prize|rei|speaking|stil|twin,1024,0.9662488264253608
validation,hotpotqa,5a8cefc155429941ae14df55,global.f1.hybrid,0.8011375755071639,0.1718326330184936,0.99811530224197,0.5,2.0,14,0.9476393420089652,1.0,0.15101242065429688,0.0010231133785085892,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,0.80113758|0.62930494,accurate|cha|countries|de|don|ix|la|ote|perhaps|qu|rei|scholarly|speaking|time,1024,0.9615058587537216
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f2.semantic,0.9486532211303711,0.001394718885421753,0.999955175098495,0.5,2.0,14,0.9279451344562952,1.0,0.12486052513122559,2.2428080620656177e-05,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=20,0.94865322|0.9472585,author|between|drunk|i|implied|key|may|non|originally|produced|relationship|separately|through|written,1024,0.968281789912256
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f2.exact,0.75,0.25,0.9952848002857109,0.5,2.0,9,0.8931428483396617,1.0,0.09954917430877686,0.0026507745928552456,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,0.75|0.5,countries|immer|rei|released|room|second|speaking|their|z,1024,0.9747949735682963
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f2.bm25,1.0,0.12790714387288005,0.9912418083744395,0.5,2.0,19,0.9782327179681019,1.0,0.15740156173706055,0.004658773318367907,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=16|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|0.87209286,ases|bourgeois|could|disconnected|empath|established|gate|insider|ize|nickname|norms|only|scandal|simon|te|title|uster|well|world,1024,0.9598431910226531
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f2.approx,0.5048913043478261,0.13322463768115944,0.9983431026792002,0.5,2.0,13,0.9542161723841691,1.0,0.13272625207901,0.0008835521071882798,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45,0.5048913|0.37166667,b|countries|det|foreign|het|independent|our|oven|prize|rei|speaking|stil|twin,1024,0.9662488264253608
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f2.hybrid,0.8041457444429396,0.17371893227100355,0.9981112260582773,0.5,2.0,14,0.9476393420089652,1.0,0.15101242065429688,0.0010262102344568104,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,0.80414574|0.63042681,accurate|cha|countries|de|don|ix|la|ote|perhaps|qu|rei|scholarly|speaking|time,1024,0.9615058587537216
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f4.semantic,0.9486532211303711,0.001394718885421753,0.99995470924893,0.5,2.0,14,0.9279451344562952,0.75,0.12486052513122559,2.2661167838885248e-05,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=20,0.94865322|0.9472585,author|between|drunk|i|implied|key|may|non|originally|produced|relationship|separately|through|written,1024,0.968281789912256
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f4.exact,0.75,0.25,0.9952848002857109,0.5,2.0,9,0.8931428483396617,0.75,0.09954917430877686,0.0026507745928552456,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=4,0.75|0.5,countries|immer|rei|released|room|second|speaking|their|z,1024,0.9747949735682963
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f4.bm25,1.0,0.12790714387288005,0.9912418083744395,0.5,2.0,19,0.9782327179681019,0.75,0.15740156173706055,0.004658773318367907,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=16|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=52,1|0.87209286,ases|bourgeois|could|disconnected|empath|established|gate|insider|ize|nickname|norms|only|scandal|simon|te|title|uster|well|world,1024,0.9598431910226531
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f4.approx,0.5048913043478261,0.13322463768115944,0.9983431026792002,0.5,2.0,13,0.9542161723841691,0.75,0.13272625207901,0.0008835521071882798,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=45,0.5048913|0.37166667,b|countries|det|foreign|het|independent|our|oven|prize|rei|speaking|stil|twin,1024,0.9662488264253608
validation,hotpotqa,5a8cefc155429941ae14df55,structural.f4.hybrid,0.8041457444429396,0.17371893227100355,0.9981081980361055,0.5,2.0,14,0.9476393420089652,0.75,0.15101242065429688,0.0010278554219904806,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=3|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,0.80414574|0.63042681,accurate|cha|countries|de|don|ix|la|ote|perhaps|qu|rei|scholarly|speaking|time,1024,0.9615058587537216
validation,hotpotqa,5a8cefc155429941ae14df55,multiscale.f2.semantic,0.9420286417007446,0.011012166738510132,0.999959950056535,0.5,2.0,15,0.9419394223504547,0.5,0.10220664739608765,2.0135230001119647e-05,1.0,0.5,0.5,benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=32|benchmark://hotpotqa/5a8cefc155429941ae14df55#chunk=48,0.94202864|0.93101647,accurate|cha|de|don|drunk|i|ix|la|originally|ote|perhaps|qu|scholarly|time|written,1024,0.9741131491437057
