model,seed,condition,nll,perplexity,accuracy,answer_margin,evidence_attention_mass,distractor_attention_mass,memory_attention_mass,residual_divergence,accuracy_depth_1,accuracy_depth_2,accuracy_depth_3,accuracy_depth_4,memory_update_per_token
global_sa,17,full_context,1.154559850692749,3.1726267337799072,0.484375,0.04504942148923874,nan,nan,nan,nan,0.304,0.40310077519379844,0.5693430656934306,0.6611570247933884,
local_sa,17,full_context,1.618301510810852,5.044515132904053,0.419921875,-0.3998074233531952,nan,nan,nan,nan,0.352,0.4263565891472868,0.48175182481751827,0.4132231404958678,
frozen,17,none,3.1462519615888596,23.24876382002965,0.12109375,-2.3212640583515167,0.0,0.0,0.0,5.587935447692871e-09,,,,,6.495341092348099
frozen,17,matched_distractor,3.035506382584572,20.811513819804198,0.125,-2.1943642124533653,0.0,0.9099553011183161,0.9099553013220429,0.15440291166305542,,,,,8.786238729953766
frozen,17,evidence_only,1.8470704928040504,6.341215648941198,0.2109375,-0.8843799866735935,0.9157413159846328,0.0,0.915741316974163,0.16624249517917633,,,,,8.88085561990738
frozen,17,whole_parent,1.9875512793660164,7.297641978767238,0.306640625,-0.8664613775908947,0.33075687881694904,0.6551654259216946,0.9859223054954782,0.18415053188800812,,,,,8.626789510250092
consumer_lora,17,none,2.9544870257377625,19.19187525625089,0.134765625,-1.9908274486660957,0.0,0.0,0.0,-1.5133991837501526e-09,,,,,11.921399414539337
consumer_lora,17,matched_distractor,3.011920690536499,20.326403186894865,0.1171875,-2.1431597843766212,0.0,0.6814030955387055,0.681403093971312,0.3363354206085205,,,,,11.670097470283508
consumer_lora,17,evidence_only,0.7209261544048786,2.0563368143908822,0.8515625,1.166293442249298,0.6606820560365216,0.0,0.660682054964127,0.35229748487472534,,,,,11.663198351860046
consumer_lora,17,whole_parent,1.3766038566827774,3.9614251888073735,0.4765625,-0.15130961732938886,0.29851975979282025,0.6131086014697451,0.9116283627226949,0.4763360023498535,,,,,12.604441702365875
interface_lora,17,none,3.0583098381757736,21.291540584603624,0.107421875,-2.1773295924067497,0.0,0.0,0.0,8.381903171539307e-09,,,,,10.705677211284637
interface_lora,17,matched_distractor,3.3032123893499374,27.199875316790983,0.107421875,-2.6130854785442352,0.0,0.3462696587540891,0.34626965899126105,0.33310216665267944,,,,,12.02079701423645
interface_lora,17,evidence_only,0.4958147704601288,1.6418354132331567,0.8984375,1.683346763253212,0.3568442592037826,0.0,0.35684425878935144,0.356532484292984,,,,,12.224699199199677
interface_lora,17,whole_parent,1.3186194598674774,3.7382569994522514,0.484375,-0.10476771974936128,0.259143339152351,0.5697992909130902,0.8289426297415048,0.5433481931686401,,,,,12.648671329021454
broad_lora,17,none,3.0606787651777267,21.342038479305423,0.140625,-2.1166400611400604,0.0,0.0,0.0,1.1757947504520416e-08,,,,,8.875701427459717
broad_lora,17,matched_distractor,3.4823994785547256,32.53770200104217,0.119140625,-2.837126813828945,0.0,0.6101102906357099,0.6101102919928962,0.3422924876213074,,,,,10.316717445850372
broad_lora,17,evidence_only,0.33464689552783966,1.3974468533599131,0.94921875,2.2636874988675117,0.6576152147554808,0.0,0.6576152168272529,0.4011521637439728,,,,,11.06211107969284
broad_lora,17,whole_parent,1.2377621233463287,3.447888874629518,0.490234375,0.011711583472788334,0.3062410384741592,0.6314964129258371,0.9377374509931542,0.5710551142692566,,,,,11.681704342365265
full_weight,17,none,3.7748225182294846,43.58977123937287,0.15234375,-3.148291125893593,0.0,0.0,0.0,-3.3760443329811096e-09,,,,,10.813188791275024
full_weight,17,matched_distractor,4.346905678510666,77.23909019156355,0.115234375,-3.8390213549137115,0.0,0.6026855836882135,0.6026855868694838,0.43673309683799744,,,,,12.870245099067688
full_weight,17,evidence_only,0.1675466620363295,1.1824004621110136,0.97265625,2.993665412068367,0.6225749858633094,0.0,0.6225749846780673,0.5060684084892273,,,,,13.569393157958984
full_weight,17,whole_parent,1.247033704072237,3.4800049077982327,0.4921875,0.005082880146801472,0.3084616725713496,0.6220171472622038,0.930478818831034,0.712581217288971,,,,,13.925174295902252
native_scratch,17,none,3.723516210913658,41.409743811871984,0.1484375,-3.034080058336258,0.0,0.0,0.0,-6.05359673500061e-09,,,,,5.338394999504089
