argument_semantic_correct,call_parse_valid,candidate_names,capability_choice_correct,condition,enum_type_valid,execution_acceptance,execution_reason,generated_name,generated_text,generated_tokens,hardness_level,host_rejection,materialization_seconds,max_candidates,model_invocations,native_kv_bytes,phase_a_capability_tokens,phase_a_ttft_seconds,phase_b_capability_tokens,phase_b_ttft_seconds,phase_transition_overhead_seconds,prompt_tokens,query_id,required_argument_coverage,required_tool_recall_at_k,retry_count,schema_valid_call,selected_name,target_name,task_success,total_capability_tokens,total_ttft_seconds,unsafe_tool_choice,wall_clock_seconds,wrong_tool_choice,wrong_tool_execution_attempt
1,1,get_repository|get_user,1,T0_full_all,1,1,executed,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,H2,0,0.00012199999764561653,2,1,52068352,454,1.1415874001104385,0,0.0,0.0,239,get_user-h2-en-1,1,1,0,1,get_user,get_user,1,454,1.1415874001104385,0,4.2307861999142915,0,0
0,0,get_repository|get_user,0,T1_selection_only,1,0,malformed_call,,"{""name"":""get_repository"",""arguments"":{""repository_id"":""u17""}}",16,H2,1,0.00015680002979934216,2,1,18923520,165,0.39877059985883534,0,0.0,0.0,228,get_user-h2-en-1,0,1,0,0,,get_user,0,165,0.39877059985883534,0,2.6264188999775797,0,0
1,1,get_repository|get_user,1,T2_selection_to_full,1,1,executed,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",31,H2,0,0.003195500234141946,2,2,45187072,165,0.39437330001965165,229,0.34622479998506606,0.0031252000480890274,406,get_user-h2-en-1,1,1,0,1,get_user,get_user,1,394,0.7405981000047177,0,5.052901800023392,0,0
1,1,get_repository|get_user,1,T3_oracle_full,1,1,executed,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,H2,0,0.0002766998950392008,2,1,26263552,229,0.35443080007098615,0,0.0,0.0,178,get_user-h2-en-1,1,1,0,1,get_user,get_user,1,229,0.35443080007098615,0,3.4654115999583155,0,0
0,1,get_repository|get_user|notify_user|update_user,0,T0_full_all,1,1,executed,get_repository,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""u17""}}\n</tool_call>",23,H2,0,0.0003083001356571913,4,1,107462656,937,0.8122788998298347,0,0.0,0.0,393,get_user-h2-en-1,0,1,0,1,get_repository,get_user,0,937,0.8122788998298347,0,3.7402490000240505,1,1
0,0,get_repository|get_user|notify_user|update_user,0,T1_selection_only,1,0,malformed_call,,"{""name"":""get_repository,v1""}",9,H2,1,0.00013739988207817078,4,1,39567360,345,0.835965899983421,0,0.0,0.0,408,get_user-h2-en-1,0,1,0,0,,get_user,0,345,0.835965899983421,0,1.9848474997561425,0,0
1,1,get_repository|get_user|notify_user|update_user,1,T2_selection_to_full,1,1,executed,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",31,H2,0,0.001214700285345316,4,2,65830912,345,0.832475199829787,229,0.34491059998981655,0.001006200211122632,586,get_user-h2-en-1,1,1,0,1,get_user,get_user,1,574,1.1773857998196036,0,5.174623800208792,0,0
1,1,get_repository|get_user|notify_user|update_user,1,T3_oracle_full,1,1,executed,get_user,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",23,H2,0,0.0003279999364167452,4,1,26263552,229,0.3432881000917405,0,0.0,0.0,178,get_user-h2-en-1,1,1,0,1,get_user,get_user,1,229,0.3432881000917405,0,3.3446116999257356,0,0
0,1,get_repository|get_user|notify_user|update_user|extract_metadata|archive_report,0,T0_full_all,1,1,executed,get_repository,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""u17""}}\n</tool_call>",23,H2,0,0.00046929996460676193,6,1,160792576,1402,1.1229592999443412,0,0.0,0.0,518,get_user-h2-en-1,0,1,0,1,get_repository,get_user,0,1402,1.1229592999443412,0,4.250020900042728,1,1
0,0,get_repository|get_user|notify_user|update_user|extract_metadata|archive_report,0,T1_selection_only,1,0,malformed_call,,"{""name"":""get_repository,v1""}",9,H2,1,0.0002716002054512501,6,1,58949632,514,1.1633903998881578,0,0.0,0.0,577,get_user-h2-en-1,0,1,0,0,,get_user,0,514,1.1633903998881578,0,2.2962328002322465,0,0
