candidate_names,capability_choice_correct,condition,constraint_violation,context_fit,family,generated_text,generated_tokens,generation_error,instruction_following_success,materialization_seconds,max_candidates,model_invocations,native_kv_bytes,phase_a_capability_tokens,phase_a_selected_name,phase_a_ttft_seconds,phase_b_capability_tokens,phase_b_ttft_seconds,phase_transition_overhead_seconds,prompt_tokens,query_id,required_skill_recall_at_k,selected_name,target_name,task_success,total_capability_tokens,total_ttft_seconds,wall_clock_seconds,wrong_skill_use
github_pr_review|incident_status_update,0,S0_full_all,0,1,engineering_intake,"SKILL_APPLIED: github_pr_review  \nDecision: The proposed code change addresses the issue of incorrect data handling in the database.  \nEvidence: The change was reviewed for correctness, compatibility, and security.  \nNext action: Implement the fix and update the documentation.",54,,1,0.00022829999215900898,2,1,135331840,1180,,3.7143959999084473,0,0.0,0.0,1243,github_issue_triage-test,0,github_pr_review,github_issue_triage,0,1180,3.7143959999084473,12.745709100039676,1
github_pr_review|incident_status_update,0,S1_selection_only,0,1,engineering_intake,"The incoming tickets should be reviewed to identify which reports require developer attention now. Based on the available skills, the appropriate action is to review the proposed code changes for correctness, risk, and maintainability.",41,,0,0.0001151000615209341,2,1,23511040,205,,0.5461352998390794,0,0.0,0.0,268,github_issue_triage-test,0,,github_issue_triage,0,205,0.5461352998390794,5.8959820999298245,0
github_pr_review|incident_status_update,0,S2_selection_to_full,0,1,engineering_intake,"SKILL_APPLIED: incident_status_update  \nDecision: The current impact and scope of the incident are as follows: [Insert current impact and scope].  \nEvidence: [Insert confirmed facts and evidence from the user's supplied material].  \nNext action: [Insert mitigation, ownership, and next update time].",71,,1,0.00240800017490983,2,2,81313792,205,incident_status_update,0.5482473999727517,504,1.184802700066939,0.002314200159162283,841,github_issue_triage-test,0,incident_status_update,github_issue_triage,0,709,1.7330501000396907,11.717640199931338,1
github_pr_review|incident_status_update,1,S3_oracle_full,0,1,engineering_intake,SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention.  \nEvidence: The ticket contains a specific issue that can be reproduced and is not a feature request.  \nNext action: Assign the ticket to the developer responsible for the issue.,57,,1,0.0001417999155819416,2,1,58720256,512,,1.1998646999709308,0,0.0,0.0,575,github_issue_triage-test,0,github_issue_triage,github_issue_triage,1,512,1.1998646999709308,10.013728099875152,0
github_pr_review|incident_status_update|data_contract_review|release_notes,0,S0_full_all,0,1,engineering_intake,"SKILL_APPLIED: github_pr_review  \nDecision: The proposed code change improves functionality and enhances security.  \nEvidence: The change was reviewed for correctness, compatibility, and security.  \nNext action: Review the findings and decide if the change should be approved.",53,,1,0.0006996998563408852,4,1,271466496,2367,,8.818461899878457,0,0.0,0.0,2430,github_issue_triage-test,0,github_pr_review,github_issue_triage,0,2367,8.818461899878457,23.3448792998679,1
github_pr_review|incident_status_update|data_contract_review|release_notes,0,S1_selection_only,0,1,engineering_intake,"The incoming tickets should be reviewed for developer attention based on the following criteria:\n\n1. **Code Change Review**: Ensure the code change is correct, follows best practices, and addresses potential issues.\n2. **Risk and Maintainability**: Assess the risk of the change and its impact on system maintainability.\n3. **Data Contract Review**: Check if the data contract",72,,0,0.0002836999483406544,4,1,46907392,409,,0.9181959999259561,0,0.0,0.0,472,github_issue_triage-test,0,,github_issue_triage,0,409,0.9181959999259561,10.646696700016037,0
github_pr_review|incident_status_update|data_contract_review|release_notes,0,S2_selection_to_full,0,1,engineering_intake,SKILL_APPLIED: release_notes  \nDecision: The ticket should be reviewed for developer attention.  \nEvidence: The ticket includes a detailed description of the feature and its potential impact.  \nNext action: Update the developer documentation and release notes with the feature's implementation.,62,,1,0.0036703001242130995,4,2,104251392,409,release_notes,0.9153197999112308,500,1.1857376999687403,0.003522800048813224,1041,github_issue_triage-test,0,release_notes,github_issue_triage,0,909,2.101057499879971,10.240637100068852,1
github_pr_review|incident_status_update|data_contract_review|release_notes,1,S3_oracle_full,0,1,engineering_intake,SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention.  \nEvidence: The ticket contains a specific issue that can be reproduced and is not a feature request.  \nNext action: Assign the ticket to the developer responsible for the issue.,57,,1,0.00011679995805025101,4,1,58720256,512,,1.2002872999291867,0,0.0,0.0,575,github_issue_triage-test,0,github_issue_triage,github_issue_triage,1,512,1.2002872999291867,9.496450999984518,0
github_pr_review|incident_status_update|data_contract_review|release_notes|migration_readiness_review|ux_flow_review|code_security_review|accessibility_review,0,S0_full_all,0,0,engineering_intake,,0,cuda_out_of_memory,0,0.0006722998805344105,8,1,624132096,5442,,0.0,0,0.0,0.0,5505,github_issue_triage-test,0,,github_issue_triage,0,5442,0.0,0.996632699854672,0
github_pr_review|incident_status_update|data_contract_review|release_notes|migration_readiness_review|ux_flow_review|code_security_review|accessibility_review,0,S1_selection_only,0,1,engineering_intake,"The incoming tickets should be reviewed for their relevance to the selected skills. Based on the available skills, the reports that deserve developer attention now are those that require review for correctness, risk, maintainability, data contract validation, and migration readiness.",49,,0,0.0003660998772829771,8,1,95535104,833,,1.9816842000000179,0,0.0,0.0,896,github_issue_triage-test,0,,github_issue_triage,0,833,1.9816842000000179,9.298745999811217,0
