tool_name,selection_tokens,full_schema_tokens,selection_full_ratio,parameter_count,required_parameter_count,side_effect
search_user,85,230,0.3695652173913043,1,1,read
get_user,84,229,0.36681222707423583,1,1,read
validate_user,87,235,0.3702127659574468,1,1,read
update_user,88,242,0.36363636363636365,2,2,write
notify_user,90,239,0.37656903765690375,2,2,write
delete_user,86,231,0.3722943722943723,1,1,destructive
search_document,83,230,0.36086956521739133,1,1,read
read_document,85,231,0.36796536796536794,1,1,read
extract_metadata,84,232,0.3620689655172414,1,1,read
update_document,85,238,0.35714285714285715,2,2,write
export_document,90,244,0.36885245901639346,2,2,read
search_repository,84,226,0.37168141592920356,1,1,read
get_repository,80,224,0.35714285714285715,1,1,read
create_issue,89,240,0.37083333333333335,2,2,write
update_issue,89,242,0.3677685950413223,2,2,write
create_report,88,237,0.37130801687763715,2,2,write
archive_report,83,231,0.3593073593073593,1,1,write
purge_archive,90,237,0.379746835443038,1,1,destructive
