active_layers,case_id,condition,exact_short_answer,family,first_token_rank,latency_seconds,max_logit_error_vs_visible,mean_logit_error_vs_visible,model,native_tokens_per_layer,physical_kv_bytes,record_id,top_token_equal_visible,topology_coverage
28,capital,VISIBLE_PREFIX,0,qwen3,2,0.26020080014131963,0.0,0.0,qwen,0,0,record-capital,1,all_decoder_layers
28,capital,NATIVE_FULL_REFERENCE,0,qwen3,2,0.4284428998362273,0.036376953125,0.00913549866527319,qwen,7,802816,record-capital,1,all_decoder_layers
28,capital,NATIVE_SELECTED_FULL_RECORD,0,qwen3,2,0.31481689983047545,0.036376953125,0.00913549866527319,qwen,7,802816,record-capital,1,all_decoder_layers
8,capital,NATIVE_CANONICAL_SPARSE_PROFILE,1,qwen3,1,0.2962690000422299,9.390625,2.138644218444824,qwen,7,229376,record-capital,0,all_decoder_layers
28,color,VISIBLE_PREFIX,1,qwen3,1,0.24542929977178574,0.0,0.0,qwen,0,0,record-color,1,all_decoder_layers
28,color,NATIVE_FULL_REFERENCE,1,qwen3,1,0.421602200018242,0.0234375,0.004116939380764961,qwen,6,688128,record-color,1,all_decoder_layers
28,color,NATIVE_SELECTED_FULL_RECORD,1,qwen3,1,0.40593139990232885,0.0234375,0.004116939380764961,qwen,6,688128,record-color,1,all_decoder_layers
8,color,NATIVE_CANONICAL_SPARSE_PROFILE,0,qwen3,5,0.33561619999818504,5.2314453125,0.8626108765602112,qwen,6,196608,record-color,0,all_decoder_layers
28,code,VISIBLE_PREFIX,1,qwen3,1,0.16082419990561903,0.0,0.0,qwen,0,0,record-code,1,all_decoder_layers
28,code,NATIVE_FULL_REFERENCE,1,qwen3,1,0.301416999893263,0.01953125,0.003318968927487731,qwen,8,917504,record-code,1,all_decoder_layers
28,code,NATIVE_SELECTED_FULL_RECORD,1,qwen3,1,0.4066040001343936,0.01953125,0.003318968927487731,qwen,8,917504,record-code,1,all_decoder_layers
8,code,NATIVE_CANONICAL_SPARSE_PROFILE,1,qwen3,1,0.31550089991651475,4.48046875,0.7595876455307007,qwen,8,262144,record-code,1,all_decoder_layers
