protocol_revision,model,case_id,case_class,seed,baseline,expected_initial_action,decision_target_action,predicted_action,mechanism_correct,recognized_insufficient,under_expansion,over_expansion,evidence_recall,task_success,answer,expected_answer,compact_tokens,visible_tokens,materialized_tokens,materialized_bytes,network_bytes,active_kv_bytes,expansions,explicit_expansions,pra_selected_chunks,round_trips,model_passes,decision_latency_seconds,answer_latency_seconds,decision_error,decision_raw,full_ceiling_eligible
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,11,FULL,CONTINUE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,0,0,1,1,0.0,3.5243860001210123,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,11,COMPACT_ONLY,CONTINUE,,CONTINUE,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,1,0.0,1.1329943998716772,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,11,PRA_AUTO,CONTINUE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,1,0.0,1.1329943998716772,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,11,MODEL_ESCALATION,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,2,1.5108264000155032,1.1329943998716772,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,11,PRA_PLUS_MODEL,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,2,1.5108264000155032,1.1329943998716772,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,11,CCR_TOOL,CONTINUE,,RETRIEVE,0,1,0,1,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,1,0,1,2,1.4390108999796212,3.5243860001210123,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,23,FULL,CONTINUE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,0,0,1,1,0.0,25.453009800054133,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,23,COMPACT_ONLY,CONTINUE,,CONTINUE,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,1,0.0,1.1540073999203742,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,23,PRA_AUTO,CONTINUE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,1,0.0,1.1540073999203742,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,23,MODEL_ESCALATION,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,2,1.3777143999468535,1.1540073999203742,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,23,PRA_PLUS_MODEL,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,2,1.3777143999468535,1.1540073999203742,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,23,CCR_TOOL,CONTINUE,,RETRIEVE,0,1,0,1,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,1,0,1,2,1.6479452000930905,25.453009800054133,,"<think>

</think>

{""decision"": ""retrieve""}",1
