split,dataset,condition,examples,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,requested_chunks,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
test,hotpotqa,A1_broad_semantic,16,0.31026785714285715,0.1796875,0.36302083333333335,0.24557582132973477,1.0,0.0,0.6897321428571428,8.0,6.5625,1.739887535222806,3.385018775588833,0.0,5.124906310811639,50.125,0.0
test,hotpotqa,B0_gist,16,0.15074404761904764,0.171875,0.2760416666666667,0.1710353161090013,0.5,0.0,0.8492559523809525,4.0,3.3125,1.535181247163564,2.9343250062083825,0.0,4.4695062533719465,50.125,0.0
test,hotpotqa,B1_bm25,16,0.3977678571428572,0.453125,0.875,0.535967000990119,0.9375,0.0,0.602232142857143,4.0,2.1875,50.307356228586286,3.0374000052688643,18.568774961750023,71.91353119560517,50.125,50.125
test,hotpotqa,B2_exact,16,0.2869047619047619,0.328125,0.5677083333333333,0.36060663076333455,0.75,0.0,0.7130952380952382,4.0,2.6875,42.087212481419556,3.337912494316697,16.733399985241704,62.15852496097796,50.125,50.125
test,hotpotqa,B3_weighted,16,0.2869047619047619,0.328125,0.5677083333333333,0.36060663076333455,0.75,0.0,0.7130952380952382,4.0,2.6875,45.464681199518964,3.333631277200766,17.796906264266,66.59521874098573,50.125,50.125
test,hotpotqa,B4_approx,16,0.3014880952380952,0.359375,0.734375,0.418408990840558,0.875,0.0,0.6985119047619047,4.0,2.5625,44.65056874323636,3.696893763844855,16.489124987856485,64.8365874949377,50.125,50.125
test,hotpotqa,H1_union,16,0.20877976190476188,0.25,0.3645833333333333,0.26281999751285845,0.5,0.0,0.7912202380952382,4.0,3.0,43.6334124970017,3.4741624986054376,17.34894374385476,64.4565187394619,50.125,50.125
test,hotpotqa,H2_token_semantic,16,0.2875,0.34375,0.6354166666666666,0.38912430943670084,0.75,0.0,0.7125,4.0,2.625,45.453875049133785,3.000718730618246,17.314556214842014,65.76914999459404,50.125,50.125
test,hotpotqa,H3_semantic_token,16,0.2785714285714286,0.328125,0.6354166666666666,0.37861633841975606,0.75,0.0,0.7214285714285714,4.0,2.6875,46.96451254130807,3.324381250422448,16.688337476807646,66.97723126853816,50.125,50.125
test,hotpotqa,H4_cascade,16,0.24002976190476188,0.28125,0.4739583333333333,0.30861460178027944,0.625,0.0,0.7599702380952382,4.0,2.875,46.11654377367813,3.7385625182650983,17.81283125455957,67.6679375465028,50.125,50.125
test,hotpotqa,H5_iterative_hybrid,16,0.2794642857142857,0.3125,0.6458333333333334,0.36810836740281117,0.8125,0.0,0.7205357142857143,4.0,2.75,115.83517499093432,3.466431226115674,16.503787512192503,135.8053937292425,150.375,150.375
test,hotpotqa,O1_oracle,16,0.8755952380952381,1.0,1.0,1.0,1.0,0.5625,0.1244047619047619,3.9375,0.0,0.02737497561611235,2.907193746068515,0.0,2.9345687216846272,0.0,0.0
test,qasper,A1_broad_semantic,16,0.0878720238095238,0.078125,0.15520833333333334,0.08449270427095094,0.375,0.0,0.9121279761904763,8.0,7.375,2.3534312640549615,8.227918748161756,0.0,10.581350012216717,142.625,0.0
test,qasper,B0_gist,16,0.03794642857142857,0.0625,0.13020833333333331,0.0625,0.25,0.0,0.9620535714285715,4.0,3.75,1.7295687575824559,8.181600016541779,0.0,9.911168774124235,142.625,0.0
test,qasper,B1_bm25,16,0.04163804945054945,0.09375,0.13541666666666666,0.09178468140385715,0.25,0.0,0.9583619505494506,4.0,3.625,74.89719375735149,7.757775005302392,50.27040623826906,132.92537500092294,142.625,142.625
test,qasper,B2_exact,16,0.17762019230769233,0.3125,0.4427083333333333,0.3222337929362952,0.6875,0.0,0.8223798076923077,4.0,2.75,71.94486875960138,8.471543740597554,51.1747999698855,131.59121247008443,142.625,142.625
test,qasper,B3_weighted,16,0.06083447802197803,0.109375,0.21354166666666666,0.11449202898305516,0.375,0.0,0.939165521978022,4.0,3.5625,80.3199187212158,8.83509375853464,48.526324942940846,137.68133742269129,142.625,142.625
test,qasper,B4_approx,16,0.03739697802197803,0.078125,0.140625,0.08108842203033807,0.25,0.0,0.962603021978022,4.0,3.6875,76.49141870206222,9.46901248244103,54.01428752520587,139.97471870970912,142.625,142.625
test,qasper,H1_union,16,0.03794642857142857,0.0625,0.13020833333333331,0.0625,0.25,0.0,0.9620535714285715,4.0,3.75,71.76538126077503,8.930156254791655,47.51034373475704,128.20588125032373,142.625,142.625
