milestone,seed,task_id,family,plan_horizon,condition,step,expected_tool,generated_tool,tool_correct,arguments_correct,executed,failure_reason,disclosed_tools,mid_execution_retrievals,cumulative_definition_tokens,cumulative_prompt_tokens,cumulative_generated_tokens,cumulative_generation_seconds
M4,11,m4-user-3,user,3,reactive_jit,1,search_user,search_user,True,True,True,,1,0,63,186,22,2.0151795998681337
M4,11,m4-user-3,user,3,reactive_jit,2,validate_user,validate_user,True,True,True,,1,1,129,432,45,4.229679899755865
M4,11,m4-user-3,user,3,reactive_jit,3,update_user,update_user,True,True,True,,1,2,206,744,75,7.284470499726012
M4-summary,11,m4-user-3,user,3,reactive_jit,0,,,True,True,True,,1,2,206,744,75,7.284470499726012
M4,11,m4-user-3,user,3,eager_required,1,search_user,search_user,True,True,True,,3,0,206,329,75,7.145673699909821
M4,11,m4-user-3,user,3,eager_required,2,validate_user,update_user,False,False,True,,3,0,412,768,105,10.781167299952358
M4-summary,11,m4-user-3,user,3,eager_required,0,,,False,False,False,wrong_call,3,0,412,768,105,10.781167299952358
M4,11,m4-user-3,user,3,no_refresh,1,search_user,search_user,True,True,True,,1,0,63,186,22,1.988983599934727
M4,11,m4-user-3,user,3,no_refresh,2,validate_user,search_user,False,False,True,,1,0,126,429,44,4.097586000105366
M4-summary,11,m4-user-3,user,3,no_refresh,0,,,False,False,False,wrong_call,1,0,126,429,44,4.097586000105366
M4,11,m4-doc-4,document,4,reactive_jit,1,search_document,search_document,True,True,True,,1,0,61,192,22,1.9898467001039535
M4,11,m4-doc-4,document,4,reactive_jit,2,read_document,read_document,True,True,True,,1,1,125,444,45,4.201413500122726
M4,11,m4-doc-4,document,4,reactive_jit,3,export_document,export_document,True,True,True,,1,2,202,773,74,7.2369312001392245
M4,11,m4-doc-4,document,4,reactive_jit,4,create_report,create_report,True,True,True,,1,3,278,1167,107,11.000780900241807
M4-summary,11,m4-doc-4,document,4,reactive_jit,0,,,True,True,True,,1,3,278,1167,107,11.000780900241807
M4,11,m4-doc-4,document,4,eager_required,1,search_document,search_document,True,True,True,,4,0,278,409,22,2.7778576998971403
M4,11,m4-doc-4,document,4,eager_required,2,read_document,read_document,True,True,True,,4,0,556,875,45,5.810775799909607
M4,11,m4-doc-4,document,4,eager_required,3,export_document,export_document,True,True,True,,4,0,834,1405,74,9.812206299975514
M4,11,m4-doc-4,document,4,eager_required,4,create_report,create_report,True,True,True,,4,0,1112,2001,107,14.445217499975115
