answer_correct,case_id,condition,constraint_violation,expected_token_id,expected_token_rank,format_compliant,generated_text,generation_seconds,protocol,required_evidence_use,scope,decode_calls_with_memory,decode_lifetime_pass,duplication_ratio,layer_count,layers,merged_interval_count,overlap_removed_tokens,query_position_offset,raw_interval_count,raw_selected_tokens,selected_reference_count,target_span_tokens,unique_native_tokens
0,independent_parallel-low-s11,VISIBLE_FULL_SESSION,0,11692,1,1,ANSWER=safron,2.612187300110236,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
0,independent_parallel-low-s11,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=safrond,1.115969100035727,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
0,independent_parallel-low-s11,NATIVE_FULL_SESSION,1,11692,1,1,ANSWER= ANSWER=VER=VER=VERIFICATION_CODE=pear=pearIAL=pearLIVER=pear,11.18035089992918,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,51,8,347,8,full,347
1,independent_parallel-low-s11,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= saffronicorn,2.407801500055939,paper8-native-bug-ablation-v2,1.0,native,224,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,51,1,51,1,full,51
0,linear_dependency-low-s23,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+xenon+zenith+acorn+drift+elm,3.828054799931124,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
1,linear_dependency-low-s23,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=elm+drift,1.6460766999516636,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,linear_dependency-low-s23,NATIVE_FULL_SESSION,0,11692,7,1,"</think>

ANSWER=task= [{""task"": ""t=Resolve legal_f7,verification_code"": ""t7",11.501492700073868,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,52,8,344,8,full,344
0,linear_dependency-low-s23,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= +elm,1.9727503000758588,paper8-native-bug-ablation-v2,0.5,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,49,2,86,2,full,86
0,join-low-s37,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+lilac +north +amber +ember,3.285646399948746,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
0,join-low-s37,VISIBLE_FULL_TASK_SCOPE,1,11692,1,1,ANSWER=delta+ember,1.4555003000423312,paper8-native-bug-ablation-v2,0.3333333333333333,visible,,,,,,,,,,,,,
0,join-low-s37,NATIVE_FULL_SESSION,0,11692,6,1,"</think>

ANSWER=task= [{""task"": ""t=Resolve legal_f7,verification_code"": ""t7",12.159462300129235,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,51,8,342,8,full,342
0,join-low-s37,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= Resolve legal filing code: cobaltectobalticobalt+task=cob,7.588206300046295,paper8-native-bug-ablation-v2,0.3333333333333333,native,588,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,0,50,4,169,4,full,169
0,resumption-low-s53,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=onyx,1.703243900090456,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,resumption-low-s53,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=nectar,1.2025638001505286,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,resumption-low-s53,NATIVE_FULL_SESSION,0,11692,1,1,"ANSWER= ANSWER=VER=VER=VERIFIED=VERIFIED=VERIFIED=0{""VERIFIED=",11.522004099795595,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,52,8,346,8,full,346
1,resumption-low-s53,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= nectar,1.8390190999489278,paper8-native-bug-ablation-v2,1.0,native,168,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,33,1,33,1,full,33
0,conflicting_state-low-s71,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=iris,1.5168424998410046,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,conflicting_state-low-s71,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= lilac,1.0962819999549538,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,conflicting_state-low-s71,NATIVE_FULL_SESSION,0,11692,1,1,ANSWER= ANSWER=verification_code=verification_code=kloe,6.727097700117156,paper8-native-bug-ablation-v2,0.0,native,392,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,54,8,369,8,full,369
1,conflicting_state-low-s71,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= lilacme,2.237131099915132,paper8-native-bug-ablation-v2,1.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,42,1,42,1,full,42
1,independent_parallel-medium-s11,VISIBLE_FULL_SESSION,0,11692,1,1,ANSWER=zenith,1.787001500139013,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
1,independent_parallel-medium-s11,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=zenith,1.227984800003469,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,independent_parallel-medium-s11,NATIVE_FULL_SESSION,0,11692,2,1,"</think>

ANSWER=task t7
ANSWER=verification_code=verification_code=verification_code=verification",12.247818800155073,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,53,8,366,8,full,366
1,independent_parallel-medium-s11,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= zenith,1.3528617999982089,paper8-native-bug-ablation-v2,1.0,native,140,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,52,1,52,1,full,52
1,linear_dependency-medium-s23,VISIBLE_FULL_SESSION,0,11692,1,1,ANSWER=+kelp+lilac,2.521096299868077,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
1,linear_dependency-medium-s23,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=+kelp+lilac,1.7568318000994623,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,linear_dependency-medium-s23,NATIVE_FULL_SESSION,0,11692,10,1,"</think>

ANSWER=task= [{""task: {""task"": ""tt7"", ""t7"", ""t",11.759859800105914,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,54,8,364,8,full,364
0,linear_dependency-medium-s23,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= +lilililacacacmeacmeecmeecme atlas+me atlas+me,12.346093700034544,paper8-native-bug-ablation-v2,0.5,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,53,2,94,2,full,94
0,join-medium-s37,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+linen+kernel+harbor+indigo+granite+forest,4.275422600097954,paper8-native-bug-ablation-v2,0.6666666666666666,visible,,,,,,,,,,,,,
0,join-medium-s37,VISIBLE_FULL_TASK_SCOPE,1,11692,1,1,ANSWER=+kernel+linen+juniper,2.2188999000936747,paper8-native-bug-ablation-v2,0.6666666666666666,visible,,,,,,,,,,,,,
0,join-medium-s37,NATIVE_FULL_SESSION,0,11692,10,1,"</think>

ANSWER=task= [{""task: {""task"": ""Resolve"": ""tt7"", ""t7",10.28890180005692,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,53,8,358,8,full,358
0,join-medium-s37,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= +task=t7+task=t7+Acme+Acme+Acme+Acme+,8.046388999791816,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,0,53,4,178,4,full,178
0,resumption-medium-s53,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=willow,1.7157420997973531,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,resumption-medium-s53,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=umber,0.9515000998508185,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
