budget_parents,budget_reason,candidate_pool_fraction,dataset,dedup_reason,displacement_reason,example_id,final_iterative_rank,fraction,method,one_shot_rank,one_shot_score,oracle_parent,replacement_hop2_fraction,replacing_hops,replacing_parents,replacing_score_families,replacing_scores,root_oracle_displaced,root_selected_entropy,root_top1_top2_margin,seed,status
2,1_of_2_slots_reserved_for_root,1.0,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.3,parent_closure,2,-0.20379215478897095,4,1.0,[2],[0],"[""propagated_semantic""]",[0.16649760636747923],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,1.0,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.3,local_gist_closure,2,-0.20379215478897095,4,1.0,[2],[0],"[""propagated_semantic""]",[0.23572761879985232],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,0.2,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.3,native_qk_max_topk_p20,2,-0.20379215478897095,4,1.0,[2],[0],"[""native_qk""]",[0.3744873512060304],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,0.2,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.3,native_qk_top4_topk_p20,2,-0.20379215478897095,4,1.0,[2],[0],"[""native_qk""]",[0.3744862902582681],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,1.0,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.4,parent_closure,2,-0.20379215478897095,4,1.0,[2],[0],"[""propagated_semantic""]",[0.16649760636747923],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,1.0,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.4,local_gist_closure,2,-0.20379215478897095,4,1.0,[2],[0],"[""propagated_semantic""]",[0.23572761879985232],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,0.2,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.4,native_qk_max_topk_p20,2,-0.20379215478897095,4,1.0,[2],[0],"[""native_qk""]",[0.3744873512060304],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,0.2,hotpotqa,none_parent_identity_deduplicated,root_slot_partition,5adc3aff5542996e685252eb,,0.4,native_qk_top4_topk_p20,2,-0.20379215478897095,4,1.0,[2],[0],"[""native_qk""]",[0.3744862902582681],1.0,0.6914505958557129,0.11659983545541763,11,displaced
2,1_of_2_slots_reserved_for_root,1.0,hotpotqa,none_parent_identity_deduplicated,preserved,5ab56db7554299494045efc6,2,0.3,parent_closure,2,-0.5058683753013611,0,0.0,[],[],[],[],0.0,0.6931409239768982,0.007067292928695679,11,preserved
2,1_of_2_slots_reserved_for_root,1.0,hotpotqa,none_parent_identity_deduplicated,preserved,5ab56db7554299494045efc6,2,0.3,local_gist_closure,2,-0.5058683753013611,0,0.0,[],[],[],[],0.0,0.6931409239768982,0.007067292928695679,11,preserved
