candidate_count,candidate_parent,dataset,example_id,is_oracle,method,rank,raw_score,score_entropy,score_family,score_quantile,seed,source_parent,top1_top2_margin,top4_spread
5,3,hotpotqa,5adc3aff5542996e685252eb,0.0,parent_closure,1,-0.08719231933355331,1.5911533832550049,root_semantic,1.0,11,,0.11659983545541763,0.37778550386428833
5,4,hotpotqa,5adc3aff5542996e685252eb,1.0,parent_closure,2,-0.20379215478897095,1.5911533832550049,root_semantic,0.75,11,,0.11659983545541763,0.37778550386428833
5,0,hotpotqa,5adc3aff5542996e685252eb,0.0,parent_closure,3,-0.4358554780483246,1.5911533832550049,root_semantic,0.5,11,,0.11659983545541763,0.37778550386428833
5,2,hotpotqa,5adc3aff5542996e685252eb,1.0,parent_closure,4,-0.46497783064842224,1.5911533832550049,root_semantic,0.25,11,,0.11659983545541763,0.37778550386428833
5,1,hotpotqa,5adc3aff5542996e685252eb,0.0,parent_closure,5,-0.6152824759483337,1.5911533832550049,root_semantic,0.0,11,,0.11659983545541763,0.37778550386428833
4,0,hotpotqa,5adc3aff5542996e685252eb,0.0,parent_closure,1,-0.215239480137825,1.3756346702575684,propagated_semantic,1.0,11,3,0.13834531605243683,0.36412519216537476
4,4,hotpotqa,5adc3aff5542996e685252eb,1.0,parent_closure,2,-0.35358479619026184,1.3756346702575684,propagated_semantic,0.6666666666666667,11,3,0.13834531605243683,0.36412519216537476
4,2,hotpotqa,5adc3aff5542996e685252eb,1.0,parent_closure,3,-0.5295263528823853,1.3756346702575684,propagated_semantic,0.33333333333333337,11,3,0.13834531605243683,0.36412519216537476
4,1,hotpotqa,5adc3aff5542996e685252eb,0.0,parent_closure,4,-0.5793646574020386,1.3756346702575684,propagated_semantic,0.0,11,3,0.13834531605243683,0.36412519216537476
5,3,hotpotqa,5adc3aff5542996e685252eb,0.0,local_gist_closure,1,-0.08719231933355331,1.5911533832550049,root_semantic,1.0,11,,0.11659983545541763,0.37778550386428833
5,4,hotpotqa,5adc3aff5542996e685252eb,1.0,local_gist_closure,2,-0.20379215478897095,1.5911533832550049,root_semantic,0.75,11,,0.11659983545541763,0.37778550386428833
5,0,hotpotqa,5adc3aff5542996e685252eb,0.0,local_gist_closure,3,-0.4358554780483246,1.5911533832550049,root_semantic,0.5,11,,0.11659983545541763,0.37778550386428833
5,2,hotpotqa,5adc3aff5542996e685252eb,1.0,local_gist_closure,4,-0.46497783064842224,1.5911533832550049,root_semantic,0.25,11,,0.11659983545541763,0.37778550386428833
5,1,hotpotqa,5adc3aff5542996e685252eb,0.0,local_gist_closure,5,-0.6152824759483337,1.5911533832550049,root_semantic,0.0,11,,0.11659983545541763,0.37778550386428833
4,0,hotpotqa,5adc3aff5542996e685252eb,0.0,local_gist_closure,1,0.18925616145133972,1.3811897039413452,propagated_semantic,1.0,11,3,0.06767895072698593,0.2743566632270813
4,2,hotpotqa,5adc3aff5542996e685252eb,1.0,local_gist_closure,2,0.12157721072435379,1.3811897039413452,propagated_semantic,0.6666666666666667,11,3,0.06767895072698593,0.2743566632270813
4,4,hotpotqa,5adc3aff5542996e685252eb,1.0,local_gist_closure,3,0.03774518892168999,1.3811897039413452,propagated_semantic,0.33333333333333337,11,3,0.06767895072698593,0.2743566632270813
4,1,hotpotqa,5adc3aff5542996e685252eb,0.0,local_gist_closure,4,-0.08510050177574158,1.3811897039413452,propagated_semantic,0.0,11,3,0.06767895072698593,0.2743566632270813
5,3,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_max_topk_p20,1,-0.08719231933355331,1.5911533832550049,root_semantic,1.0,11,,0.11659983545541763,0.37778550386428833
5,4,hotpotqa,5adc3aff5542996e685252eb,1.0,native_qk_max_topk_p20,2,-0.20379215478897095,1.5911533832550049,root_semantic,0.75,11,,0.11659983545541763,0.37778550386428833
5,0,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_max_topk_p20,3,-0.4358554780483246,1.5911533832550049,root_semantic,0.5,11,,0.11659983545541763,0.37778550386428833
5,2,hotpotqa,5adc3aff5542996e685252eb,1.0,native_qk_max_topk_p20,4,-0.46497783064842224,1.5911533832550049,root_semantic,0.25,11,,0.11659983545541763,0.37778550386428833
5,1,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_max_topk_p20,5,-0.6152824759483337,1.5911533832550049,root_semantic,0.0,11,,0.11659983545541763,0.37778550386428833
1,0,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_max_topk_p20,1,14.145523071289062,-0.0,native_qk,1.0,11,3,inf,0.0
5,3,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_top4_topk_p20,1,-0.08719231933355331,1.5911533832550049,root_semantic,1.0,11,,0.11659983545541763,0.37778550386428833
5,4,hotpotqa,5adc3aff5542996e685252eb,1.0,native_qk_top4_topk_p20,2,-0.20379215478897095,1.5911533832550049,root_semantic,0.75,11,,0.11659983545541763,0.37778550386428833
5,0,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_top4_topk_p20,3,-0.4358554780483246,1.5911533832550049,root_semantic,0.5,11,,0.11659983545541763,0.37778550386428833
5,2,hotpotqa,5adc3aff5542996e685252eb,1.0,native_qk_top4_topk_p20,4,-0.46497783064842224,1.5911533832550049,root_semantic,0.25,11,,0.11659983545541763,0.37778550386428833
5,1,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_top4_topk_p20,5,-0.6152824759483337,1.5911533832550049,root_semantic,0.0,11,,0.11659983545541763,0.37778550386428833
1,0,hotpotqa,5adc3aff5542996e685252eb,0.0,native_qk_top4_topk_p20,1,12.47982120513916,-0.0,native_qk,1.0,11,3,inf,0.0
5,2,hotpotqa,5ab56db7554299494045efc6,0.0,parent_closure,1,-0.4988010823726654,1.60801100730896,root_semantic,1.0,11,,0.007067292928695679,0.09738317131996155
5,0,hotpotqa,5ab56db7554299494045efc6,1.0,parent_closure,2,-0.5058683753013611,1.60801100730896,root_semantic,0.75,11,,0.007067292928695679,0.09738317131996155
5,3,hotpotqa,5ab56db7554299494045efc6,1.0,parent_closure,3,-0.536227822303772,1.60801100730896,root_semantic,0.5,11,,0.007067292928695679,0.09738317131996155
5,1,hotpotqa,5ab56db7554299494045efc6,0.0,parent_closure,4,-0.596184253692627,1.60801100730896,root_semantic,0.25,11,,0.007067292928695679,0.09738317131996155
5,4,hotpotqa,5ab56db7554299494045efc6,0.0,parent_closure,5,-0.6379997134208679,1.60801100730896,root_semantic,0.0,11,,0.007067292928695679,0.09738317131996155
4,0,hotpotqa,5ab56db7554299494045efc6,1.0,parent_closure,1,-0.35192859172821045,1.3847914934158325,propagated_semantic,1.0,11,2,0.10566440224647522,0.14469870924949646
4,1,hotpotqa,5ab56db7554299494045efc6,0.0,parent_closure,2,-0.45759299397468567,1.3847914934158325,propagated_semantic,0.6666666666666667,11,2,0.10566440224647522,0.14469870924949646
4,3,hotpotqa,5ab56db7554299494045efc6,1.0,parent_closure,3,-0.46014851331710815,1.3847914934158325,propagated_semantic,0.33333333333333337,11,2,0.10566440224647522,0.14469870924949646
4,4,hotpotqa,5ab56db7554299494045efc6,0.0,parent_closure,4,-0.4966273009777069,1.3847914934158325,propagated_semantic,0.0,11,2,0.10566440224647522,0.14469870924949646
