budget_parents,chain_completion,complete_oracle,dataset,example_id,fraction,materialized_kv_fraction,materialized_kv_tokens,method,native_qk_dot_products,oracle_jaccard,oracle_parent_ids,oracle_precision,oracle_recall,routing_seconds,seed,selected_parent_ids,semantic_gist_comparisons
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,one_shot_parent,0,0.0,"[2, 4]",0.0,0.0,0.18433989997720346,11,[3],5
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,parent_closure,0,0.0,"[2, 4]",0.0,0.0,0.003949199977796525,11,[3],5
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,local_gist_closure,0,0.0,"[2, 4]",0.0,0.0,0.06934250000631437,11,[3],44
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,native_qk_max_topk_p20,0,0.0,"[2, 4]",0.0,0.0,0.016378300031647086,11,[3],83
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,native_qk_top4_topk_p20,0,0.0,"[2, 4]",0.0,0.0,0.004618299950379878,11,[3],83
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,one_shot_parent,0,0.0,"[2, 4]",0.0,0.0,0.002780499984510243,11,[3],5
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,parent_closure,0,0.0,"[2, 4]",0.0,0.0,0.0036613999982364476,11,[3],5
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,local_gist_closure,0,0.0,"[2, 4]",0.0,0.0,0.004565200011711568,11,[3],44
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,native_qk_max_topk_p20,0,0.0,"[2, 4]",0.0,0.0,0.006458799995016307,11,[3],83
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,native_qk_top4_topk_p20,0,0.0,"[2, 4]",0.0,0.0,0.0061574000283144414,11,[3],83
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,one_shot_parent,0,0.0,"[2, 4]",0.0,0.0,0.004873400030191988,11,[3],5
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,parent_closure,0,0.0,"[2, 4]",0.0,0.0,0.004782699979841709,11,[3],5
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,local_gist_closure,0,0.0,"[2, 4]",0.0,0.0,0.004160699958447367,11,[3],44
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,native_qk_max_topk_p20,0,0.0,"[2, 4]",0.0,0.0,0.006436399999074638,11,[3],83
1,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,native_qk_top4_topk_p20,0,0.0,"[2, 4]",0.0,0.0,0.0055100999888964,11,[3],83
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.3,0.3689400164338537,449,one_shot_parent,0,0.3333333333333333,"[2, 4]",0.5,0.5,0.00689239997882396,11,"[3, 4]",5
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,parent_closure,0,0.0,"[2, 4]",0.0,0.0,0.004868699994403869,11,"[0, 3]",10
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,local_gist_closure,0,0.0,"[2, 4]",0.0,0.0,0.013394900015555322,11,"[0, 3]",83
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,native_qk_max_topk_p20,131072,0.0,"[2, 4]",0.0,0.0,0.017267500050365925,11,"[0, 3]",83
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,native_qk_top4_topk_p20,131072,0.0,"[2, 4]",0.0,0.0,0.011908899992704391,11,"[0, 3]",83
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.4,0.3689400164338537,449,one_shot_parent,0,0.3333333333333333,"[2, 4]",0.5,0.5,0.0038408999680541456,11,"[3, 4]",5
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,parent_closure,0,0.0,"[2, 4]",0.0,0.0,0.007902399986051023,11,"[0, 3]",10
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,local_gist_closure,0,0.0,"[2, 4]",0.0,0.0,0.011025400017388165,11,"[0, 3]",83
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,native_qk_max_topk_p20,131072,0.0,"[2, 4]",0.0,0.0,0.01196850003907457,11,"[0, 3]",83
2,0.0,0.0,hotpotqa,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,native_qk_top4_topk_p20,131072,0.0,"[2, 4]",0.0,0.0,0.013972799992188811,11,"[0, 3]",83
1,0.0,0.0,hotpotqa,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,one_shot_parent,0,0.0,"[0, 3]",0.0,0.0,0.005793199990876019,11,[2],5
1,0.0,0.0,hotpotqa,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,parent_closure,0,0.0,"[0, 3]",0.0,0.0,0.004406099964398891,11,[2],5
1,0.0,0.0,hotpotqa,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,local_gist_closure,0,0.0,"[0, 3]",0.0,0.0,0.003585800004657358,11,[2],45
