partition,dataset,example_id,seed,hop,transition,query_state_id,query_reconstruction_mode,query_support_mode,facet_type,facet_count,K_search,candidate_parent_count,source_parent,oracle_parent,candidate_parent_ids,candidate_native_rank,candidate_query_rank,candidate_score,successor_candidate_recall,mrr,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_6,recall_at_8,recall_at_11,oracle_margin,winning_facet,winning_facet_family,winning_facet_span,winning_facet_text,winning_facet_includes_a,question,source_a_text,oracle_b_text,B_ceiling,theta,activated,active_parent_count,logical_reference_tokens,logical_parent_count,conceptual_active_parent_count,conceptual_active_parent_fraction,materialized_parent_count,materialized_native_kv_tokens,active_native_kv_fraction,native_kv_bytes,peak_native_kv_tokens,peak_active_parent_count,query_support_tokens,native_k_candidate_comparisons,semantic_comparisons,search_comparisons,reencoding_time,memory_projection_time,query_projection_time,candidate_scoring_time,native_search_time,prefill_to_ready_time,model_baseline_gpu_allocated_bytes,total_reencoding_peak_gpu_allocated_bytes,total_reencoding_peak_gpu_reserved_bytes,incremental_reencoding_peak_allocated_bytes,routing_peak_gpu_allocated_bytes,routing_peak_gpu_reserved_bytes,incremental_routing_peak_allocated_bytes,cpu_reference_cache_bytes,gpu_reference_cache_bytes,gist_cache_bytes,projected_parent_cache_bytes,query_facet_tensor_bytes,candidate_score_tensor_bytes,h2d_transfer_bytes,h2d_transfer_events,h2d_transfer_time,currently_materialized_parent_count,tpot,generation_performed,static_query_rank,rank_movement_from_q0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,1,1,[2],[4],[3],3,2,,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[3],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,18,4984850,0.0,0.029067199968267232,0.0005355000030249357,0.00796949997311458,0.5125588999944739,0.5501310999388807,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,72,7764728,7,,0,,False,2,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,2,2,[2],[4],"[3, 0]",3,3,,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[0],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,36,4984868,0.0,0.029067199968267232,0.0005355000030249357,0.002500400005374104,0.5125588999944739,0.5446619999711402,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,144,7764728,7,,0,,False,3,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,3,3,[2],[4],"[3, 0, 4]",3,1,0.032787203788757324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07403857633471489,7,window_2,"[16, 18]",at the,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[4],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,54,4984886,0.0,0.029067199968267232,0.0005355000030249357,0.0018570999964140356,0.5125588999944739,0.5440186999621801,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,216,7764728,7,,0,,False,1,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,4,4,[2],[4],"[3, 0, 4, 1]",3,1,0.032787203788757324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07403857633471489,7,window_2,"[16, 18]",at the,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[4],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,72,4984904,0.0,0.029067199968267232,0.0005355000030249357,0.0019106999970972538,0.5125588999944739,0.5440722999628633,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,288,7764728,7,,0,,False,1,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,5,4,[2],[4],"[3, 0, 4, 1]",3,1,0.032787203788757324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07403857633471489,7,window_2,"[16, 18]",at the,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[4],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,72,4984904,0.0,0.029067199968267232,0.0005355000030249357,0.0013778999564237893,0.5125588999944739,0.5435394999221899,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,288,7764728,7,,0,,False,1,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,6,4,[2],[4],"[3, 0, 4, 1]",3,1,0.032787203788757324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07403857633471489,7,window_2,"[16, 18]",at the,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[4],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,72,4984904,0.0,0.029067199968267232,0.0005355000030249357,0.0013726999750360847,0.5125588999944739,0.5435342999408022,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,288,7764728,7,,0,,False,1,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,8,4,[2],[4],"[3, 0, 4, 1]",3,1,0.032787203788757324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07403857633471489,7,window_2,"[16, 18]",at the,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[4],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,72,4984904,0.0,0.029067199968267232,0.0005355000030249357,0.0014499000390060246,0.5125588999944739,0.5436115000047721,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,288,7764728,7,,0,,False,1,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t0:static_q0,static_q0,latest_message,w2_s1,18,11,4,[2],[4],"[3, 0, 4, 1]",3,1,0.032787203788757324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07403857633471489,7,window_2,"[16, 18]",at the,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[4],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,72,4984904,0.0,0.029067199968267232,0.0005355000030249357,0.0016757000121288002,0.5125588999944739,0.5438372999778949,1192115712,1192115712,1216348160,0,13858304,92274688,92672,620984671,7671832,20480,2560,73728,288,7764728,7,,0,,False,1,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t1:query_then_memory,query_then_memory,question_only,w2_s1_dynamic,18,1,1,[2],[4],[3],3,2,,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[3],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,18,4984850,0.8649531999835745,0.029067199968267232,0.0007910000276751816,0.0014307000092230737,0.5125588999944739,1.4088009999832138,1192115712,1292827136,1331691520,100711424,13858304,92274688,92672,620984671,7671832,20480,2560,73728,72,7769304,9,,0,,False,2,0
validation,hotpotqa,5adc3aff5542996e685252eb,11,1,0,5adc3aff5542996e685252eb:t1:query_then_memory,query_then_memory,question_only,w2_s1_dynamic,18,2,2,[2],[4],"[3, 0]",3,3,,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,False,What star in the film Up at the Villa has earned the title of knighthood?,"Rides: The screenplay is based on the biography by William Douglas Lansford.
Derek Jacobi: Sir Derek George Jacobi, ( ; born 22 October 1938) is an English actor and stage director.
At the Villa Rose (1930 film): At the Villa Rose is a 1930 British mystery film directed by Leslie S. Hiscott and starring Norah Baring, Richard Cooper and Austin Trevor.
At the Villa Rose (1930 film): It marked the screen debut of Northern Irish actor Trevor.
At the Villa Rose (1930 film): It was released in the United States under the alternative title of Mystery at the Villa Rose.
Woodstock Villa: Woodstock Villa is a 2008 Indian musical thriller directed by Hansal Mehta and produced by Sanjay Gupta and Ekta Kapoor.
Woodstock Villa: It features newcomers Sikandar Kher, Neha Oberoi and Arbaaz Khan in the primary roles while Shakti Kapoor, Gulshan Grover, Sachin Khedekar, Boman Irani and Anupama Verma essay other significant roles.
Woodstock Villa: The soundtrack was composed by Anu Malik.
Woodstock Villa: It","[""Juano Hernandez: Later in life he returned to Puerto Rico, where he intended to make a film based on the life of Sixto Escobar.\nAdrift in Manhattan: Adrift in Manhattan is a 2007 film directed by Alfredo De Villa and written by Nat Moss based on a story by De Villa.\nAdrift in Manhattan: The film features an ensemble cast, including Heather Graham, Victor Rasuk, Dominic Chianese, Elizabeth Pe\u00f1a, and William Baldwin.\nAdrift in Manhattan: The film earned mixed reviews upon release.\nUp at the Villa (film): Up at the Villa is a 2000 British film directed by Philip Haas, based on the 1941 novella \""Up at the Villa\"" by W. Somerset Maugham.\nUp at the Villa (film): The movie stars Kristin Scott Thomas, Anne Bancroft, James Fox, Derek Jacobi, and Sean Penn.""]",1,,[3],1,1217,5,2,0.4,0,0,0.0,0,0,2,18,4984832,36,4984868,0.8649531999835745,0.029067199968267232,0.0007910000276751816,0.0015066000050865114,0.5125588999944739,1.4088768999790773,1192115712,1292827136,1331691520,100711424,13858304,92274688,92672,620984671,7671832,20480,2560,73728,144,7769304,9,,0,,False,3,0
