dataset,example_id,parent_index,is_evidence,recovery_type,support_channels,L_score,L_rank,L_top4,E_score,E_rank,E_top4,S_score,S_rank,S_top4,QK_score,QK_rank,QK_top4
hotpotqa,5adc3aff5542996e685252eb,0,False,non_evidence,L+E+S+QK,3.9252060955687966,2,True,7.610426401876536,1,True,5.0,1,True,11.487380027770996,1,True
hotpotqa,5adc3aff5542996e685252eb,1,False,non_evidence,E+S,2.2513826786333655,5,False,1.5433909692336472,4,True,2.0,4,True,10.648419380187988,5,False
hotpotqa,5adc3aff5542996e685252eb,2,True,multi_channel,L+S+QK,2.541459698182832,4,True,1.2952062378913007,5,False,3.0,3,True,11.312983512878418,3,True
hotpotqa,5adc3aff5542996e685252eb,3,False,non_evidence,L+E+S+QK,3.2003690730085066,3,True,3.1724395626381616,2,True,4.0,2,True,10.76917839050293,4,True
hotpotqa,5adc3aff5542996e685252eb,4,True,multi_channel,L+E+QK,4.99627397651517,1,True,1.5708034930044532,3,True,2.0,5,False,11.453032493591309,2,True
hotpotqa,5ab56db7554299494045efc6,0,True,multi_channel,L+E+S+QK,4.354216157396492,2,True,5.178613794313688,1,True,7.0,1,True,7.729417324066162,4,True
hotpotqa,5ab56db7554299494045efc6,1,False,non_evidence,L+E+S+QK,2.534996599722402,4,True,1.3825704264869705,4,True,5.0,2,True,7.8800177574157715,2,True
hotpotqa,5ab56db7554299494045efc6,2,False,non_evidence,L+E+QK,4.007972796330513,3,True,2.6913999076783695,3,True,3.0,5,False,8.063671112060547,1,True
hotpotqa,5ab56db7554299494045efc6,3,True,multi_channel,L+E+S+QK,6.594045695390163,1,True,4.482715630444545,2,True,4.0,3,True,7.867159843444824,3,True
hotpotqa,5ab56db7554299494045efc6,4,False,non_evidence,S,1.195786433156948,5,False,1.0219466193107296,5,False,4.0,4,True,7.300210475921631,5,False
hotpotqa,5ab2b863554299295394685a,0,False,non_evidence,L,3.788285821071352,3,True,1.1169203373199756,5,False,2.0,5,False,6.334445953369141,6,False
hotpotqa,5ab2b863554299295394685a,1,False,non_evidence,E+S+QK,2.8322751511891786,5,False,1.9192007964977067,4,True,4.0,1,True,6.696833610534668,4,True
hotpotqa,5ab2b863554299295394685a,2,False,non_evidence,QK,2.5157054243094366,6,False,0.42382903790838844,6,False,1.0,6,False,6.737225532531738,3,True
hotpotqa,5ab2b863554299295394685a,3,True,multi_channel,L+E+S+QK,9.047255196854985,1,True,5.341890353940718,1,True,4.0,2,True,7.385302543640137,1,True
