dataset,budget_chunks,left,right,identities,mean_delta,ci95_low,ci95_high,better,worse,unchanged
2wikimultihopqa,4,rank16_zero_shot,native_mean,100,0.03276984126984127,0.002547619047619051,0.06384126984126987,29,16,55
2wikimultihopqa,4,rank16_retrained,native_mean,100,0.09260317460317462,0.058158730158730174,0.1288650793650794,47,14,39
2wikimultihopqa,4,rank16_mixed,native_mean,100,0.07769047619047618,0.040738095238095254,0.11278571428571431,47,15,38
2wikimultihopqa,4,rank8_centroid8_retrained,native_mean,100,0.07858730158730158,0.04366666666666668,0.1143412698412698,45,13,42
2wikimultihopqa,4,rank16_retrained,best_lexical,100,-0.09184126984126983,-0.14464285714285707,-0.03965873015873017,24,54,22
2wikimultihopqa,4,lexical_lowrank_retrained,best_lexical,100,-0.054420634920634925,-0.09953968253968255,-0.009325396825396837,22,43,35
2wikimultihopqa,4,lexical_lowrank_mixed,best_lexical,100,-0.03251587301587301,-0.07627777777777778,0.012555555555555558,26,36,38
2wikimultihopqa,6,rank16_zero_shot,native_mean,100,0.08137301587301587,0.04256349206349208,0.1195793650793651,44,16,40
2wikimultihopqa,6,rank16_retrained,native_mean,100,0.13677777777777778,0.09902380952380951,0.1756428571428571,57,10,33
2wikimultihopqa,6,rank16_mixed,native_mean,100,0.11718253968253968,0.07545238095238098,0.15769047619047616,54,14,32
2wikimultihopqa,6,rank8_centroid8_retrained,native_mean,100,0.10023015873015872,0.05873809523809525,0.1417222222222222,50,16,34
2wikimultihopqa,6,rank16_retrained,best_lexical,100,-0.05628571428571428,-0.11000000000000006,-0.0004285714285714193,30,45,25
2wikimultihopqa,6,lexical_lowrank_retrained,best_lexical,100,-0.016206349206349207,-0.061238095238095244,0.031642857142857146,30,37,33
2wikimultihopqa,6,lexical_lowrank_mixed,best_lexical,100,-0.0014920634920634912,-0.04865873015873015,0.04725396825396827,32,34,34
