case_id,downstream_record_recall,edge_f1,edge_precision,edge_recall,family,generated_tokens,generation_seconds,mode,model,model_calls,parse_failure,protocol,response,revision,seed,task_count_error,task_precision,task_recall,validation_failure
atomic-n1-r3-s11,1.0,1.0,1.0,1.0,atomic,82,14.265477600041777,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Update the shared project status for scope t1 based on the result from t0.
- t2: Validate the shared project status for scope t2 based on the result from t1.
- t3: Finalize the shared project status for scope t3 based on the result from t2.",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
atomic-n1-r3-s23,1.0,1.0,1.0,1.0,atomic,82,13.559615300036967,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Update the shared project status for scope t1 based on the result from t0.
- t2: Validate the shared project status for scope t2 based on the result from t1.
- t3: Finalize the shared project status for scope t3 based on the result from t2.",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
atomic-n1-r3-s37,1.0,1.0,1.0,1.0,atomic,82,14.022217500023544,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Update the shared project status for scope t1 based on the result from t0.
- t2: Validate the shared project status for scope t2 based on the result from t1.
- t3: Finalize the shared project status for scope t3 based on the result from t2.",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
atomic-n1-r3-s53,1.0,1.0,1.0,1.0,atomic,82,14.166927400045097,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Update the shared project status for scope t1 based on the result from t0.
- t2: Validate the shared project status for scope t2 based on the result from t1.
- t3: Finalize the shared project status for scope t3 based on the result from t2.",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
atomic-n1-r3-s71,1.0,1.0,1.0,1.0,atomic,82,13.939113299828023,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Update the shared project status for scope t1 based on the result from t0.
- t2: Validate the shared project status for scope t2 based on the result from t1.
- t3: Finalize the shared project status for scope t3 based on the result from t2.",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
linear-n4-r3-s11,1.0,1.0,1.0,1.0,linear,66,10.600222599925473,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 after t0.
- t2: Resolve shared project status for scope t2 after t1.
- t3: Resolve shared project status for scope t3 after t2.",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
linear-n4-r3-s23,1.0,1.0,1.0,1.0,linear,66,11.980275300098583,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 after t0.
- t2: Resolve shared project status for scope t2 after t1.
- t3: Resolve shared project status for scope t3 after t2.",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
linear-n4-r3-s37,1.0,1.0,1.0,1.0,linear,66,11.055386299965903,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 after t0.
- t2: Resolve shared project status for scope t2 after t1.
- t3: Resolve shared project status for scope t3 after t2.",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
linear-n4-r3-s53,1.0,1.0,1.0,1.0,linear,66,11.361574300099164,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 after t0.
- t2: Resolve shared project status for scope t2 after t1.
- t3: Resolve shared project status for scope t3 after t2.",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
linear-n4-r3-s71,1.0,1.0,1.0,1.0,linear,66,11.377110099885613,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 after t0.
- t2: Resolve shared project status for scope t2 after t1.
- t3: Resolve shared project status for scope t3 after t2.",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
parallel-n4-r3-s11,1.0,1.0,1.0,1.0,parallel,60,10.240378099959344,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 independently.
- t2: Resolve shared project status for scope t2 independently.
- t3: Resolve shared project status for scope t3 independently.",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
parallel-n4-r3-s23,1.0,1.0,1.0,1.0,parallel,60,10.521838400047272,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 independently.
- t2: Resolve shared project status for scope t2 independently.
- t3: Resolve shared project status for scope t3 independently.",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
parallel-n4-r3-s37,1.0,1.0,1.0,1.0,parallel,60,11.185912400018424,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 independently.
- t2: Resolve shared project status for scope t2 independently.
- t3: Resolve shared project status for scope t3 independently.",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
parallel-n4-r3-s53,1.0,1.0,1.0,1.0,parallel,60,10.335538499988616,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 independently.
- t2: Resolve shared project status for scope t2 independently.
- t3: Resolve shared project status for scope t3 independently.",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
parallel-n4-r3-s71,1.0,1.0,1.0,1.0,parallel,60,10.648945400025696,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 independently.
- t2: Resolve shared project status for scope t2 independently.
- t3: Resolve shared project status for scope t3 independently.",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
fork-n4-r3-s11,1.0,1.0,1.0,1.0,fork,63,11.05057239998132,preflight_markdown,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"- t0: Resolve shared project status for scope t0 independently.
- t1: Resolve shared project status for scope t1 after t0.
- t2: Resolve shared project status for scope t2 after t0.
- t3: Resolve shared project status for scope t3 after t0.",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
