case_id,critical_path_depth,edge_count,family,fork_count,join_count,maximum_width,records_per_task,seed,task_count,total_records
parallel-n2-r6-s11,1,0,parallel,0,0,2,6,11,2,12
parallel-n2-r6-s23,1,0,parallel,0,0,2,6,23,2,12
parallel-n2-r6-s37,1,0,parallel,0,0,2,6,37,2,12
parallel-n2-r6-s53,1,0,parallel,0,0,2,6,53,2,12
parallel-n2-r6-s71,1,0,parallel,0,0,2,6,71,2,12
parallel-n4-r6-s11,1,0,parallel,0,0,4,6,11,4,24
parallel-n4-r6-s23,1,0,parallel,0,0,4,6,23,4,24
parallel-n4-r6-s37,1,0,parallel,0,0,4,6,37,4,24
parallel-n4-r6-s53,1,0,parallel,0,0,4,6,53,4,24
parallel-n4-r6-s71,1,0,parallel,0,0,4,6,71,4,24
parallel-n8-r6-s11,1,0,parallel,0,0,8,6,11,8,48
parallel-n8-r6-s23,1,0,parallel,0,0,8,6,23,8,48
parallel-n8-r6-s37,1,0,parallel,0,0,8,6,37,8,48
parallel-n8-r6-s53,1,0,parallel,0,0,8,6,53,8,48
parallel-n8-r6-s71,1,0,parallel,0,0,8,6,71,8,48
parallel-n16-r6-s11,1,0,parallel,0,0,16,6,11,16,96
parallel-n16-r6-s23,1,0,parallel,0,0,16,6,23,16,96
parallel-n16-r6-s37,1,0,parallel,0,0,16,6,37,16,96
parallel-n16-r6-s53,1,0,parallel,0,0,16,6,53,16,96
parallel-n16-r6-s71,1,0,parallel,0,0,16,6,71,16,96
linear-n2-r6-s11,2,1,linear,0,0,1,6,11,2,12
linear-n2-r6-s23,2,1,linear,0,0,1,6,23,2,12
linear-n2-r6-s37,2,1,linear,0,0,1,6,37,2,12
linear-n2-r6-s53,2,1,linear,0,0,1,6,53,2,12
linear-n2-r6-s71,2,1,linear,0,0,1,6,71,2,12
linear-n4-r6-s11,4,3,linear,0,0,1,6,11,4,24
linear-n4-r6-s23,4,3,linear,0,0,1,6,23,4,24
linear-n4-r6-s37,4,3,linear,0,0,1,6,37,4,24
linear-n4-r6-s53,4,3,linear,0,0,1,6,53,4,24
linear-n4-r6-s71,4,3,linear,0,0,1,6,71,4,24
linear-n8-r6-s11,8,7,linear,0,0,1,6,11,8,48
linear-n8-r6-s23,8,7,linear,0,0,1,6,23,8,48
linear-n8-r6-s37,8,7,linear,0,0,1,6,37,8,48
linear-n8-r6-s53,8,7,linear,0,0,1,6,53,8,48
linear-n8-r6-s71,8,7,linear,0,0,1,6,71,8,48
linear-n16-r6-s11,16,15,linear,0,0,1,6,11,16,96
linear-n16-r6-s23,16,15,linear,0,0,1,6,23,16,96
linear-n16-r6-s37,16,15,linear,0,0,1,6,37,16,96
linear-n16-r6-s53,16,15,linear,0,0,1,6,53,16,96
linear-n16-r6-s71,16,15,linear,0,0,1,6,71,16,96
join-n2-r6-s11,2,1,join,0,0,1,6,11,2,12
join-n2-r6-s23,2,1,join,0,0,1,6,23,2,12
join-n2-r6-s37,2,1,join,0,0,1,6,37,2,12
join-n2-r6-s53,2,1,join,0,0,1,6,53,2,12
join-n2-r6-s71,2,1,join,0,0,1,6,71,2,12
join-n4-r6-s11,2,3,join,0,1,3,6,11,4,24
join-n4-r6-s23,2,3,join,0,1,3,6,23,4,24
join-n4-r6-s37,2,3,join,0,1,3,6,37,4,24
join-n4-r6-s53,2,3,join,0,1,3,6,53,4,24
join-n4-r6-s71,2,3,join,0,1,3,6,71,4,24
join-n8-r6-s11,2,7,join,0,1,7,6,11,8,48
join-n8-r6-s23,2,7,join,0,1,7,6,23,8,48
join-n8-r6-s37,2,7,join,0,1,7,6,37,8,48
join-n8-r6-s53,2,7,join,0,1,7,6,53,8,48
join-n8-r6-s71,2,7,join,0,1,7,6,71,8,48
join-n16-r6-s11,2,15,join,0,1,15,6,11,16,96
join-n16-r6-s23,2,15,join,0,1,15,6,23,16,96
join-n16-r6-s37,2,15,join,0,1,15,6,37,16,96
join-n16-r6-s53,2,15,join,0,1,15,6,53,16,96
join-n16-r6-s71,2,15,join,0,1,15,6,71,16,96
dag-n2-r6-s11,2,1,dag,0,0,1,6,11,2,12
dag-n2-r6-s23,2,1,dag,0,0,1,6,23,2,12
dag-n2-r6-s37,2,1,dag,0,0,1,6,37,2,12
dag-n2-r6-s53,2,1,dag,0,0,1,6,53,2,12
dag-n2-r6-s71,2,1,dag,0,0,1,6,71,2,12
dag-n4-r6-s11,4,4,dag,1,1,1,6,11,4,24
dag-n4-r6-s23,4,4,dag,1,1,1,6,23,4,24
dag-n4-r6-s37,4,4,dag,1,1,1,6,37,4,24
dag-n4-r6-s53,4,4,dag,1,1,1,6,53,4,24
dag-n4-r6-s71,4,4,dag,1,1,1,6,71,4,24
dag-n8-r6-s11,8,9,dag,2,2,1,6,11,8,48
dag-n8-r6-s23,8,9,dag,2,2,1,6,23,8,48
dag-n8-r6-s37,8,9,dag,2,2,1,6,37,8,48
dag-n8-r6-s53,8,9,dag,2,2,1,6,53,8,48
dag-n8-r6-s71,8,9,dag,2,2,1,6,71,8,48
dag-n16-r6-s11,16,20,dag,5,5,1,6,11,16,96
dag-n16-r6-s23,16,20,dag,5,5,1,6,23,16,96
dag-n16-r6-s37,16,20,dag,5,5,1,6,37,16,96
dag-n16-r6-s53,16,20,dag,5,5,1,6,53,16,96
dag-n16-r6-s71,16,20,dag,5,5,1,6,71,16,96
