case_id,event_sequence,record_id,relevant,task_id
parallel-n2-r6-s11,115,t0:record:0,0,t0
parallel-n2-r6-s11,5,t1:record:0,1,t1
parallel-n2-r6-s11,6,t0:record:1,0,t0
parallel-n2-r6-s11,7,t1:record:1,0,t1
parallel-n2-r6-s11,8,t0:record:2,0,t0
parallel-n2-r6-s11,9,t1:record:2,0,t1
parallel-n2-r6-s11,10,t1:record:3,0,t1
parallel-n2-r6-s11,11,t0:record:3,0,t0
parallel-n2-r6-s11,12,t1:record:4,0,t1
parallel-n2-r6-s11,13,t0:record:4,0,t0
parallel-n2-r6-s11,14,t0:record:5,0,t0
parallel-n2-r6-s11,15,t1:record:5,0,t1
parallel-n2-r6-s23,115,t0:record:0,0,t0
parallel-n2-r6-s23,5,t1:record:0,1,t1
parallel-n2-r6-s23,6,t1:record:1,0,t1
parallel-n2-r6-s23,7,t0:record:1,0,t0
parallel-n2-r6-s23,8,t1:record:2,0,t1
parallel-n2-r6-s23,9,t0:record:2,0,t0
parallel-n2-r6-s23,10,t0:record:3,0,t0
parallel-n2-r6-s23,11,t1:record:3,0,t1
parallel-n2-r6-s23,12,t0:record:4,0,t0
parallel-n2-r6-s23,13,t1:record:4,0,t1
parallel-n2-r6-s23,14,t0:record:5,0,t0
parallel-n2-r6-s23,15,t1:record:5,0,t1
parallel-n2-r6-s37,4,t1:record:0,1,t1
parallel-n2-r6-s37,115,t0:record:0,0,t0
parallel-n2-r6-s37,6,t1:record:1,0,t1
parallel-n2-r6-s37,7,t0:record:1,0,t0
parallel-n2-r6-s37,8,t0:record:2,0,t0
parallel-n2-r6-s37,9,t1:record:2,0,t1
parallel-n2-r6-s37,10,t0:record:3,0,t0
parallel-n2-r6-s37,11,t1:record:3,0,t1
parallel-n2-r6-s37,12,t1:record:4,0,t1
parallel-n2-r6-s37,13,t0:record:4,0,t0
parallel-n2-r6-s37,14,t0:record:5,0,t0
parallel-n2-r6-s37,15,t1:record:5,0,t1
parallel-n2-r6-s53,4,t1:record:0,1,t1
parallel-n2-r6-s53,115,t0:record:0,0,t0
parallel-n2-r6-s53,6,t0:record:1,0,t0
parallel-n2-r6-s53,7,t1:record:1,0,t1
parallel-n2-r6-s53,8,t0:record:2,0,t0
parallel-n2-r6-s53,9,t1:record:2,0,t1
parallel-n2-r6-s53,10,t0:record:3,0,t0
parallel-n2-r6-s53,11,t1:record:3,0,t1
parallel-n2-r6-s53,12,t0:record:4,0,t0
parallel-n2-r6-s53,13,t1:record:4,0,t1
parallel-n2-r6-s53,14,t1:record:5,0,t1
parallel-n2-r6-s53,15,t0:record:5,0,t0
parallel-n2-r6-s71,115,t0:record:0,0,t0
parallel-n2-r6-s71,5,t1:record:0,1,t1
parallel-n2-r6-s71,6,t1:record:1,0,t1
parallel-n2-r6-s71,7,t0:record:1,0,t0
parallel-n2-r6-s71,8,t0:record:2,0,t0
parallel-n2-r6-s71,9,t1:record:2,0,t1
parallel-n2-r6-s71,10,t1:record:3,0,t1
parallel-n2-r6-s71,11,t0:record:3,0,t0
parallel-n2-r6-s71,12,t1:record:4,0,t1
parallel-n2-r6-s71,13,t0:record:4,0,t0
parallel-n2-r6-s71,14,t0:record:5,0,t0
parallel-n2-r6-s71,15,t1:record:5,0,t1
parallel-n4-r6-s11,6,t0:record:0,0,t0
parallel-n4-r6-s11,7,t1:record:0,0,t1
parallel-n4-r6-s11,129,t2:record:0,0,t2
parallel-n4-r6-s11,9,t3:record:0,1,t3
parallel-n4-r6-s11,10,t1:record:1,0,t1
parallel-n4-r6-s11,11,t0:record:1,0,t0
parallel-n4-r6-s11,12,t2:record:1,0,t2
parallel-n4-r6-s11,13,t3:record:1,0,t3
parallel-n4-r6-s11,14,t0:record:2,0,t0
parallel-n4-r6-s11,15,t3:record:2,0,t3
parallel-n4-r6-s11,16,t2:record:2,0,t2
parallel-n4-r6-s11,17,t1:record:2,0,t1
parallel-n4-r6-s11,18,t2:record:3,0,t2
parallel-n4-r6-s11,19,t3:record:3,0,t3
parallel-n4-r6-s11,20,t0:record:3,0,t0
parallel-n4-r6-s11,21,t1:record:3,0,t1
parallel-n4-r6-s11,22,t1:record:4,0,t1
parallel-n4-r6-s11,23,t3:record:4,0,t3
parallel-n4-r6-s11,24,t0:record:4,0,t0
parallel-n4-r6-s11,25,t2:record:4,0,t2
parallel-n4-r6-s11,26,t3:record:5,0,t3
parallel-n4-r6-s11,27,t1:record:5,0,t1
parallel-n4-r6-s11,28,t2:record:5,0,t2
parallel-n4-r6-s11,29,t0:record:5,0,t0
parallel-n4-r6-s23,6,t1:record:0,0,t1
parallel-n4-r6-s23,7,t3:record:0,1,t3
parallel-n4-r6-s23,8,t0:record:0,0,t0
parallel-n4-r6-s23,129,t2:record:0,0,t2
parallel-n4-r6-s23,10,t0:record:1,0,t0
