case_id,downstream_record_recall,edge_f1,edge_precision,edge_recall,family,generated_tokens,generation_seconds,mode,model,model_calls,parse_failure,protocol,response,revision,seed,task_count_error,task_precision,task_recall,validation_failure
atomic-n1-r3-s11,1.0,1.0,1.0,1.0,atomic,48,8.614424400031567,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
atomic-n1-r3-s23,1.0,1.0,1.0,1.0,atomic,48,8.438979499973357,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
atomic-n1-r3-s37,1.0,1.0,1.0,1.0,atomic,48,8.864519499940798,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
atomic-n1-r3-s53,1.0,1.0,1.0,1.0,atomic,48,7.948761099949479,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
atomic-n1-r3-s71,1.0,1.0,1.0,1.0,atomic,48,8.361233899835497,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
linear-n4-r3-s11,1.0,1.0,1.0,1.0,linear,165,28.868624299997464,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
linear-n4-r3-s23,1.0,1.0,1.0,1.0,linear,165,28.37596289999783,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
linear-n4-r3-s37,1.0,1.0,1.0,1.0,linear,165,28.032567899907008,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
linear-n4-r3-s53,1.0,1.0,1.0,1.0,linear,165,28.571596099995077,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0
linear-n4-r3-s71,1.0,1.0,1.0,1.0,linear,165,29.622782099992037,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 after t0."",
      ""depends_on"": [""t0""]
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 after t1."",
      ""depends_on"": [""t1""]
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 after t2."",
      ""depends_on"": [""t2""]
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0
parallel-n4-r3-s11,1.0,1.0,1.0,1.0,parallel,150,26.404976999852806,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0
parallel-n4-r3-s23,1.0,1.0,1.0,1.0,parallel,150,25.881711599882692,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0
parallel-n4-r3-s37,1.0,1.0,1.0,1.0,parallel,150,25.825000300072134,preflight_json,Qwen/Qwen3-0.6B,1,0,paper8-task-management-roadmap-v1,"```json
{
  ""tasks"": [
    {
      ""task_id"": ""t0"",
      ""description"": ""Resolve shared project status for scope t0 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t1"",
      ""description"": ""Resolve shared project status for scope t1 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t2"",
      ""description"": ""Resolve shared project status for scope t2 independently."",
      ""depends_on"": []
    },
    {
      ""task_id"": ""t3"",
      ""description"": ""Resolve shared project status for scope t3 independently."",
      ""depends_on"": []
    }
  ]
}
```",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0
