case_id,downstream_record_recall,edge_f1,edge_precision,edge_recall,family,generated_tokens,generation_seconds,mode,model,model_calls,not_applicable_mutation,parse_failure,protocol,response,revision,seed,task_count_error,task_precision,task_recall,validation_failure,schema_placeholder_repaired
atomic-n1-r3-s11,1.0,1.0,1.0,1.0,atomic,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0,
atomic-n1-r3-s23,1.0,1.0,1.0,1.0,atomic,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0,
atomic-n1-r3-s37,1.0,1.0,1.0,1.0,atomic,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0,
atomic-n1-r3-s53,1.0,1.0,1.0,1.0,atomic,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0,
atomic-n1-r3-s71,1.0,1.0,1.0,1.0,atomic,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0,
linear-n4-r3-s11,1.0,1.0,1.0,1.0,linear,39,7.250509199919179,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0,0
linear-n4-r3-s23,1.0,1.0,1.0,1.0,linear,39,6.521921799983829,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0,0
linear-n4-r3-s37,1.0,1.0,1.0,1.0,linear,39,6.448579099960625,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0,0
linear-n4-r3-s53,1.0,1.0,1.0,1.0,linear,39,6.603752900147811,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0,0
linear-n4-r3-s71,1.0,1.0,1.0,1.0,linear,39,6.793174999998882,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0,0
parallel-n4-r3-s11,1.0,1.0,1.0,1.0,parallel,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0,
parallel-n4-r3-s23,1.0,1.0,1.0,1.0,parallel,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0,
parallel-n4-r3-s37,1.0,1.0,1.0,1.0,parallel,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0,
