partition,dataset,example_id,seed,root_mode,root_parent,entry_facet,root_available,K_search,B_ceiling,B_label,theta_edge,theta_goal,max_hops,strategy,different_facet_goal,goal_triggered,goal_correct,false_goal,goal_precision,terminal_parent,terminal_facet,terminal_classification,terminal_text,question,path,path_depth,stop_reason,visited,visited_count,frontier_size,nodes_expanded,raw_proposals,edge_admitted_candidates,duplicate_proposals,cycles_prevented,peak_frontier,goal_tests,goal_comparisons,adjacency_lookup_comparisons,native_dot_products,oracle_parent,oracle_recall,oracle_precision,complete_oracle,later_oracle_recall,chain_complete,search_seconds,goal_test_seconds,cpu_dedup_seconds,root_routing_seconds,graph_index_build_seconds,total_routing_seconds,candidate_tensor_bytes,logical_reference_tokens,logical_parent_count,conceptual_active_parent_count,conceptual_active_parent_fraction,materialized_parent_count,materialized_native_kv_tokens,active_native_kv_fraction,native_kv_bytes,peak_active_parent_count,query_facet_count,query_support_tokens,cpu_reference_cache_bytes,adjacency_cache_bytes,goal_cache_bytes,routing_cache_bytes,h2d_transfer_bytes,h2d_transfer_seconds,prep_baseline_gpu_allocated_bytes,prep_peak_gpu_allocated_bytes,prep_peak_gpu_reserved_bytes,search_peak_gpu_allocated_bytes,search_peak_gpu_reserved_bytes,active_kv_tokens,generation_performed,tpot,theta_edge_label,theta_goal_label,condition_id,root_count_requested
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.20450392365455627,4,breadth_first,False,1.0,0.0,1.0,0.0,3,2,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0006517000147141516,0.00013379997108131647,4.600035026669502e-06,0.03345319995423779,0.5042230000253767,0.5383278999943286,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q50,K11_Bnone_Eq25_Gq50_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.1091669201850891,4,breadth_first,False,1.0,0.0,1.0,0.0,3,2,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0003426999901421368,7.22000258974731e-05,3.700028173625469e-06,0.03345319995423779,0.5042230000253767,0.5380188999697566,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q65,K11_Bnone_Eq25_Gq65_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.036633387207984924,4,breadth_first,False,1.0,1.0,0.0,1.0,4,7,oracle_evidence,[source token span 1024:1217],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 4]",1,goal,"[2, 3, 0, 4]",4,1,1,4,3,0,0,1,3,54,4,23697424,"[2, 4]",1.0,0.5,1.0,1.0,1.0,0.00047779997112229466,0.00020290003158152103,3.8000289350748062e-06,0.03345319995423779,0.5042230000253767,0.5381539999507368,112,1217,5,4,0.8,0,0,0.0,0,4,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q75,K11_Bnone_Eq25_Gq75_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.04641332477331157,4,breadth_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0014807999832555652,0.0002576999831944704,5.699985194951296e-06,0.03345319995423779,0.5042230000253767,0.53915699996287,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q85,K11_Bnone_Eq25_Gq85_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.09909437894821181,4,breadth_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0016308999620378017,0.00025949999690055847,5.900044925510883e-06,0.03345319995423779,0.5042230000253767,0.5393070999416523,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q90,K11_Bnone_Eq25_Gq90_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.17289698421955102,4,breadth_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0017511000041849911,0.00030509999487549067,6.199989002197981e-06,0.03345319995423779,0.5042230000253767,0.5394272999837995,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q95,K11_Bnone_Eq25_Gq95_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,,4,breadth_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0019998999778181314,0.0003052999381907284,6.8999361246824265e-06,0.03345319995423779,0.5042230000253767,0.5396760999574326,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,closed,K11_Bnone_Eq25_Gclosed_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.20450392365455627,4,best_first,False,1.0,0.0,1.0,0.0,3,2,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0007524000247940421,0.00014910002937540412,6.499991286545992e-06,0.03345319995423779,0.5042230000253767,0.5384286000044085,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q50,K11_Bnone_Eq25_Gq50_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.1091669201850891,4,best_first,False,1.0,0.0,1.0,0.0,3,2,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0005166999762877822,9.579997276887298e-05,4.800036549568176e-06,0.03345319995423779,0.5042230000253767,0.5381928999559022,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q65,K11_Bnone_Eq25_Gq65_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.036633387207984924,4,best_first,False,1.0,1.0,0.0,1.0,4,7,oracle_evidence,[source token span 1024:1217],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 4]",1,goal,"[2, 3, 0, 4]",4,1,1,4,3,0,0,1,3,54,4,23697424,"[2, 4]",1.0,0.5,1.0,1.0,1.0,0.0006069000228308141,0.000248399970587343,4.699977580457926e-06,0.03345319995423779,0.5042230000253767,0.5382831000024453,112,1217,5,4,0.8,0,0,0.0,0,4,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q75,K11_Bnone_Eq25_Gq75_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.04641332477331157,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0012441999861039221,0.0003436999977566302,7.100054062902927e-06,0.03345319995423779,0.5042230000253767,0.5389203999657184,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q85,K11_Bnone_Eq25_Gq85_H4_best_first_goal_calibration,1
