record_type,dataset,stage,policy,examples,top1_accuracy,ci_low,ci_high,validation_consistency_threshold,perturbation,channel,target_recovery,wrong_target_recovery,wrong_target_confidence,threshold,retained,rejected,coverage,precision,recall,wrong_rejected,correct_rejected
natural_consistency_gate,qasper,root,lexical_confidence_alone,16,0.125,0.0,0.3125,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,qasper,root,semantic_confidence_alone,16,0.0625,0.0,0.1875,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,qasper,root,consistency_gated_lexical,16,0.125,0.0,0.3125,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,qasper,root,static_fusion,16,0.0625,0.0,0.1875,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,root,lexical_confidence_alone,16,0.1875,0.0,0.375,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,root,semantic_confidence_alone,16,0.0625,0.0,0.1875,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,root,consistency_gated_lexical,16,0.1875,0.0,0.375,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,root,static_fusion,16,0.0,0.0,0.0,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,root,lexical_confidence_alone,24,0.08333333333333333,0.0,0.20833333333333334,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,root,semantic_confidence_alone,24,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,root,consistency_gated_lexical,24,0.08333333333333333,0.0,0.20833333333333334,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,root,static_fusion,24,0.041666666666666664,0.0,0.125,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,musique,root,lexical_confidence_alone,18,0.1111111111111111,0.0,0.2777777777777778,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,musique,root,semantic_confidence_alone,18,0.0,0.0,0.0,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,musique,root,consistency_gated_lexical,18,0.1111111111111111,0.0,0.2777777777777778,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,musique,root,static_fusion,18,0.1111111111111111,0.0,0.2777777777777778,0.8463781177997589,,,,,,,,,,,,,
natural_consistency_gate,qasper,successor,lexical_confidence_alone,16,0.125,0.0,0.3125,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,qasper,successor,semantic_confidence_alone,16,0.0625,0.0,0.1875,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,qasper,successor,consistency_gated_lexical,16,0.125,0.0,0.3125,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,qasper,successor,static_fusion,16,0.125,0.0,0.3125,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,successor,lexical_confidence_alone,16,0.125,0.0,0.3125,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,successor,semantic_confidence_alone,16,0.3125,0.125,0.5625,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,hotpotqa,successor,consistency_gated_lexical,16,0.0625,0.0,0.1875,0.9323502480983734,,,,,,,,,,,,,
