case_id,condition,selected_record_correct,answer_token_present,minimal_semantic_interval_covered,full_record_covered,answer_correct
linear_dependency-medium-s23,NATIVE_W512_LATE_ONLY,1,1,1,1,0
linear_dependency-medium-s23,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
linear_dependency-medium-s23,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
linear_dependency-medium-s23,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
linear_dependency-medium-s23,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
join-medium-s37,NATIVE_W32_LATE_ONLY,1,1,1,1,0
join-medium-s37,NATIVE_W64_LATE_ONLY,1,1,1,1,0
join-medium-s37,NATIVE_W128_LATE_ONLY,1,1,1,1,0
join-medium-s37,NATIVE_W256_LATE_ONLY,1,1,1,1,0
join-medium-s37,NATIVE_W512_LATE_ONLY,1,1,1,1,0
join-medium-s37,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
join-medium-s37,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
join-medium-s37,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
join-medium-s37,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
resumption-medium-s53,NATIVE_W32_LATE_ONLY,1,1,1,1,0
resumption-medium-s53,NATIVE_W64_LATE_ONLY,1,1,1,1,0
resumption-medium-s53,NATIVE_W128_LATE_ONLY,1,1,1,1,0
resumption-medium-s53,NATIVE_W256_LATE_ONLY,1,1,1,1,0
resumption-medium-s53,NATIVE_W512_LATE_ONLY,1,1,1,1,0
resumption-medium-s53,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
resumption-medium-s53,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
resumption-medium-s53,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
resumption-medium-s53,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W32_LATE_ONLY,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W64_LATE_ONLY,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W128_LATE_ONLY,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W256_LATE_ONLY,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W512_LATE_ONLY,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
conflicting_state-medium-s71,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W32_LATE_ONLY,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W64_LATE_ONLY,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W128_LATE_ONLY,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W256_LATE_ONLY,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W512_LATE_ONLY,1,1,1,1,0
independent_parallel-high-s11,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
independent_parallel-high-s11,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
independent_parallel-high-s11,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W32_LATE_ONLY,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W64_LATE_ONLY,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W128_LATE_ONLY,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W256_LATE_ONLY,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W512_LATE_ONLY,1,1,1,1,0
linear_dependency-high-s23,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
linear_dependency-high-s23,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
linear_dependency-high-s23,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
join-high-s37,NATIVE_W32_LATE_ONLY,1,0,0,0,0
join-high-s37,NATIVE_W64_LATE_ONLY,1,1,1,1,0
join-high-s37,NATIVE_W128_LATE_ONLY,1,1,1,1,0
join-high-s37,NATIVE_W256_LATE_ONLY,1,1,1,1,0
join-high-s37,NATIVE_W512_LATE_ONLY,1,1,1,1,0
join-high-s37,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
join-high-s37,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
join-high-s37,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
join-high-s37,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
resumption-high-s53,NATIVE_W32_LATE_ONLY,1,1,1,1,0
resumption-high-s53,NATIVE_W64_LATE_ONLY,1,1,1,1,0
resumption-high-s53,NATIVE_W128_LATE_ONLY,1,1,1,1,0
resumption-high-s53,NATIVE_W256_LATE_ONLY,1,1,1,1,0
resumption-high-s53,NATIVE_W512_LATE_ONLY,1,1,1,1,0
resumption-high-s53,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
resumption-high-s53,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
resumption-high-s53,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
resumption-high-s53,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W32_LATE_ONLY,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W64_LATE_ONLY,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W128_LATE_ONLY,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W256_LATE_ONLY,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W512_LATE_ONLY,1,1,1,1,0
conflicting_state-high-s71,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W128_SPARSE_MULTI,1,1,1,1,0
conflicting_state-high-s71,NATIVE_W256_SPARSE_MULTI,1,1,1,1,0
conflicting_state-high-s71,NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,1,1,1,1,0
