active_native_tokens,answer_bearing_chunk_selected,answer_correct,answer_token_present,case_id,condition,confusability,constraint_violation,consumption_depth,consumption_layers,contextually_sufficient_evidence,format_compliant,frozen_selection_digest,full_record_covered,generated_text,generation_seconds,minimal_semantic_interval_covered,prompt_tokens,protocol,requested_native_tokens,required_evidence_use,resident_detail_kv_bytes,routing_frozen,scenario,seed,selected_intervals,selected_record_correct,target_span_tokens,unique_materialized_native_tokens
51,1,0,1,independent_parallel-low-s11,NATIVE_W32_LATE_ONLY,low,0,late_only,[27],1,1,a326d9914ba229ef,1,ANSWER= 1=<102587878789954545,5.015043399995193,1,70,paper8-native-consumption-geometry-v1,51,0.0,208896,1,independent_parallel,11,1,1,32,51
51,1,0,1,independent_parallel-low-s11,NATIVE_W64_LATE_ONLY,low,0,late_only,[27],1,1,a326d9914ba229ef,1,ANSWER= 1=<102587878789954545,4.664835999952629,1,70,paper8-native-consumption-geometry-v1,51,0.0,208896,1,independent_parallel,11,1,1,64,51
51,1,0,1,independent_parallel-low-s11,NATIVE_W128_LATE_ONLY,low,0,late_only,[27],1,1,a326d9914ba229ef,1,ANSWER= 1=<102587878789954545,4.237810499966145,1,70,paper8-native-consumption-geometry-v1,51,0.0,208896,1,independent_parallel,11,1,1,128,51
51,1,0,1,independent_parallel-low-s11,NATIVE_W256_LATE_ONLY,low,0,late_only,[27],1,1,a326d9914ba229ef,1,ANSWER= 1=<102587878789954545,4.7644103998318315,1,70,paper8-native-consumption-geometry-v1,51,0.0,208896,1,independent_parallel,11,1,1,256,51
51,1,0,1,independent_parallel-low-s11,NATIVE_W512_LATE_ONLY,low,0,late_only,[27],1,1,a326d9914ba229ef,1,ANSWER= 1=<102587878789954545,4.860372300026938,1,70,paper8-native-consumption-geometry-v1,51,0.0,208896,1,independent_parallel,11,1,1,512,51
51,1,0,1,independent_parallel-low-s11,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,low,0,late_only,[27],1,1,a326d9914ba229ef,1,ANSWER= 1=<102587878789954545,4.198476699879393,1,70,paper8-native-consumption-geometry-v1,51,0.0,208896,1,independent_parallel,11,1,1,full,51
86,1,0,1,linear_dependency-low-s23,NATIVE_W32_LATE_ONLY,low,0,late_only,[27],1,1,cf959fbc84ea0e95,1,ANSWER= Resolve legal filing for scope t7,2.0705037000589073,1,76,paper8-native-consumption-geometry-v1,86,0.0,352256,1,linear_dependency,23,2,1,32,86
86,1,0,1,linear_dependency-low-s23,NATIVE_W64_LATE_ONLY,low,0,late_only,[27],1,1,cf959fbc84ea0e95,1,ANSWER= Resolve legal filing for scope t7,2.144546299939975,1,76,paper8-native-consumption-geometry-v1,86,0.0,352256,1,linear_dependency,23,2,1,64,86
86,1,0,1,linear_dependency-low-s23,NATIVE_W128_LATE_ONLY,low,0,late_only,[27],1,1,cf959fbc84ea0e95,1,ANSWER= Resolve legal filing for scope t7,2.2279106001369655,1,76,paper8-native-consumption-geometry-v1,86,0.0,352256,1,linear_dependency,23,2,1,128,86
86,1,0,1,linear_dependency-low-s23,NATIVE_W256_LATE_ONLY,low,0,late_only,[27],1,1,cf959fbc84ea0e95,1,ANSWER= Resolve legal filing for scope t7,1.8526714001782238,1,76,paper8-native-consumption-geometry-v1,86,0.0,352256,1,linear_dependency,23,2,1,256,86
86,1,0,1,linear_dependency-low-s23,NATIVE_W512_LATE_ONLY,low,0,late_only,[27],1,1,cf959fbc84ea0e95,1,ANSWER= Resolve legal filing for scope t7,2.253674100153148,1,76,paper8-native-consumption-geometry-v1,86,0.0,352256,1,linear_dependency,23,2,1,512,86
86,1,0,1,linear_dependency-low-s23,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,low,0,late_only,[27],1,1,cf959fbc84ea0e95,1,ANSWER= Resolve legal filing for scope t7,2.8087702998891473,1,76,paper8-native-consumption-geometry-v1,86,0.0,352256,1,linear_dependency,23,2,1,full,86
169,1,0,1,join-low-s37,NATIVE_W32_LATE_ONLY,low,0,late_only,[27],1,1,4480c639939e21a5,1,ANSWER= Resolve legal filing for scope t7,2.1848245000001043,1,76,paper8-native-consumption-geometry-v1,169,0.0,692224,1,join,37,4,1,32,169
169,1,0,1,join-low-s37,NATIVE_W64_LATE_ONLY,low,0,late_only,[27],1,1,4480c639939e21a5,1,ANSWER= Resolve legal filing for scope t7,2.2264161000493914,1,76,paper8-native-consumption-geometry-v1,169,0.0,692224,1,join,37,4,1,64,169
169,1,0,1,join-low-s37,NATIVE_W128_LATE_ONLY,low,0,late_only,[27],1,1,4480c639939e21a5,1,ANSWER= Resolve legal filing for scope t7,2.442975400015712,1,76,paper8-native-consumption-geometry-v1,169,0.0,692224,1,join,37,4,1,128,169
