active_native_tokens,answer_correct,case_id,condition,confusability,constraint_violation,evidence_available,evidence_materialized,evidence_selected,format_compliant,generated_text,generation_seconds,materialization_seconds,oracle_task_graph,prompt_tokens,protocol,required_evidence_use,routing_seconds,scenario,seed,candidate_native_tokens,candidate_records,cross_task_contamination,index_seconds,materialized_bytes,post_materialization_resident_detail_kv_bytes,post_materialization_routing_index_bytes,query_encoding_seconds,requested_native_tokens,required_record_recall,required_records,resident_detail_kv_bytes,router,routing_index_bytes,scope_policy,selected_chunks,selected_records,top_k,consumption_mode
0,0,independent_parallel-low-s11,FULL_SESSION,low,0,1,1,1,1,ANSWER=safron,2.8642663001082838,0.0,1,537,paper8-production-pra-oracle-scope-v1,0.0,0.0,independent_parallel,11,,,,,,,,,,,,,,,,,,,
0,0,independent_parallel-low-s11,FULL_TASK_SCOPE,low,0,1,1,1,1,ANSWER=safrond,1.4045688000041991,0.0,1,141,paper8-production-pra-oracle-scope-v1,0.0,0.0,independent_parallel,11,,,,,,,,,,,,,,,,,,,
0,0,independent_parallel-low-s11,COMPACT_ONLY,low,1,0,1,1,1,ANSWER=pearl,1.676731799961999,0.0,1,518,paper8-production-pra-oracle-scope-v1,0.0,0.0,independent_parallel,11,,,,,,,,,,,,,,,,,,,
211,0,independent_parallel-low-s11,PRA_SESSION,low,0,1,1,1,1,ANSWER= 1=<102788789975454575,4.614445600192994,3.859073800034821,1,70,paper8-production-pra-oracle-scope-v1,0.0,0.34385339985601604,independent_parallel,11,411,8,0.75,1.8296326000709087,3626,10416128,172032,0.1767184000927955,211,1.0,1,1683456,paper7_native_hybrid,32768,session,8,4,8,
59,0,independent_parallel-low-s11,PRA_TASK_LOCAL,low,0,1,1,1,1,ANSWER= 1=<102587878789954545,4.709168100031093,0.980657400097698,1,70,paper8-production-pra-oracle-scope-v1,0.0,0.08550720009952784,independent_parallel,11,59,1,0.0,0.3090762000065297,927,2510848,40960,0.21233109990134835,59,1.0,1,241664,paper7_native_hybrid,4096,task_local,2,1,8,
59,0,independent_parallel-low-s11,PRA_TASK_STRUCT,low,0,1,1,1,1,ANSWER= 1=<102587878789954545,4.227566099958494,0.9629001000430435,1,70,paper8-production-pra-oracle-scope-v1,0.0,0.10548519995063543,independent_parallel,11,59,1,0.0,0.22013279981911182,927,2465792,38912,0.1492731999605894,59,1.0,1,241664,paper7_native_hybrid,4096,task_structural,2,1,8,
0,0,independent_parallel-low-s11,PRA_SESSION_VISIBLE,low,1,1,1,1,1,ANSWER=onyx,1.7135813999921083,3.870901299873367,1,408,paper8-production-pra-oracle-scope-v1,0.0,0.2210464000236243,independent_parallel,11,411,8,0.75,1.6632022999692708,3626,10416128,172032,0.18169660004787147,211,1.0,1,1683456,paper7_native_hybrid,32768,session,8,4,8,typed_selected_detail
0,0,independent_parallel-low-s11,PRA_TASK_LOCAL_VISIBLE,low,0,1,1,1,1,ANSWER=safrond,1.3183284001424909,1.0276798999402672,1,164,paper8-production-pra-oracle-scope-v1,0.0,0.09662109985947609,independent_parallel,11,59,1,0.0,0.2412556998897344,927,2510848,40960,0.1833775001578033,59,1.0,1,241664,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,0,independent_parallel-low-s11,PRA_TASK_STRUCT_VISIBLE,low,0,1,1,1,1,ANSWER=safrond,1.5245234000030905,0.9552742999512702,1,164,paper8-production-pra-oracle-scope-v1,0.0,0.09214859991334379,independent_parallel,11,59,1,0.0,0.20993339992128313,927,2465792,38912,0.1649034998845309,59,1.0,1,241664,paper7_native_hybrid,4096,task_structural,2,1,8,typed_selected_detail
0,0,linear_dependency-low-s23,FULL_SESSION,low,1,1,1,1,1,ANSWER=+yellow+zenith+acorn+beacon+canyon+drift+elm,5.205202700104564,0.0,1,540,paper8-production-pra-oracle-scope-v1,1.0,0.0,linear_dependency,23,,,,,,,,,,,,,,,,,,,
0,1,linear_dependency-low-s23,FULL_TASK_SCOPE,low,0,1,1,1,1,ANSWER=+drift+elm,1.8747964000795037,0.0,1,197,paper8-production-pra-oracle-scope-v1,1.0,0.0,linear_dependency,23,,,,,,,,,,,,,,,,,,,
0,0,linear_dependency-low-s23,COMPACT_ONLY,low,0,0,1,1,1,"ANSWER=Task t7. Resolve legal filing for scope t7. Return every required code in dependency order, joined",5.26784439990297,0.0,1,525,paper8-production-pra-oracle-scope-v1,0.0,0.0,linear_dependency,23,,,,,,,,,,,,,,,,,,,
230,0,linear_dependency-low-s23,PRA_SESSION,low,0,1,1,1,1,ANSWER= Resolve legal filing for scope t7,2.241656699916348,4.828443999867886,1,76,paper8-production-pra-oracle-scope-v1,0.0,0.27854719990864396,linear_dependency,23,408,8,0.6666666666666666,1.575482500018552,4161,11530240,192512,0.12279659998603165,230,1.0,2,1671168,paper7_native_hybrid,32768,session,8,6,8,
57,0,linear_dependency-low-s23,PRA_TASK_LOCAL,low,0,0,0,0,1,ANSWER= Resolve legal filing for scope t7,2.6356121997814626,0.9834127000067383,1,76,paper8-production-pra-oracle-scope-v1,0.0,0.09758380008861423,linear_dependency,23,57,1,0.0,0.22664000000804663,926,2412544,38912,0.18012300017289817,57,0.5,2,233472,paper7_native_hybrid,4096,task_local,2,1,8,
102,0,linear_dependency-low-s23,PRA_TASK_STRUCT,low,0,1,1,1,1,ANSWER= Resolve legal filing for scope t7,2.1655198000371456,1.8964197000022978,1,76,paper8-production-pra-oracle-scope-v1,0.0,0.10395440016873181,linear_dependency,23,102,2,0.0,0.48929929989390075,1813,4820992,77824,0.1836834999267012,102,1.0,2,417792,paper7_native_hybrid,8192,task_structural,4,2,8,
0,0,linear_dependency-low-s23,PRA_SESSION_VISIBLE,low,1,1,1,1,1,ANSWER=elm + acorn + drift + xen + beacon,3.4341001000721008,5.016519699944183,1,432,paper8-production-pra-oracle-scope-v1,1.0,0.24211369990371168,linear_dependency,23,408,8,0.6666666666666666,1.799286900088191,4161,11530240,192512,0.19311270001344383,230,1.0,2,1671168,paper7_native_hybrid,32768,session,8,6,8,typed_selected_detail
0,0,linear_dependency-low-s23,PRA_TASK_LOCAL_VISIBLE,low,0,0,0,0,1,ANSWER=elm + t7,1.663882999913767,0.9666357999667525,1,169,paper8-production-pra-oracle-scope-v1,0.5,0.13777219993062317,linear_dependency,23,57,1,0.0,0.17123150010593235,926,2412544,38912,0.10380330006591976,57,0.5,2,233472,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,1,linear_dependency-low-s23,PRA_TASK_STRUCT_VISIBLE,low,0,1,1,1,1,ANSWER=elm+drift,1.749686500057578,1.9384139999747276,1,245,paper8-production-pra-oracle-scope-v1,1.0,0.10195029992610216,linear_dependency,23,102,2,0.0,0.46174669987522066,1813,4820992,77824,0.17796260002069175,102,1.0,2,417792,paper7_native_hybrid,8192,task_structural,4,2,8,typed_selected_detail
0,0,join-low-s37,FULL_SESSION,low,1,1,1,1,1,ANSWER=+legal-filing+scope=t7+verification_code=ember,3.7744283000938594,0.0,1,530,paper8-production-pra-oracle-scope-v1,0.0,0.0,join,37,,,,,,,,,,,,,,,,,,,
0,0,join-low-s37,FULL_TASK_SCOPE,low,1,1,1,1,1,ANSWER=+delta+ember,1.7332055000588298,0.0,1,304,paper8-production-pra-oracle-scope-v1,0.3333333333333333,0.0,join,37,,,,,,,,,,,,,,,,,,,
0,0,join-low-s37,COMPACT_ONLY,low,0,0,1,1,1,"ANSWER=Task t7. Resolve legal filing for scope t7. Return every required code in dependency order, joined",4.808288300177082,0.0,1,523,paper8-production-pra-oracle-scope-v1,0.0,0.0,join,37,,,,,,,,,,,,,,,,,,,
210,0,join-low-s37,PRA_SESSION,low,0,0,0,0,1,ANSWER= Resolve legal filing for scope t7,1.9559893000405282,4.46790080005303,1,76,paper8-production-pra-oracle-scope-v1,0.0,0.2593697998672724,join,37,406,8,0.6,1.821539199911058,3858,10866688,180224,0.14159290003590286,210,0.3333333333333333,3,1662976,paper7_native_hybrid,32768,session,8,5,8,
58,0,join-low-s37,PRA_TASK_LOCAL,low,0,0,0,0,1,ANSWER= Resolve legal filing for scope t7,1.7917543998919427,1.070989300031215,1,76,paper8-production-pra-oracle-scope-v1,0.0,0.11902970005758107,join,37,58,1,0.0,0.18360980018042028,933,2502656,40960,0.15106329997070134,58,0.0,3,237568,paper7_native_hybrid,4096,task_local,2,1,8,
