model,dataset,example_id,condition,adaptive_channel,controller_seed_channels,reference_answer,selected_chunk_ids,evidence_recall,precision,mrr,gold_token_logprobs,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,teacher_forced_seconds,direct_context_attention_mass,generated_answer,generation_seconds,em,f1,answer_contained,materialized_unique_tokens,native_kv_token_states,native_kv_bytes,active_kv_fraction,gold_logprob_delta_vs_disabled
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,semantic,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1248:1280|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=672:704|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=704:736|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=32:64,0.5,0.25,0.25,"[-8.636672973632812, -2.1993870735168457, -3.926090955734253, -0.787760853767395]",-15.549911499023438,-3.8874778747558594,0.0001774763222783804,88,0.4307911000214517,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were worked on by Walt Disney,3.3522103000432253,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,2.0589823722839355
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,exact,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=0:32|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1056:1088|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1088:1120|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1120:1152,0.5,0.25,1.0,"[-11.612951278686523, -2.249709129333496, -3.4186251163482666, -0.9775581359863281]",-18.25884246826172,-4.56471061706543,9.048138963407837e-06,391,0.16657330002635717,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were worked on by Walt Disney,1.8705901000648737,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,1.3817496299743652
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,bm25,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=928:960|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=256:288|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=64:96|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=96:128,0.5,0.5,0.3333333333333333,"[-13.877359390258789, -2.290343999862671, -5.068868637084961, -0.8691178560256958]",-22.105690002441406,-5.526422500610352,9.400246199220419e-07,1062,0.1695826998911798,,The creators of Mickey Mouse and Oswald the Lucky Rabbit were Walt Disney and Walt Disney,1.7599303999450058,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,0.42003774642944336
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,approximate,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=0:32|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1056:1088|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1024:1056|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1088:1120,0.5,0.25,1.0,"[-11.895979881286621, -2.2908241748809814, -3.528820514678955, -0.9452303647994995]",-18.66085433959961,-4.665213584899902,6.817757821409032e-06,495,0.16809590021148324,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were worked on by Walt Disney,1.7485913001000881,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,1.2812466621398926
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,hybrid,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=96:128|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=64:96|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=928:960|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=1248:1280,0.5,0.5,1.0,"[-13.40030574798584, -2.0916876792907715, -5.283862590789795, -1.0327746868133545]",-21.808629989624023,-5.452157497406006,1.5146803207244375e-06,648,0.16537160007283092,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were created by Walt Disney and,1.7298876999411732,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,0.49430274963378906
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,adaptive,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=928:960|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=256:288|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=64:96|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=96:128,0.5,0.5,0.3333333333333333,"[-13.877359390258789, -2.290343999862671, -5.068868637084961, -0.8691178560256958]",-22.105690002441406,-5.526422500610352,9.400246199220419e-07,1062,0.16552780009806156,,The creators of Mickey Mouse and Oswald the Lucky Rabbit were Walt Disney and Walt Disney,1.7301437999121845,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,0.42003774642944336
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,oracle,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=0:32|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=32:64|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=64:96|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=96:128,1.0,1.0,1.0,"[-7.639002799987793, -2.152987003326416, -3.2359111309051514, -1.104554295539856]",-14.132455825805664,-3.533113956451416,0.00048130829236470163,51,0.16732789995148778,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were worked on by Walt Disney,1.7310508999507874,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,2.413346290588379
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,disabled,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,,0.0,0.0,0.0,"[-16.39796257019043, -2.1146397590637207, -4.038185119628906, -1.235053539276123]",-23.78584098815918,-5.946460247039795,7.558842440857916e-08,2481,0.15023329993709922,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were worked on by Walt Disney,1.5572023999411613,0.0,0.0,0.0,0,0,0,0.0,0.0
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,shuffled,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=0:32|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=704:736|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=832:864|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=192:224,0.5,0.25,1.0,"[-12.616863250732422, -2.840421199798584, -3.8384792804718018, -0.9869682788848877]",-20.282732009887695,-5.070683002471924,3.3156279641843867e-06,722,0.16618709987960756,,The origins of Mickey Mouse and Oswald the Lucky Rabbit were worked on by Walt Disney,1.7813741997815669,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,0.8757772445678711
qwen3_0_6b,hotpotqa,5ac401bb55429919431738f4,irrelevant,bm25,bm25|bm25|bm25|bm25|bm25,Ub Iwerks,benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=128:160|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=160:192|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=192:224|benchmark://hotpotqa/5ac401bb55429919431738f4#chunk=224:256,0.0,0.0,0.0,"[-12.371793746948242, -2.7300591468811035, -3.734013557434082, -1.363294005393982]",-20.199161529541016,-5.049790382385254,4.236412223690422e-06,565,0.1684928999748081,,The creators of Mickey Mouse and Oswald the Lucky Rabbit were Walt Disney and Walt Disney,1.7136761997826397,0.0,0.0,0.0,128,512,1048576,0.09474463360473723,0.896669864654541
