interpretation,left_parameter,mutual_information_nats,observed_pairs,right_parameter
profile-label coupling; not a causal parameter interaction,query_region_policy,0.9290887733079707,3,facet_policy
profile-label coupling; not a causal parameter interaction,query_region_policy,0.9290887733079707,3,retained_roots
profile-label coupling; not a causal parameter interaction,query_region_policy,0.9290887733079707,3,neighbors
profile-label coupling; not a causal parameter interaction,query_region_policy,0.9290887733079707,3,hops
profile-label coupling; not a causal parameter interaction,query_region_policy,0.9290887733079707,3,conceptual_budget
profile-label coupling; not a causal parameter interaction,query_region_policy,0.9290887733079707,3,native_kv_budget
profile-label coupling; not a causal parameter interaction,facet_policy,0.9290887733079707,3,retained_roots
profile-label coupling; not a causal parameter interaction,facet_policy,0.9290887733079707,3,neighbors
profile-label coupling; not a causal parameter interaction,facet_policy,0.9290887733079707,3,hops
profile-label coupling; not a causal parameter interaction,facet_policy,0.9290887733079707,3,conceptual_budget
profile-label coupling; not a causal parameter interaction,facet_policy,0.9290887733079707,3,native_kv_budget
profile-label coupling; not a causal parameter interaction,retained_roots,0.9290887733079707,3,neighbors
profile-label coupling; not a causal parameter interaction,retained_roots,0.9290887733079707,3,hops
profile-label coupling; not a causal parameter interaction,retained_roots,0.9290887733079707,3,conceptual_budget
profile-label coupling; not a causal parameter interaction,retained_roots,0.9290887733079707,3,native_kv_budget
profile-label coupling; not a causal parameter interaction,neighbors,0.9290887733079707,3,hops
profile-label coupling; not a causal parameter interaction,neighbors,0.9290887733079707,3,conceptual_budget
profile-label coupling; not a causal parameter interaction,neighbors,0.9290887733079707,3,native_kv_budget
profile-label coupling; not a causal parameter interaction,hops,0.9290887733079707,3,conceptual_budget
profile-label coupling; not a causal parameter interaction,hops,0.9290887733079707,3,native_kv_budget
profile-label coupling; not a causal parameter interaction,conceptual_budget,0.9290887733079707,3,native_kv_budget
