dataset,example_id,condition,kind,question,answer,answer_tokens,prompt_tokens,generated_answer,generation_seconds,active_memory_kv_tokens,evidence_parent_chunks,evidence_guaranteed,chunks_budget_rejected,native_limit_violations,memory_attention_mass,evidence_attention_mass,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,teacher_forced_seconds,direct_context_attention_mass,em,f1,answer_contained,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none
hotpotqa,5adc3aff5542996e685252eb,no_memory,none,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,37,The star in the film *Up at,1.0864139999903273,0,0,False,0,0,,,-37.75213623046875,-7.550427436828613,0.001377216773107648,4,0.1525283000082709,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5adc3aff5542996e685252eb,learned_router,router,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,37,The star in the film *Up at,0.7515074000111781,96,4,False,0,0,0.4730249047279358,0.005521832499653101,-37.86082458496094,-7.572165012359619,0.0011229061055928469,5,0.18928660001256503,,0.0,0.0,0.0,-0.1086883544921875,-0.02173757553100586
hotpotqa,5adc3aff5542996e685252eb,oracle_last_1,oracle,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,37,The star in the film *Up at,0.7328506999765523,97,4,True,0,0,0.5457820892333984,0.1445702761411667,-38.110469818115234,-7.62209415435791,0.0009704490075819194,8,0.15374970002449118,,0.0,0.0,0.0,-0.3583335876464844,-0.07166671752929688
hotpotqa,5adc3aff5542996e685252eb,oracle_last_2,oracle,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,37,The star in the film *Up at,0.7568077000032645,194,4,True,0,0,0.5229743868112564,0.11129425466060638,-37.94089126586914,-7.5881781578063965,0.0005533262155950069,11,0.15797630001907237,,0.0,0.0,0.0,-0.18875503540039062,-0.0377507209777832
hotpotqa,5adc3aff5542996e685252eb,oracle_last_4,oracle,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,37,The star in the film *Up at,0.7913564000045881,388,4,True,0,0,0.5077321901917458,0.07779962383210659,-31.410869598388672,-6.282174110412598,0.004644747357815504,3,0.165584599977592,,0.0,0.0,0.0,6.341266632080078,1.2682533264160156
hotpotqa,5adc3aff5542996e685252eb,oracle_early_late,oracle,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,37,The star in the film *Up at,0.742061900004046,194,4,True,0,0,0.5692974030971527,0.21542111784219742,-42.776336669921875,-8.555267333984375,0.00017135674715973437,18,0.15805580001324415,,0.0,0.0,0.0,-5.024200439453125,-1.0048398971557617
hotpotqa,5adc3aff5542996e685252eb,direct_text_oracle,direct,What star in the film Up at the Villa has earned the title of knighthood?,Sir Derek George Jacobi,5,102,The star in the film Up at the,0.7513529999996535,0,0,True,0,0,,,-5.168008804321289,-1.0336017608642578,0.0060163759626448154,7,0.2208706999954302,0.016555221751332283,0.0,0.0,0.0,32.58412742614746,6.5168256759643555
hotpotqa,5ab56db7554299494045efc6,no_memory,none,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,39,Alfred is in the county of Maine,0.7033221999881789,0,0,False,0,0,,,-24.007061004638672,-12.003530502319336,3.8167059790428226e-11,3508,0.15160939999623224,,0.0,0.22222222222222224,0.0,0.0,0.0
hotpotqa,5ab56db7554299494045efc6,learned_router,router,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,39,Alfred is in the county of Maine,0.7489058999926783,96,4,False,0,0,0.6555870771408081,0.040654875338077545,-23.01703643798828,-11.50851821899414,1.0251863247212611e-10,2779,0.15971219999482855,,0.0,0.22222222222222224,0.0,0.9900245666503906,0.4950122833251953
hotpotqa,5ab56db7554299494045efc6,oracle_last_1,oracle,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,39,Alfred is in the county of Maine,0.7253999999957159,128,4,True,0,0,0.5395817756652832,0.49933117628097534,-22.988021850585938,-11.494010925292969,1.0543631245862883e-10,2745,0.1545027999964077,,0.0,0.22222222222222224,0.0,1.0190391540527344,0.5095195770263672
