dataset,example_id,partition,question,answer,question_type,annotated_hops,graph_type,annotated_nodes,annotated_edges,source_characters
musique,2hop__10017_18974,validation,Who led the military expedition in the province that borders Zhejiang to the south?,Chen Zheng,2hop,2,chain,2,1,10221
musique,2hop__10122_18974,validation,Who led the military expedition to where now Min dialects are spoken on border with Zhejiang?,Chen Zheng,2hop,2,chain,2,1,14088
musique,2hop__10515_21567,validation,Who introduced a system of musical notation in the 14th century that is used in the area where most of the invasion of the eastern Roman Empire took place?,John Kukuzelis,2hop,2,chain,2,1,15567
musique,2hop__10620_79092,validation,"The volcano, named after the legendary King featured in Historia Regum Britanniae, last erupted when?",lava samples have been dated at 341 to 335 million years old,2hop,2,chain,2,1,10477
musique,2hop__106864_80460,validation,What was the 2017 population of the country where Bedari was made?,207.77 million people,2hop,2,chain,2,1,8423
musique,2hop__107185_64006,validation,As a result of the black death it is estimated that the population of the country for Bâton à feu was reduced by how much?,30% to 65%,2hop,2,chain,2,1,16125
musique,2hop__10114_599630,test,Where in Zhejiang is the city where Protestants are especially notable?,Yongjia County,2hop,2,chain,2,1,12231
musique,2hop__103889_86452,test,"When did Burma change its name to the country of origin of Zaw Win Thet, that he represented at the 2012 Olympics?",1989,2hop,2,chain,2,1,8936
musique,2hop__104095_40501,test,How many refugees emigrated to the country that Clara Peeters is a citizen of?,"75,000 to 100,000",2hop,2,chain,2,1,12471
musique,2hop__104095_40502,test,Before this emigration what was the population of Clara Peeters's country of citizenship?,2 million,2hop,2,chain,2,1,9882
musique,2hop__10620_49084,test,Who plays the legendary figure featured in Historia Regum Britanniae in the show Once Upon a Time?,Liam Thomas Garrigan,2hop,2,chain,2,1,8838
musique,2hop__107238_64918,test,Who was president when congress declared war on the country where Glumpers was filmed?,President McKinley,2hop,2,chain,2,1,16555
musique,3hop1__102461_24918_24991,validation,What went down after the Soviet President visiting the the birth country of Andrey Dashkov while the protests were taking place departed from the Kremlin?,Soviet flag,3hop,3,chain,3,2,11932
musique,3hop1__103180_214799_259594,validation,What is the country of the border troops of the country of the literature of the country Wilfried Grobner was in?,GDR,3hop,3,chain,3,2,10826
musique,3hop1__103440_443779_52195,validation,Kiwil's birth country participated in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,3hop,3,chain,3,2,12157
musique,3hop1__102087_214799_259594,test,"What is the three letter abbreviation for the country, which maintains border troops, that claims Bernd Baumgart as a citizen?",GDR,3hop,3,chain,3,2,8631
musique,3hop1__103197_214799_259594,test,What country gas the border troops of the country of the literature of the country of Andreas Zülow's citizenship?,GDR,3hop,3,chain,3,2,8798
musique,3hop1__103254_214799_259594,test,What country had the Border Troops of the republic known for the literature of the country of citizenship of Ilona Richter?,GDR,3hop,3,chain,3,2,9046
musique,3hop2__101905_30152_20999,validation,How were the people that the Ajuran Empire declared independence from by minting coins expelled from David Htan's country?,The dynasty regrouped and defeated the Portuguese,3hop,3,convergent,3,2,12086
musique,3hop2__103871_20335_9331,validation,"What dissolved the privileges in Poland of the empire where Tamar Abakelia was from, the Kingdom that acquired some Thuringian territory in 1815, and the Habsburg Monarchy?",March Constitution of Poland,3hop,3,convergent,3,2,12824
musique,3hop2__103889_30152_20999,validation,How were the people that the Ajuran Empire declared independence from by minting coins expelled from Zaw Win Thet's country?,The dynasty regrouped and defeated the Portuguese,3hop,3,convergent,3,2,13133
