dataset,example_id,partition,question_type,annotated_hops,graph_type,seed,node_id,role,annotated_step,semantic_best_rank,lexical_rank,winning_facet,winning_scale,winning_token_start,winning_token_end,winning_question_offset,winning_decoded_span,target_score,best_distractor_score,oracle_margin,facet_count,score_seconds
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,11,0,root,1,1,2,1,1,10,11,0,Did,-0.13160037994384766,-0.1470712125301361,0.015470832586288452,42,0.02773410000372678
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,11,1,root,1,1,1,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.052551381289958954,-0.05062972754240036,0.10318110883235931,42,0.02773410000372678
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,23,0,root,1,1,2,7,1,16,17,6,Mind,0.24501848220825195,0.17007727921009064,0.07494120299816132,42,0.001832999987527728
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,23,1,root,1,1,1,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.37061887979507446,0.22038498520851135,0.1502338945865631,42,0.001832999987527728
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,37,0,root,1,1,2,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,-0.33510345220565796,-0.37924134731292725,0.04413789510726929,42,0.0016938999760895967
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,37,1,root,1,1,1,1,1,10,11,0,Did,-0.19289430975914001,-0.20606888830661774,0.013174578547477722,42,0.0016938999760895967
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,53,0,root,1,1,2,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.14646126329898834,0.07430940121412277,0.07215186208486557,42,0.0016410999814979732
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,53,1,root,1,1,1,1,1,10,11,0,Did,0.12065756320953369,0.05997755378484726,0.06068000942468643,42,0.0016410999814979732
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,71,0,root,1,1,2,0,global,31,32,21,Did Frederick Mulder and Earl Mindell have the same nationality?,0.1264725923538208,0.06647080928087234,0.060001783072948456,42,0.001854900037869811
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,comparison,1,independent,71,1,root,1,1,1,1,1,10,11,0,Did,0.19629351794719696,0.07998399436473846,0.1163095235824585,42,0.001854900037869811
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,11,0,root,1,4,1,20,1,29,30,19,?,-0.30461835861206055,-0.09455699473619461,-0.21006136387586594,75,0.0013287999900057912
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,11,1,root,1,2,2,9,1,18,19,8,ce,-0.1570415049791336,-0.12038327008485794,-0.036658234894275665,75,0.0013287999900057912
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,23,0,root,1,6,1,9,1,18,19,8,ce,-0.2391260266304016,-0.03731773421168327,-0.20180829241871834,75,0.002165100013371557
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,23,1,root,1,2,2,2,1,11,12,1,both,0.09647633135318756,0.1920868158340454,-0.09561048448085785,75,0.002165100013371557
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,37,0,root,1,5,1,9,1,18,19,8,ce,-0.22226549685001373,-0.05312696844339371,-0.16913852840662003,75,0.0018070000223815441
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,37,1,root,1,1,2,0,global,38,39,28,Are both Eastern Samar State University and Lyceum-Northwestern University located in the same country?,-0.5028750896453857,-0.529899537563324,0.027024447917938232,75,0.0018070000223815441
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,53,0,root,1,5,1,9,1,18,19,8,ce,-0.14903680980205536,0.05936111509799957,-0.20839792490005493,75,0.001754900033120066
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,53,1,root,1,2,2,0,global,38,39,28,Are both Eastern Samar State University and Lyceum-Northwestern University located in the same country?,-0.22359821200370789,0.09376905858516693,-0.3173672705888748,75,0.001754900033120066
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,71,0,root,1,4,1,9,1,18,19,8,ce,-0.04516436159610748,-0.023258913308382034,-0.02190544828772545,75,0.0018124000052921474
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,comparison,1,independent,71,1,root,1,1,2,0,global,38,39,28,Are both Eastern Samar State University and Lyceum-Northwestern University located in the same country?,-0.24963365495204926,-0.27913209795951843,0.029498443007469177,75,0.0018124000052921474
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,comparison,1,independent,11,0,root,1,1,1,22,2,12,14,2,movies Cock,-0.20010244846343994,-0.21261608600616455,0.01251363754272461,70,0.003188900009263307
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,comparison,1,independent,11,1,root,1,1,1,0,global,37,38,27,"Did the movies Cock Of The Roost and Nobody'S Perfect, originate from the same country?",-0.003880217671394348,-0.019240662455558777,0.015360444784164429,70,0.003188900009263307
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,comparison,1,independent,23,0,root,1,1,1,4,1,13,14,3,Cock,0.19612343609333038,0.14399228990077972,0.05213114619255066,70,0.0022391999955289066
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,comparison,1,independent,23,1,root,1,1,1,0,global,37,38,27,"Did the movies Cock Of The Roost and Nobody'S Perfect, originate from the same country?",0.41975295543670654,0.049672968685626984,0.37007998675107956,70,0.0022391999955289066
